full_name,city,engine_capacity,insurance,transmission_type,categoria_marca,kms_driven,ano,marca,modelo,mileage,seats,engine_capacity,body_type,fuel_type,kms_driven,max_power,owner_type,resale_price_Lakh
2019 Hyundai i20 Asta Option BSIV,Hyderabad,1197.0,Zero Dep,Manual,baixa,28438.0,2019.0,Hyundai,i20 Asta Option BSIV,21.4,5.0,1197.0,Hatchback,Petrol,28438.0,81.8,Second Owner,7.59
2018 Maruti Ertiga ZXI Petrol,Bangalore,1462.0,Comprehensive,Manual,baixa,68796.0,2018.0,Maruti,Ertiga ZXI Petrol,11.3,7.0,1462.0,MUV,Petrol,68796.0,103.0,First Owner,9.0
2017 Maruti Baleno 1.2 Zeta,Bangalore,1197.0,Comprehensive,Manual,baixa,40356.0,2017.0,Maruti,Baleno 1.2 Zeta,20.7,5.0,1197.0,Hatchback,Petrol,40356.0,83.1,First Owner,7.12
2016 Mercedes-Benz GL-Class 350 CDI Blue Efficiency,Delhi,2987.0,Comprehensive,Automatic,alta,100000.0,2016.0,Mercedes-Benz,2016  GL-Class 350 CDI Blue Efficiency,22.9,7.0,2987.0,SUV,Diesel,100000.0,254.8,Second Owner,32.5
2021 Hyundai Creta E Diesel BSVI,Kolkata,1493.0,Comprehensive,Manual,baixa,19000.0,2021.0,Hyundai,Creta E Diesel BSVI,14.84,5.0,1493.0,SUV,Diesel,19000.0,113.9,First Owner,10.49
2022 Hyundai Grand i10 Nios Sportz,Hyderabad,1197.0,Third Party,Manual,baixa,30000.0,2022.0,Hyundai,Grand i10 Nios Sportz,20.71,5.0,1197.0,Hatchback,Petrol,30000.0,81.8,First Owner,7.5
2012 Maruti Swift VDI,Bangalore,1248.0,Third Party,Manual,baixa,55544.0,2012.0,Maruti,Swift VDI,17.7,5.0,1248.0,Hatchback,Diesel,55544.0,74.0,Second Owner,4.54
2013 Mercedes-Benz C-Class C 220 CDI Elegance AT,Pune,2143.0,Third Party,Automatic,alta,120000.0,2013.0,Mercedes-Benz,2013  C-Class C 220 CDI Elegance AT,15.8,5.0,2143.0,Sedan,Diesel,120000.0,170.0,Third Owner,7.5
2021 Datsun RediGO A,Chennai,799.0,Comprehensive,Manual,baixa,14811.0,2021.0,Datsun,RediGO A,17.05,5.0,799.0,Hatchback,Petrol,14811.0,53.6,First Owner,4.08
2022 Hyundai Verna SX,Kolkata,1497.0,Third Party,Manual,baixa,5500.0,2022.0,Hyundai,Verna SX,18.16,5.0,1497.0,Sedan,Petrol,5500.0,113.1,First Owner,11.25
2014 Ford Ecosport 1.5 Ti VCT MT Trend,Delhi,1499.0,Third Party,Manual,baixa,50219.0,2014.0,Ford,Ecosport 1.5 Ti VCT MT Trend,16.0,5.0,1499.0,SUV,Petrol,50219.0,110.0,First Owner,4.08
2021 Tata Nexon XMA AMT BSVI,Bangalore,1199.0,Comprehensive,Automatic,baixa,14127.0,2021.0,Tata,Nexon XMA AMT BSVI,18.7,5.0,1199.0,SUV,Petrol,14127.0,118.3,Second Owner,9.15
2017 Ford Aspire 1.2 Ti-VCT Trend,Ahmedabad,1196.0,Third Party,Manual,baixa,40000.0,2017.0,Ford,Aspire 1.2 Ti-VCT Trend,17.0,5.0,1196.0,Sedan,Petrol,40000.0,86.8,First Owner,4.5
2010 Chevrolet Spark 1.0 PS,Ahmedabad,995.0,Third Party,Manual,baixa,80000.0,2010.0,Chevrolet,Spark 1.0 PS,14.8,5.0,995.0,Hatchback,Petrol,80000.0,62.14,Third Owner,0.85
2016 Honda Jazz 1.2 V i VTEC,Chennai,1199.0,Comprehensive,Manual,baixa,69425.0,2016.0,Honda,Jazz 1.2 V i VTEC,17.7,5.0,1199.0,Hatchback,Petrol,69425.0,88.7,First Owner,5.5
2017 Hyundai Verna VTVT 1.6 AT SX Option,Mumbai,1591.0,Third Party,Automatic,baixa,30000.0,2017.0,Hyundai,Verna VTVT 1.6 AT SX Option,15.74,5.0,1591.0,Sedan,Petrol,30000.0,121.3,First Owner,9.21
2019 Ford Ecosport 1.5 Petrol Trend Plus AT BSIV,Bangalore,1497.0,Comprehensive,Automatic,baixa,33000.0,2019.0,Ford,Ecosport 1.5 Petrol Trend Plus AT BSIV,18.3,5.0,1497.0,SUV,Petrol,33000.0,121.3,Second Owner,9.0
2022 Kia Carens Prestige Plus DCT BSVI,Delhi,1482.0,Comprehensive,Automatic,baixa,11000.0,2022.0,Kia,Carens Prestige Plus DCT BSVI,15.6,7.0,1482.0,MUV,Petrol,11000.0,157.8,First Owner,16.5
2017 Hyundai Verna VTVT 1.6 EX,Mumbai,1591.0,Third Party,Manual,baixa,23750.0,2017.0,Hyundai,Verna VTVT 1.6 EX,15.68,5.0,1591.0,Sedan,Petrol,23750.0,121.3,First Owner,8.0
2014 Hyundai Verna 1.6 SX VTVT AT,Delhi,1591.0,Third Party,Automatic,baixa,100000.0,2014.0,Hyundai,Verna 1.6 SX VTVT AT,18.9,5.0,1591.0,Sedan,Petrol,100000.0,121.3,Second Owner,4.0
2011 Chevrolet Cruze LTZ,Delhi,1991.0,Third Party,Manual,baixa,80000.0,2011.0,Chevrolet,Cruze LTZ,24.2,5.0,1991.0,Sedan,Diesel,80000.0,147.9,Second Owner,2.5
2011 Honda City V AT,Mumbai,1497.0,Comprehensive,Automatic,baixa,63000.0,2011.0,Honda,City V AT,14.11,5.0,1497.0,Sedan,Petrol,63000.0,116.3,Second Owner,2.95
2018 Land Rover Range Rover Evoque 2.0 TD4 SE,Kolkata,1999.0,Third Party,Automatic,alta,51620.0,2018.0,Land,Rover Range Rover Evoque 2.0 TD4 SE,16.35,5.0,1999.0,SUV,Diesel,51620.0,177.0,Second Owner,34.0
2011 Maruti Wagon R VXI,Chennai,998.0,Third Party,Manual,baixa,60014.0,2011.0,Maruti,Wagon R VXI,20.36,5.0,998.0,Hatchback,Petrol,60014.0,67.1,Second Owner,2.75
2014 Honda Mobilio S i-DTEC,Ahmedabad,1498.0,Comprehensive,Manual,baixa,90000.0,2014.0,Honda,Mobilio S i-DTEC,22.05,7.0,1498.0,MUV,Diesel,90000.0,98.6,First Owner,5.5
2020 Kia Carnival Prestige,Bangalore,2199.0,Zero Dep,Automatic,baixa,42885.0,2020.0,Kia,Carnival Prestige,15.8,7.0,2199.0,MUV,Diesel,42885.0,197.2,First Owner,29.75
2021 Tata Nexon XZA Plus DualTone Roof AMT,Jaipur,1199.0,Comprehensive,Automatic,baixa,38323.0,2021.0,Tata,Nexon XZA Plus DualTone Roof AMT,17.01,5.0,1199.0,SUV,Petrol,38323.0,118.3,First Owner,10.25
2012 Hyundai i10 Sportz,Delhi,1197.0,Third Party,Manual,baixa,70000.0,2012.0,Hyundai,i10 Sportz,17.4,5.0,1197.0,Hatchback,Petrol,70000.0,78.9,Second Owner,2.75
2021 Maruti Alto 800 VXI Plus BSVI,Delhi,796.0,Comprehensive,Manual,baixa,10000.0,2021.0,Maruti,Alto 800 VXI Plus BSVI,23.95,5.0,796.0,Hatchback,Petrol,10000.0,47.3,First Owner,3.9
2011 Volkswagen Vento IPL II Petrol Highline,Mumbai,1598.0,Third Party,Manual,baixa,120000.0,2011.0,Volkswagen,Vento IPL II Petrol Highline,19.17,5.0,1598.0,Sedan,Petrol,120000.0,103.56,Second Owner,2.5
2012 Hyundai Verna 1.6 SX VTVT,Hyderabad,1591.0,Third Party,Manual,baixa,120000.0,2012.0,Hyundai,Verna 1.6 SX VTVT,19.0,5.0,1591.0,Sedan,Petrol,120000.0,121.3,First Owner,3.4
2015 Honda City i VTEC SV,Mumbai,1497.0,Comprehensive,Manual,baixa,41585.0,2015.0,Honda,City i VTEC SV,18.0,5.0,1497.0,Sedan,Petrol,41585.0,117.3,First Owner,5.94
2014 Maruti Alto K10 VXI AMT,Chandigarh,998.0,Third Party,Automatic,baixa,80000.0,2014.0,Maruti,Alto K10 VXI AMT,18.0,5.0,998.0,Hatchback,Petrol,80000.0,67.0,Fifth Owner,2.5
2021 Renault Kiger RXL,Ahmedabad,999.0,Third Party,Manual,baixa,20537.0,2021.0,Renault,Kiger RXL,17.8,5.0,999.0,SUV,Petrol,20537.0,71.0,Second Owner,6.43
2018 Ford Freestyle Titanium Petrol BSIV,Bangalore,1194.0,Third Party,Manual,baixa,54813.0,2018.0,Ford,Freestyle Titanium Petrol BSIV,18.0,5.0,1194.0,Hatchback,Petrol,54813.0,94.6,First Owner,5.77
2021 Hyundai Venue SX Sport iMT,Hyderabad,998.0,Third Party,Manual,baixa,30000.0,2021.0,Hyundai,Venue SX Sport iMT,20.0,5.0,998.0,SUV,Petrol,30000.0,118.3,First Owner,10.2
2014 Honda Amaze SX i-VTEC,Ahmedabad,1198.0,Third Party,Manual,baixa,64000.0,2014.0,Honda,Amaze SX i-VTEC,26.1,5.0,1198.0,Sedan,Petrol,64000.0,86.7,Second Owner,3.3
2009 Maruti Swift Vdi BSIII,Hyderabad,1248.0,Third Party,Manual,baixa,120000.0,2009.0,Maruti,Swift Vdi BSIII,21.4,5.0,1248.0,Hatchback,Diesel,120000.0,73.97,Second Owner,2.5
2016 Honda City i VTEC CVT VX,Delhi,1497.0,Third Party,Automatic,baixa,70000.0,2016.0,Honda,City i VTEC CVT VX,19.67,5.0,1497.0,Sedan,Petrol,70000.0,117.3,Second Owner,6.6
2021 Hyundai i20 Sportz Turbo iMT,Bangalore,998.0,Comprehensive,Manual,baixa,6000.0,2021.0,Hyundai,i20 Sportz Turbo iMT,12.8,5.0,998.0,Hatchback,Petrol,6000.0,118.3,Second Owner,8.75
2019 Ford Aspire Trend Diesel BSIV,Hyderabad,1498.0,Third Party,Manual,baixa,60000.0,2019.0,Ford,Aspire Trend Diesel BSIV,22.07,5.0,1498.0,Sedan,Diesel,60000.0,99.2,First Owner,5.9
2018 Maruti Baleno 1.2 Delta,Pune,1197.0,Comprehensive,Manual,baixa,74325.0,2018.0,Maruti,Baleno 1.2 Delta,26.2,5.0,1197.0,Hatchback,Petrol,74325.0,83.1,First Owner,6.7
2017 Hyundai Creta 1.6 CRDi SX,Chennai,1582.0,Third Party,Manual,baixa,110000.0,2017.0,Hyundai,Creta 1.6 CRDi SX,18.06,5.0,1582.0,SUV,Diesel,110000.0,126.2,First Owner,8.5
2007 Toyota Innova 2.5 G (Diesel) 8 Seater BS III,Jaipur,2494.0,Third Party,Manual,baixa,120000.0,2007.0,Toyota,Innova 2.5 G (Diesel) 8 Seater BS III,14.5,8.0,2494.0,MUV,Diesel,120000.0,102.0,Second Owner,2.85
2013 Volkswagen Polo Diesel Highline 1.2L,Delhi,1199.0,Third Party,Manual,baixa,80000.0,2013.0,Volkswagen,Polo Diesel Highline 1.2L,22.38,5.0,1199.0,Hatchback,Diesel,80000.0,73.9,First Owner,3.4
2012 Maruti Wagon R LXI CNG,Gurgaon,998.0,Comprehensive,Manual,baixa,71713.0,2012.0,Maruti,Wagon R LXI CNG,21.5,5.0,998.0,Hatchback,CNG,71713.0,58.2,First Owner,2.43
2010 Nissan Micra XE,Delhi,1198.0,Third Party,Manual,baixa,100000.0,2010.0,Nissan,Micra XE,20.0,5.0,1198.0,Hatchback,Petrol,100000.0,75.0,First Owner,1.05
2017 Honda City 1.5 GXI CVT,Pune,1423.1701441170144,Third Party,Automatic,baixa,108648.0,2017.0,Honda,City 1.5 GXI CVT,21.4,5.0,1423.1701441170144,Sedan,Petrol,108648.0,103.88974615994809,First Owner,8.1
2015 Maruti Swift VXI,Bangalore,1197.0,Comprehensive,Manual,baixa,62223.0,2015.0,Maruti,Swift VXI,22.41,5.0,1197.0,Hatchback,Petrol,62223.0,88.5,Second Owner,5.06
2018 Tata Nexon 1.5 Revotorq XZA Plus,Mumbai,1497.0,Comprehensive,Automatic,baixa,109357.0,2018.0,Tata,Nexon 1.5 Revotorq XZA Plus,34.05,5.0,1497.0,SUV,Diesel,109357.0,108.5,First Owner,8.42
2021 Renault Triber RXE BSVI,Bangalore,999.0,Not Available,Manual,baixa,24317.0,2021.0,Renault,Triber RXE BSVI,20.51,7.0,999.0,MUV,Petrol,24317.0,71.0,First Owner,7.0
2017 Maruti Baleno 1.2 Delta,Chennai,1197.0,Comprehensive,Manual,baixa,54024.0,2017.0,Maruti,Baleno 1.2 Delta,17.8,5.0,1197.0,Hatchback,Petrol,54024.0,83.1,First Owner,5.75
2014 Maruti Swift Dzire VXI,Ahmedabad,1197.0,Comprehensive,Manual,baixa,42776.0,2014.0,Maruti,Swift Dzire VXI,33.0,5.0,1197.0,Sedan,Petrol,42776.0,88.5,First Owner,4.64
2022 Maruti Wagon R LXI CNG BSVI,Chandigarh,998.0,Comprehensive,Manual,baixa,1962.0,2022.0,Maruti,Wagon R LXI CNG BSVI,13.68,5.0,998.0,Hatchback,CNG,1962.0,55.9,First Owner,5.58
2014 Maruti Ertiga VXI,Gurgaon,1462.0,Comprehensive,Manual,baixa,18866.0,2014.0,Maruti,Ertiga VXI,21.74,7.0,1462.0,MUV,Petrol,18866.0,101.6,First Owner,6.47
2017 Honda City i VTEC S,Chennai,1497.0,Third Party,Manual,baixa,60000.0,2017.0,Honda,City i VTEC S,16.36,5.0,1497.0,Sedan,Petrol,60000.0,117.3,First Owner,7.25
2019 Maruti Alto 800 LXI CNG,Mumbai,796.0,Comprehensive,Manual,baixa,88667.0,2019.0,Maruti,Alto 800 LXI CNG,18.0,5.0,796.0,Hatchback,CNG,88667.0,47.3,First Owner,3.9
2018 Toyota Innova Crysta 2.4 VX MT BSIV,Hyderabad,2393.0,Third Party,Manual,baixa,50000.0,2018.0,Toyota,Innova Crysta 2.4 VX MT BSIV,25.8,7.0,2393.0,MUV,Diesel,50000.0,147.8,First Owner,20.5
2021 Renault KWID Climber 1.0 MT Opt,Chennai,999.0,Comprehensive,Manual,baixa,31754.0,2021.0,Renault,KWID Climber 1.0 MT Opt,17.3,5.0,999.0,Hatchback,Petrol,31754.0,67.0,First Owner,4.73
2013 Jaguar XF 2.2 Litre Luxury,Hyderabad,2179.0,Third Party,Automatic,alta,70000.0,2013.0,Jaguar,XF 2.2 Litre Luxury,17.0,5.0,2179.0,Sedan,Diesel,70000.0,187.7,First Owner,17.5
2019 Honda City i-VTEC CVT V,Delhi,1497.0,Comprehensive,Automatic,baixa,30000.0,2019.0,Honda,City i-VTEC CVT V,21.21,5.0,1497.0,Sedan,Petrol,30000.0,117.6,First Owner,10.25
2014 Honda Amaze SX i-DTEC,Delhi,1498.0,Third Party,Manual,baixa,60000.0,2014.0,Honda,Amaze SX i-DTEC,18.6,5.0,1498.0,Sedan,Diesel,60000.0,98.6,First Owner,3.2
2020 Mahindra Marazzo M8 8Str,Hyderabad,1497.0,Comprehensive,Manual,baixa,66590.0,2020.0,Mahindra,Marazzo M8 8Str,16.47,8.0,1497.0,MUV,Diesel,66590.0,121.0,First Owner,11.0
2019 Tata Nexon 1.2 Revotron XZA Plus,Gurgaon,1198.0,Third Party,Automatic,baixa,23394.0,2019.0,Tata,Nexon 1.2 Revotron XZA Plus,17.5,5.0,1198.0,SUV,Petrol,23394.0,108.5,First Owner,9.17
2019 Maruti Swift VXI,Chandigarh,1197.0,Third Party,Manual,baixa,51193.0,2019.0,Maruti,Swift VXI,23.84,5.0,1197.0,Hatchback,Petrol,51193.0,81.8,First Owner,5.38
2013 Maruti Swift VXI,Bangalore,1197.0,Comprehensive,Manual,baixa,92285.0,2013.0,Maruti,Swift VXI,13.9,5.0,1197.0,Hatchback,Petrol,92285.0,85.8,First Owner,4.31
2013 Volkswagen Polo Petrol Highline 1.2L,Lucknow,1198.0,Not Available,Manual,baixa,96966.0,2013.0,Volkswagen,Polo Petrol Highline 1.2L,18.9,5.0,1198.0,Hatchback,Petrol,96966.0,73.9,First Owner,2.45
2010 Maruti Swift Dzire VXi,Mumbai,1298.0,Third Party,Manual,baixa,62259.0,2010.0,Maruti,Swift Dzire VXi,23.0,5.0,1298.0,Sedan,Petrol,62259.0,85.8,Second Owner,2.31
2017 Tata Tiago 1.2 Revotron XZA,Chennai,1199.0,Comprehensive,Automatic,baixa,29594.0,2017.0,Tata,Tiago 1.2 Revotron XZA,20.3,5.0,1199.0,Hatchback,Petrol,29594.0,83.8,First Owner,4.98
2011 Honda Civic 1.8 V AT,Delhi,1799.0,Third Party,Automatic,baixa,70000.0,2011.0,Honda,Civic 1.8 V AT,15.1,5.0,1799.0,Sedan,Petrol,70000.0,130.2,Second Owner,3.5
2017 Hyundai Grand i10 Sportz,Gurgaon,1197.0,Comprehensive,Manual,baixa,31600.0,2017.0,Hyundai,Grand i10 Sportz,22.9,5.0,1197.0,Hatchback,Petrol,31600.0,82.0,First Owner,4.65
2019 Ford Ecosport 1.5 Diesel Titanium Plus BSIV,Pune,1498.0,Third Party,Manual,baixa,42354.0,2019.0,Ford,Ecosport 1.5 Diesel Titanium Plus BSIV,23.1,5.0,1498.0,SUV,Diesel,42354.0,98.9,First Owner,9.52
2017 Tata Tigor 1.2 Revotron XZ Option,Pune,1199.0,Third Party,Manual,baixa,60000.0,2017.0,Tata,Tigor 1.2 Revotron XZ Option,23.2,5.0,1199.0,Sedan,Petrol,60000.0,84.0,Second Owner,4.5
2019 Mahindra XUV500 W9 AT BSIV,Gurgaon,2179.0,Third Party,Automatic,baixa,30000.0,2019.0,Mahindra,XUV500 W9 AT BSIV,23.65,7.0,2179.0,SUV,Diesel,30000.0,152.8,First Owner,16.0
2014 Maruti Swift VDI,Mumbai,1248.0,Comprehensive,Manual,baixa,79000.0,2014.0,Maruti,Swift VDI,13.68,5.0,1248.0,Hatchback,Diesel,79000.0,74.0,Second Owner,4.8
2016 Maruti Celerio ZXI AT,Pune,998.0,Comprehensive,Automatic,baixa,27887.0,2016.0,Maruti,Celerio ZXI AT,17.5,5.0,998.0,Hatchback,Petrol,27887.0,67.0,First Owner,5.0
2015 Maruti Ritz LDi,Chennai,1248.0,Third Party,Manual,baixa,80000.0,2015.0,Maruti,Ritz LDi,21.9,5.0,1248.0,Hatchback,Diesel,80000.0,73.9,Third Owner,2.0
2017 Maruti SX4 S Cross DDiS 200 Zeta,Mumbai,1248.0,Comprehensive,Manual,baixa,65275.0,2017.0,Maruti,SX4 S Cross DDiS 200 Zeta,23.95,5.0,1248.0,SUV,Diesel,65275.0,88.5,Second Owner,6.92
2019 Toyota Innova Crysta 2.4 G Plus MT BSIV,Delhi,2393.0,Third Party,Manual,baixa,50000.0,2019.0,Toyota,Innova Crysta 2.4 G Plus MT BSIV,17.0,7.0,2393.0,MUV,Diesel,50000.0,147.8,First Owner,17.0
2017 Honda WR-V i-VTEC VX,Chennai,1199.0,Third Party,Manual,baixa,29640.0,2017.0,Honda,WR-V i-VTEC VX,19.81,5.0,1199.0,SUV,Petrol,29640.0,88.7,First Owner,7.6
2012 Hyundai i20 Magna 1.4 CRDi (Diesel),Bangalore,1396.0,Third Party,Manual,baixa,86873.0,2012.0,Hyundai,i20 Magna 1.4 CRDi (Diesel),42.672,5.0,1396.0,Hatchback,Diesel,86873.0,88.7,First Owner,4.85
2018 Maruti Alto K10 VXI Airbag,Bangalore,998.0,Comprehensive,Manual,baixa,79000.0,2018.0,Maruti,Alto K10 VXI Airbag,32.52,5.0,998.0,Hatchback,Petrol,79000.0,67.1,First Owner,3.49
2019 Tata Nexon 1.2 Revotron XM,Jaipur,1198.0,Third Party,Manual,baixa,30000.0,2019.0,Tata,Nexon 1.2 Revotron XM,18.88,5.0,1198.0,SUV,Petrol,30000.0,108.5,First Owner,7.1
2010 Hyundai i10 Magna 1.1L,Hyderabad,1086.0,Not Available,Manual,baixa,49500.0,2010.0,Hyundai,i10 Magna 1.1L,18.24,5.0,1086.0,Hatchback,Petrol,49500.0,68.0,First Owner,2.45
