mileage,ano,seats,engine_capacity,kms_driven,max_power,ID
18.0,2014.0,5.0,1248.0,120000.0,74.0,49
19.01,2019.0,5.0,1497.0,30440.0,117.6,50
20.09,2021.0,5.0,1199.0,20282.0,84.8,51
18.9,2022.0,5.0,1199.0,10000.0,86.6,52
17.8,2010.0,5.0,998.0,47772.0,67.1,53
26.6,2018.0,5.0,1198.0,70000.0,86.7,54
20.51,2017.0,5.0,998.0,40000.0,58.1,55
18.1,2016.0,5.0,998.0,70000.0,67.0,56
17.4,2018.0,5.0,1199.0,80000.0,88.7,57
16.5,2022.0,5.0,1497.0,4135.0,117.6,58
15.0,2021.0,5.0,1197.0,21041.0,108.6,59
18.1,2014.0,5.0,1598.0,110000.0,103.5,60
25.8,2012.0,5.0,1991.0,80000.0,147.9,61
23.7,2019.0,5.0,1498.0,35548.0,98.6,62
19.47,2020.0,5.0,1493.0,45362.0,98.6,63
18.5,2022.0,5.0,999.0,14491.0,113.9,64
19.33,2017.0,5.0,1198.0,25000.0,86.8,65
18.8,2017.0,5.0,1999.0,80000.0,177.0,66
16.36,2011.0,5.0,1248.0,150000.0,88.77,67
19.3,2015.0,5.0,2179.0,41000.0,187.7,68
18.9,2022.0,5.0,1198.0,10000.0,80.4,69
17.8,2016.0,5.0,1197.0,72641.0,82.0,70
42.672,2016.0,5.0,1198.0,43584.0,86.7,71
33.54,2020.0,5.0,1086.0,85312.0,58.0,72
17.05,2020.0,5.0,998.0,120000.0,67.0,73
11.36,2017.0,5.0,1995.0,48500.0,184.0,74
19.0,2017.0,7.0,2755.0,90000.0,171.5,75
13.0,2017.0,5.0,1197.0,30316.0,85.8,76
17.0,2005.0,5.219036697247707,1493.0,50000.0,100.0,77
20.51,2011.0,5.0,1497.0,66000.0,116.39,78
17.03,2016.0,5.0,998.0,22089.0,67.0,79
14.1,2020.0,5.0,1462.0,60000.0,103.2,80
20.65,2022.0,5.0,1368.0,10000.0,160.7,81
11.5,2022.0,5.0,1462.0,40000.0,103.2,82
17.1,2019.0,5.0,1991.0,10200.0,245.0,83
14.16,2019.0,5.0,1956.0,54030.0,170.0,84
28.4,2015.0,5.0,1968.0,30000.0,174.3,85
11.3,2019.0,5.0,1248.0,71448.0,74.0,86
18.0,2010.0,5.0,2360.0,77623.0,167.67,87
12.07,2016.0,5.0,1198.0,66655.0,86.7,88
19.87,2015.0,7.0,2967.0,70000.0,241.4,89
16.65,2015.0,5.0,1461.0,97000.0,83.8,90
17.8,2021.0,6.0,1956.0,40000.0,167.6,91
18.9,2021.0,5.0,1493.0,37000.0,113.4,92
21.5,2016.0,5.0,1197.0,39000.0,82.0,93
18.5,2019.0,5.0,1497.0,58000.0,108.5,94
16.3,2010.0,5.0,1197.0,40000.0,78.91,95
25.17,2013.0,5.0,1797.0,48112.0,147.5,96
25.4,2018.0,5.0,799.0,53600.0,53.3,97
15.73,2016.0,5.0,1186.0,80000.0,73.9,98
21.01,2014.0,5.0,1968.0,58000.0,174.3,99
16.7,2020.0,5.0,1197.0,62500.0,81.8,100
23.95,2011.0,5.0,1198.0,120000.0,88.8,101
16.09,2017.0,5.0,998.0,44351.0,67.1,102
21.0,2016.0,5.0,1598.0,56973.0,103.2,103
16.5,2022.0,5.0,1197.0,20000.0,81.8,104
22.05,2020.0,5.0,1353.0,50000.0,138.0,105
21.1,2018.0,5.0,796.0,20539.0,47.3,106
18.6,2010.0,5.0,1197.0,45465.0,85.8,107
14.7,2015.0,5.0,1197.0,90000.0,81.8,108
23.84,2015.0,5.0,1496.0,62000.0,120.6,109
21.21,2018.0,5.0,1199.0,40000.0,83.8,110
15.1,2019.0,5.0,1197.0,56307.0,81.8,111
21.4,2020.0,7.0,2179.0,39000.0,152.8,112
18.9,2017.0,5.0,1197.0,44183.0,83.1,113
19.33,2017.0,5.0,1197.0,45931.0,81.8,114
13.9,2020.0,5.0,1199.0,20000.0,86.8,115
19.7,2010.0,5.0,1799.0,50000.0,130.2,116
20.73,2003.0,8.0,796.0,24360.0,35.0,117
18.6,2016.0,5.0,1373.0,68400.0,91.1,118
18.0,2018.0,5.0,1199.0,49000.0,88.7,119
18.55,2020.0,5.0,1493.0,24326.0,113.4,120
13.0,2022.0,7.0,1956.0,6000.0,172.3,121
20.77,2021.0,5.0,1462.0,20000.0,103.2,122
23.4,2017.0,5.0,1591.0,40000.0,121.3,123
19.81,2012.0,7.0,1248.0,65000.0,88.8,124
21.14,2014.0,5.0,1248.0,80000.0,74.0,125
21.4,2013.0,5.0,1086.0,41364.0,68.0,126
20.36,2015.0,5.0,1498.0,62100.0,103.5,127
22.38,2018.0,5.0,1197.0,16781.0,83.1,128
49.839999999999996,2008.0,5.0,1197.0,40000.0,78.9,129
11.8,2017.0,5.0,1197.0,21736.0,88.5,130
13.0,2022.0,5.0,998.0,19907.0,55.9,131
23.59,2009.0,5.0,2967.0,50000.0,246.7,132
20.7,2015.0,5.0,1591.0,38500.0,121.3,133
23.95,2017.0,5.0,1364.0,110000.0,67.0,134
10.5,2020.0,5.0,1197.0,44560.0,81.8,135
18.0,2019.0,5.0,998.0,14996.0,67.1,136
16.3,2004.0,8.0,2179.0,120000.0,120.0,137
18.3,2015.0,5.0,1497.0,115054.0,117.3,138
24.39,2017.0,5.0,1956.0,55330.0,170.0,139
18.75,2010.0,5.0,1991.0,132375.0,147.9,140
16.46,2012.0,5.0,998.0,60354.0,65.7,141
20.52,2021.0,5.0,999.0,23726.0,71.0,142
26.0,2018.0,5.0,2993.0,17000.0,258.0,143
18.7,2020.0,5.0,1197.0,10667.0,81.8,144
20.3,2016.0,5.0,998.0,25414.0,65.7,145
14.11,2015.0,5.0,1199.0,47530.0,88.7,146
20.65,2017.0,5.0,1199.0,34000.0,84.0,147
17.5,2021.0,5.0,1984.0,24800.0,241.3,148
21.4,2015.0,5.0,1248.0,120000.0,88.7,149
20.36,2018.0,5.0,1199.0,51496.0,88.7,150
14.0,2018.0,5.0,1197.0,48000.0,83.1,151
21.4,2010.0,5.0,1197.0,77000.0,78.9,152
14.74,2009.0,5.0,1198.0,120000.0,103.66965775093472,153
22.05,2019.0,5.0,1197.0,44738.0,83.1,154
19.81,2016.0,5.0,1991.0,50000.0,184.0,155
18.4,2018.0,5.0,796.0,17784.0,47.3,156
8.5,2013.0,5.0,1086.0,41527.0,68.0,157
20.3,2022.0,5.0,1197.0,16000.0,81.8,158
17.01,2011.0,5.0,4806.0,98000.0,500.0,159
13.17,2011.0,5.0,1248.0,100000.0,75.0,160
18.7,2010.0,5.0,1591.0,122533.0,121.3,161
15.8,2021.0,5.0,1998.0,20000.0,248.0,162
19.68,2016.0,5.0,1199.0,88785.0,88.7,163
13.96,2013.0,5.0,2200.0,110000.0,170.0,164
25.1,2011.0,5.0,1399.0,120000.0,67.0,165
18.6,2020.0,5.0,1451.0,19000.0,141.0,166
21.01,2018.0,5.0,1248.0,90000.0,88.5,167
18.15,2022.0,5.0,1498.0,13407.0,119.3,168
23.59,2021.0,5.0,1197.0,10763.0,81.8,169
25.8,2018.0,6.0,1198.0,55407.0,82.0,170
18.12,2017.0,5.0,1364.0,5000.0,67.0,171
17.01,2022.0,5.0,1999.0,3000.0,153.8,172
17.0,2013.0,5.0,1498.0,80000.0,98.6,173
17.8,2022.0,5.0,999.0,4200.0,113.9,174
15.2,2021.0,7.0,1984.0,21000.0,187.7,175
19.7,2018.0,5.0,1198.0,81247.0,108.5,176
12.99,2020.0,5.0,1493.0,37354.0,113.4,177
14.8,2008.0,5.0,1193.0,80000.0,65.0,178
22.7,2012.0,5.0,796.0,63697.0,46.3,179
21.7,2013.0,8.0,2494.0,83000.0,100.6,180
21.04,2019.0,5.0,1591.0,27139.0,121.3,181
23.1,2018.0,5.0,799.0,30000.0,53.6,182
23.84,2019.0,5.0,1498.0,6236.0,98.9,183
21.01,2017.0,8.0,1461.0,85000.0,83.8,184
17.4,2017.0,5.0,998.0,78131.0,67.0,185
20.85,2018.0,5.0,1199.0,66902.0,84.0,186
21.4,2022.0,5.0,1197.0,30000.0,81.8,187
23.2,2020.0,5.0,1497.0,10989.0,117.6,188
23.65,2021.0,5.0,1197.0,25581.0,83.1,189
15.4,2017.0,5.0,1197.0,52659.0,83.1,190
24.3,2012.0,5.0,1248.0,90000.0,73.9,191
15.29,2017.0,5.0,1248.0,93000.0,88.5,192
23.84,2016.0,7.0,1997.0,120000.0,120.0,193
18.0,2019.0,5.0,1248.0,41000.0,88.5,194
19.2,2015.0,5.0,1591.0,90000.0,121.3,195
10.5,2016.0,5.0,1199.0,98000.0,84.0,196
18.19,2017.0,5.0,1497.0,76087.0,117.3,197
14.84,2008.0,5.0,1197.0,47000.0,80.0,198
18.9,2003.0,8.0,2179.0,52000.0,120.0,199
21.0,2016.0,5.0,1197.0,46231.0,103.2,200
28.4,2010.0,5.0,2143.0,120000.0,170.0,201
31.79,2016.0,5.0,1197.0,45741.0,82.0,202
17.33,2022.0,5.0,1197.0,33567.0,81.8,203
20.38,2017.0,5.0,1248.0,72918.0,74.0,204
28.09,2014.0,5.0,998.0,80000.0,58.2,205
18.5,2020.0,5.0,1199.0,30000.0,118.3,206
23.9,2018.0,5.0,1968.0,43500.0,143.0,207
23.95,2016.0,5.0,1248.0,84335.0,88.5,208
22.7,2013.0,5.0,1197.0,70000.0,82.8,209
17.11,2016.0,5.0,1582.0,90000.0,126.2,210
18.5,2015.0,5.0,998.0,18984.0,67.0,211
25.83,2016.0,5.0,799.0,60000.0,53.6,212
16.1,2014.0,5.0,1968.0,59000.0,174.3,213
17.19,2016.0,5.0,1198.0,29000.0,86.8,214
17.0,2017.0,5.0,1498.0,82029.0,99.0,215
19.28,2008.0,5.0,1086.0,80000.0,62.0,216
16.8,2004.0,4.0,796.0,60000.0,37.0,217
15.04,2016.0,5.0,1197.0,120000.0,81.8,218
23.7,2010.0,5.0,1497.0,140020.0,116.39,219
20.51,2020.0,5.0,1199.0,30000.0,84.8,220
17.0,2022.0,5.0,1497.0,20000.0,113.4,221
24.52,2012.0,5.0,1598.0,58254.0,103.6,222
20.51,2019.0,5.0,1493.0,87000.0,98.6,223
16.5,2017.0,5.0,998.0,28568.0,67.0,224
20.4,2009.0,5.0,1497.0,93153.0,116.39,225
17.33,2016.0,7.0,1248.0,100000.0,88.5,226
16.8,2017.0,5.0,998.0,59896.0,67.0,227
13.17,2020.0,5.0,1353.0,20000.0,138.0,228
21.21,2017.0,5.0,1197.0,31671.0,83.1,229
12.55,2021.0,5.0,1199.0,25000.0,118.3,230
22.38,2020.0,5.0,1497.0,24293.0,113.4,231
20.04,2011.0,5.0,1999.0,70000.0,114.0,232
19.01,2017.0,5.0,1197.0,72800.0,81.8,233
25.17,2013.0,7.0,2982.0,89000.0,168.5,234
17.0,2019.0,5.0,1197.0,18683.0,88.5,235
20.1,2022.0,5.0,1462.0,9921.0,103.2,236
17.0,2013.0,5.0,1461.0,100000.0,108.4,237
25.32,2016.0,5.0,799.0,59492.0,53.3,238
31.79,2019.0,5.0,1591.0,26000.0,121.3,239
17.3,2021.0,5.0,1197.0,43000.0,81.8,240
20.04,2022.0,5.0,1197.0,22000.0,108.6,241
19.7,2016.0,6.0,1198.0,91258.0,77.0,242
23.1,2016.0,5.0,998.0,100556.0,58.2,243
20.3,2019.0,7.0,1497.0,70000.0,121.0,244
14.75,2018.0,5.0,1462.0,60000.0,103.2,245
18.6,2007.0,5.0,796.0,120000.0,46.3,246
26.59,2015.0,5.0,998.0,85223.0,67.0,247
18.6,2019.0,5.0,1086.0,30000.0,68.0,248
19.33,2017.0,7.0,2967.0,150000.0,245.0,249
25.17,2019.0,5.0,1197.0,17259.0,81.8,250
22.07,2015.0,5.0,1248.0,70000.0,74.0,251
21.21,2021.0,5.0,1498.0,11783.0,119.3,252
17.0,2022.0,5.0,1199.0,10000.0,86.8,253
23.84,2019.0,5.0,799.0,49501.0,53.3,254
18.3,2022.0,5.0,1497.0,32928.0,108.4,255
16.3,2018.0,5.0,1197.0,30000.0,81.8,256
18.41,2018.0,5.0,1591.0,40000.0,121.3,257
13.68,2016.0,5.0,1199.0,78959.0,84.0,258
15.1,2023.0,5.0,1498.0,3500.0,119.3,259
18.9,2020.0,5.0,1956.0,45000.0,170.6,260
23.7,2021.0,5.0,999.0,10000.0,113.9,261
22.41,2020.0,7.0,2393.0,15000.0,147.5,262
23.84,2019.0,7.0,2179.0,30853.0,152.8,263
20.45,2016.0,5.0,1197.0,68000.0,82.0,264
24.0,2020.0,5.0,1498.0,51738.0,97.8,265
25.8,2020.0,5.0,1197.0,50000.0,88.5,266
20.51,2017.0,5.0,1199.0,76000.0,84.0,267
18.9,2013.0,5.0,1461.0,64000.0,83.8,268
17.0,2014.0,5.0,1120.0,69000.0,70.0,269
20.85,2014.0,5.0,1498.0,77710.0,98.6,270
15.04,2017.0,5.0,998.0,22068.0,67.0,271
16.0,2015.0,5.0,1197.0,100906.0,82.0,272
16.0,2010.0,5.0,1497.0,101566.0,116.39,273
17.5,2016.0,5.0,1197.0,82784.0,83.1,274
17.0,2020.0,7.0,2755.0,37000.0,174.5,275
12.4,2016.0,7.0,2179.0,30313.0,140.0,276
21.01,2019.0,6.0,1950.0,35000.0,160.9,277
15.4,2021.0,7.0,2179.0,80000.0,152.8,278
22.7,2008.0,5.0,1298.0,122000.0,85.8,279
16.2,2016.0,5.0,1198.0,83810.0,73.7,280
19.6,2021.0,7.0,1996.0,32600.0,167.6,281
32.52,2021.0,5.0,1197.0,20000.0,81.8,282
17.21,2019.0,9.0,2523.0,50000.0,75.0,283
17.0,2019.0,5.0,799.0,51271.0,53.6,284
22.38,2017.0,5.0,1199.0,66000.0,74.0,285
18.48,2021.0,5.0,1497.0,23893.0,113.1,286
17.8,2017.0,5.0,1461.0,51600.0,108.4,287
39.199999999999996,2019.0,5.0,998.0,42000.0,58.3,288
16.95,2018.0,5.0,1197.0,112625.0,103.5,289
20.27,2020.0,5.0,1497.0,41000.0,113.1,290
22.54,2020.0,5.0,1198.0,17310.0,108.5,291
20.0,2020.0,5.0,1197.0,69199.0,88.5,292
17.5,2009.0,5.0,1995.0,90000.0,177.0,293
18.49,2015.0,5.0,1497.0,75000.0,117.3,294
21.4,2020.0,5.0,1197.0,40445.0,68.0,295
13.0,2015.0,5.0,1498.0,50000.0,97.6,296
22.7,2019.0,6.0,1462.0,35941.0,101.6,297
15.17,2016.0,5.0,1396.0,100000.0,88.7,298
22.61,2021.0,5.0,999.0,52141.0,98.6,299
17.4,2016.0,7.0,1373.0,55492.0,91.1,300
15.0,2016.0,7.0,1493.0,150000.0,100.0,301
11.2,2017.0,5.0,1197.0,38607.0,83.1,302
16.09,2017.0,5.0,1591.0,24459.0,121.3,303
17.42,2014.0,5.0,1498.0,70000.0,89.8,304
20.14,2015.0,5.0,1968.0,70000.0,181.0,305
22.41,2022.0,5.0,1197.0,10035.0,88.5,306
20.52,2018.0,5.0,1497.0,43602.0,117.6,307
20.0,2013.0,5.0,1598.0,65000.0,103.5,308
22.07,2013.0,5.0,2400.0,129000.0,215.0,309
18.9,2016.0,5.0,1598.0,90000.0,103.2,310
18.5,2021.0,5.0,1998.0,40000.0,187.7,311
20.0,2019.0,5.0,1498.0,66000.0,88.0,312
22.77,2012.0,5.0,1197.0,92000.0,88.5,313
17.19,2014.0,5.0,1197.0,63000.0,81.8,314
24.3,2013.0,5.0,1399.0,80000.0,68.0,315
17.8,2012.0,5.0,1199.0,100000.0,73.9,316
17.3,2019.0,5.0,1197.0,20136.0,81.8,317
20.92,2013.0,5.0,1197.0,65900.0,82.8,318
19.81,2011.0,5.0,1399.0,110000.0,68.0,319
18.9,2016.0,5.0,1498.0,56000.0,98.5,320
8.0,2015.0,5.0,1197.0,30000.0,81.8,321
17.99,2017.0,5.0,1248.0,39000.0,88.5,322
22.05,2018.0,5.0,1496.0,32974.0,105.9,323
18.9,2019.0,8.0,1497.0,39884.0,121.0,324
17.0,2011.0,5.0,998.0,64000.0,67.1,325
20.28,2008.0,5.0,1086.0,50000.0,68.0,326
17.6,2020.0,5.0,1197.0,84000.0,68.0,327
14.1,2017.0,5.0,1197.0,22294.0,81.8,328
18.9,2022.0,7.0,2694.0,7400.0,163.6,329
18.0,2021.0,6.0,1462.0,11000.0,103.2,330
15.16,2017.0,5.0,796.0,21247.0,47.3,331
13.0,2011.0,5.0,998.0,70000.0,67.1,332
21.79,2019.0,5.0,1197.0,60000.0,110.0,333
18.6,2022.0,5.0,1462.0,6400.0,103.2,334
17.05,2015.0,5.0,1582.0,66494.0,126.2,335
18.9,1995.0,6.0,1422.9962697274032,10000.0,103.66965775093472,336
17.6,2018.0,5.0,1368.0,25000.0,160.7,337
21.7,2016.0,5.0,1197.0,90000.0,82.0,338
19.2,2016.0,5.0,1497.0,58500.0,117.3,339
21.63,2015.0,9.0,2179.0,65000.0,118.3,340
24.04,2013.0,5.0,2143.0,64000.0,204.0,341
22.41,2017.0,5.0,998.0,80000.0,67.0,342
22.38,2015.0,5.0,1197.0,52494.0,81.8,343
17.5,2015.0,5.0,1995.0,43124.0,184.0,344
23.01,2018.0,5.0,1197.0,22466.0,81.8,345
25.83,2019.0,5.0,1582.0,92700.0,126.2,346
21.21,2019.0,5.0,998.0,20792.0,65.7,347
23.8,2018.0,5.0,1395.0,54737.0,150.0,348
17.5,2015.0,5.0,998.0,128876.0,67.0,349
20.09,2019.0,5.0,999.0,32000.0,67.0,350
22.05,2016.0,5.0,1197.0,74401.0,88.5,351
14.62,2011.0,5.0,1197.0,21840.0,88.5,352
23.1,2018.0,5.0,1199.0,14000.0,88.7,353
23.01,2018.0,5.0,999.0,50000.0,67.0,354
25.4,2017.0,5.0,1498.0,80000.0,99.0,355
19.12,2019.0,5.0,1197.0,70000.0,81.8,356
18.9,2014.0,5.0,1998.0,39700.0,112.0,357
16.35,2017.0,5.0,1199.0,80000.0,88.7,358
16.09,2022.0,5.0,1199.0,30000.0,86.6,359
21.4,2019.0,5.0,796.0,37771.0,47.3,360
16.9,2018.0,5.0,1999.0,70000.0,149.9,361
26.59,2016.0,5.0,998.0,73328.0,67.0,362
42.657999999999994,2018.0,5.0,999.0,37418.0,67.0,363
19.81,2015.0,4.0,624.0,53000.0,37.5,364
22.41,2017.0,5.0,1373.0,72000.0,91.1,365
17.0,2012.0,5.0,998.0,42137.0,67.1,366
17.4,2021.0,5.0,1956.0,69271.0,167.6,367
20.45,2012.0,5.0,1995.0,120000.0,184.0,368
19.0,2019.0,5.0,1197.0,39500.0,83.1,369
14.11,2018.0,5.0,1395.0,22742.0,147.5,370
26.0,2016.0,5.0,1248.0,43803.0,74.0,371
16.25,2020.0,5.0,998.0,30000.0,58.3,372
11.7,2009.0,5.0,1086.0,100000.0,68.0,373
18.6,2012.0,5.0,1197.0,44784.0,88.5,374
20.51,2010.0,5.0,1197.0,50000.0,78.91,375
20.3,2015.0,5.0,1497.0,100000.0,117.3,376
18.6,2015.0,5.0,1461.0,49000.0,83.8,377
22.38,2015.0,5.0,1199.0,40000.0,88.7,378
20.4,2021.0,7.0,2199.0,90000.0,197.2,379
25.0,2014.0,5.0,1498.0,90102.0,98.6,380
18.9,2017.0,7.0,1968.0,25000.0,148.0,381
14.99,2013.0,5.0,2354.0,68000.0,177.6,382
17.0,2021.0,5.0,1498.0,27094.0,119.3,383
27.39,2019.0,5.0,998.0,13000.0,67.0,384
14.0,2021.0,5.0,1086.0,14109.0,68.0,385
11.7,2017.0,5.0,1197.0,44843.0,81.8,386
11.9,2014.0,5.0,1197.0,95255.0,88.5,387
33.0,2017.0,5.0,1197.0,27468.0,83.1,388
17.1,2021.0,5.0,1493.0,58286.0,98.6,389
22.38,2009.0,5.0,1061.0,17970.0,67.0,390
18.3,2018.0,5.0,1498.0,37000.0,104.5,391
15.8,2010.0,5.0,1497.0,76765.0,116.39,392
14.94,2017.0,5.0,1248.0,50120.0,74.0,393
18.27,2011.0,7.0,2498.0,73000.0,112.0,394
18.56,2012.0,5.0,2354.0,39000.0,177.6,395
16.65,2021.0,4.0,2996.0,6000.0,384.8,396
21.4,2018.0,5.0,796.0,68588.0,47.3,397
21.1,2015.0,5.0,1591.0,45017.0,121.4,398
18.5,2013.0,5.0,1197.0,69622.0,88.5,399
28.4,2021.0,5.0,1199.0,30000.0,88.5,400
17.21,2014.0,5.0,1499.0,53861.0,110.0,401
20.8,2012.0,5.0,2143.0,110000.0,204.0,402
17.3,2020.0,5.0,998.0,15000.0,118.3,403
17.0,2020.0,5.0,1995.0,38000.0,187.7,404
20.36,2022.0,5.0,1197.0,12500.0,67.7,405
22.74,2019.0,5.0,1968.0,91915.0,141.0,406
17.0,2019.0,5.0,1197.0,32875.0,83.1,407
22.54,2011.0,5.0,1197.0,124948.0,85.8,408
22.54,2010.0,5.0,1197.0,100000.0,85.8,409
17.92,2018.0,5.0,1248.0,75690.0,74.0,410
15.37,2013.0,5.0,1197.0,61400.0,103.6,411
11.7,2022.0,5.0,1493.0,10000.0,113.4,412
23.84,2021.0,8.0,1497.0,19661.0,120.9,413
17.7,2019.0,5.0,1198.0,11975.0,108.5,414
18.0,2011.0,5.0,1197.0,51086.0,78.9,415
20.77,2021.0,5.0,796.0,5000.0,47.3,416
18.9,2009.0,5.0,1497.0,73236.0,116.39,417
16.0,2018.0,5.0,1396.0,45000.0,88.7,418
19.7,2019.0,5.0,1582.0,65000.0,126.2,419
18.27,2012.0,5.0,1086.0,60738.0,62.1,420
21.4,2019.0,7.0,1196.0,30000.0,73.0,421
19.4,2008.0,5.0,1796.0,78000.0,178.0,422
21.1,2016.0,5.0,1199.0,4253.0,84.0,423
17.6,2008.0,5.0,1497.0,80000.0,78.0,424
24.35,2015.0,5.0,1198.0,43412.0,86.7,425
17.8,2013.0,7.0,1248.0,96877.0,88.8,426
23.1,2019.0,5.0,1197.0,26340.0,81.8,427
26.2,2016.0,7.0,2179.0,119000.0,140.0,428
16.5,2008.0,5.0,796.0,10000.0,46.3,429
15.64,2022.0,5.0,998.0,8870.0,118.3,430
19.3,2017.0,5.0,1197.0,36573.0,83.1,431
19.7,2012.0,5.0,1198.0,75001.0,86.8,432
23.84,2013.0,5.0,814.0,71310.0,55.2,433
18.0,2011.0,5.0,1496.0,73068.0,88.7,434
18.0,2013.0,5.0,998.0,39000.0,65.7,435
21.64,2014.0,5.0,1497.0,80000.0,117.3,436
17.0,2015.0,5.0,998.0,62823.0,67.0,437
25.24,2022.0,5.0,1999.0,8000.0,197.1,438
12.8,2013.0,5.0,998.0,55214.0,58.2,439
18.9,2014.0,5.0,1198.0,65000.0,86.8,440
15.5,2015.0,5.0,1798.0,50000.0,167.6,441
17.8,2011.0,5.0,1248.0,118000.0,73.9,442
12.55,2012.0,5.0,796.0,100100.0,46.3,443
20.4,2016.0,5.0,1199.0,49987.0,84.0,444
14.82,2014.0,5.0,1198.0,74253.0,86.7,445
25.2,2019.0,5.0,1497.0,17677.0,117.6,446
20.51,2012.0,5.0,1461.0,75485.0,84.8,447
15.04,2018.0,5.0,1198.0,106467.0,108.5,448
18.9,2018.0,5.0,998.0,51877.0,65.7,449
28.4,2010.0,7.0,2494.0,120000.0,102.0,450
18.6,2017.0,5.0,1197.0,30000.0,81.8,451
20.0,2014.0,5.0,1198.0,70000.0,86.7,452
24.4,2009.0,5.0,1248.0,100000.0,103.66965775093472,453
20.36,2014.0,7.0,2982.0,222480.0,168.5,454
21.5,2017.0,5.0,1197.0,102887.0,81.8,455
15.5,2022.0,5.0,1998.0,20000.0,189.0,456
20.51,2017.0,5.0,1248.0,56523.0,74.0,457
20.4,2016.0,5.0,998.0,90000.0,67.0,458
19.27,2011.0,5.0,1598.0,100000.0,103.6,459
18.6,2014.0,5.0,1197.0,91125.0,82.0,460
18.9,2018.0,5.0,1248.0,66407.0,74.0,461
23.95,2014.0,5.0,1199.0,63860.0,88.7,462
14.2,2021.0,5.0,998.0,19252.0,118.3,463
14.28,2020.0,5.0,1499.0,56052.0,98.9,464
18.9,2010.0,5.0,1197.0,75000.0,78.9,465
18.49,2020.0,5.0,1497.0,100000.0,108.5,466
22.07,2014.0,5.0,1198.0,46843.0,86.7,467
16.47,2019.0,5.0,998.0,12413.0,67.0,468
17.05,2016.0,5.0,1197.0,63577.0,81.8,469
20.77,2016.0,5.0,2143.0,56800.0,170.0,470
20.51,2016.0,5.0,1199.0,14195.0,88.7,471
24.3,2017.0,5.0,1197.0,40880.0,81.8,472
21.21,2015.0,5.0,998.0,30751.0,67.0,473
18.9,2008.0,5.0,1086.0,54000.0,62.0,474
22.05,2021.0,6.0,1999.0,27852.0,156.9,475
14.53,2016.0,5.0,1798.0,54000.0,138.0,476
18.9,2023.0,7.0,2198.0,8000.0,172.4,477
23.7,2022.0,5.0,1451.0,10000.0,141.0,478
16.1,2012.0,5.0,998.0,100000.0,67.1,479
18.0,2017.0,7.0,1493.0,31450.0,100.0,480
21.9,2014.0,5.0,1199.0,103546.0,73.9,481
