mileage,ano,seats,engine_capacity,kms_driven,max_power,resale_price_Lakh
20.7,2017.0,5.0,1197.0,40356.0,83.1,7.12
14.84,2021.0,5.0,1493.0,19000.0,113.9,10.49
20.71,2022.0,5.0,1197.0,30000.0,81.8,7.5
17.7,2012.0,5.0,1248.0,55544.0,74.0,4.54
17.05,2021.0,5.0,799.0,14811.0,53.6,4.08
18.16,2022.0,5.0,1497.0,5500.0,113.1,11.25
16.0,2014.0,5.0,1499.0,50219.0,110.0,4.08
18.7,2021.0,5.0,1199.0,14127.0,118.3,9.15
17.0,2017.0,5.0,1196.0,40000.0,86.8,4.5
14.8,2010.0,5.0,995.0,80000.0,62.14,0.85
17.7,2016.0,5.0,1199.0,69425.0,88.7,5.5
15.74,2017.0,5.0,1591.0,30000.0,121.3,9.21
18.3,2019.0,5.0,1497.0,33000.0,121.3,9.0
15.6,2022.0,7.0,1482.0,11000.0,157.8,16.5
15.68,2017.0,5.0,1591.0,23750.0,121.3,8.0
18.9,2014.0,5.0,1591.0,100000.0,121.3,4.0
24.2,2011.0,5.0,1991.0,80000.0,147.9,2.5
14.11,2011.0,5.0,1497.0,63000.0,116.3,2.95
16.35,2018.0,5.0,1999.0,51620.0,177.0,34.0
20.36,2011.0,5.0,998.0,60014.0,67.1,2.75
22.05,2014.0,7.0,1498.0,90000.0,98.6,5.5
15.8,2020.0,7.0,2199.0,42885.0,197.2,29.75
17.01,2021.0,5.0,1199.0,38323.0,118.3,10.25
17.4,2012.0,5.0,1197.0,70000.0,78.9,2.75
23.95,2021.0,5.0,796.0,10000.0,47.3,3.9
19.17,2011.0,5.0,1598.0,120000.0,103.56,2.5
19.0,2012.0,5.0,1591.0,120000.0,121.3,3.4
18.0,2015.0,5.0,1497.0,41585.0,117.3,5.94
18.0,2014.0,5.0,998.0,80000.0,67.0,2.5
17.8,2021.0,5.0,999.0,20537.0,71.0,6.43
18.0,2018.0,5.0,1194.0,54813.0,94.6,5.77
20.0,2021.0,5.0,998.0,30000.0,118.3,10.2
26.1,2014.0,5.0,1198.0,64000.0,86.7,3.3
21.4,2009.0,5.0,1248.0,120000.0,73.97,2.5
19.67,2016.0,5.0,1497.0,70000.0,117.3,6.6
12.8,2021.0,5.0,998.0,6000.0,118.3,8.75
22.07,2019.0,5.0,1498.0,60000.0,99.2,5.9
26.2,2018.0,5.0,1197.0,74325.0,83.1,6.7
18.06,2017.0,5.0,1582.0,110000.0,126.2,8.5
14.5,2007.0,8.0,2494.0,120000.0,102.0,2.85
22.38,2013.0,5.0,1199.0,80000.0,73.9,3.4
21.5,2012.0,5.0,998.0,71713.0,58.2,2.43
20.0,2010.0,5.0,1198.0,100000.0,75.0,1.05
21.4,2017.0,5.0,1423.1701441170144,108648.0,103.88974615994809,8.1
22.41,2015.0,5.0,1197.0,62223.0,88.5,5.06
34.05,2018.0,5.0,1497.0,109357.0,108.5,8.42
20.51,2021.0,7.0,999.0,24317.0,71.0,7.0
17.8,2017.0,5.0,1197.0,54024.0,83.1,5.75
33.0,2014.0,5.0,1197.0,42776.0,88.5,4.64
13.68,2022.0,5.0,998.0,1962.0,55.9,5.58
21.74,2014.0,7.0,1462.0,18866.0,101.6,6.47
16.36,2017.0,5.0,1497.0,60000.0,117.3,7.25
18.0,2019.0,5.0,796.0,88667.0,47.3,3.9
25.8,2018.0,7.0,2393.0,50000.0,147.8,20.5
17.3,2021.0,5.0,999.0,31754.0,67.0,4.73
17.0,2013.0,5.0,2179.0,70000.0,187.7,17.5
21.21,2019.0,5.0,1497.0,30000.0,117.6,10.25
18.6,2014.0,5.0,1498.0,60000.0,98.6,3.2
16.47,2020.0,8.0,1497.0,66590.0,121.0,11.0
17.5,2019.0,5.0,1198.0,23394.0,108.5,9.17
23.84,2019.0,5.0,1197.0,51193.0,81.8,5.38
13.9,2013.0,5.0,1197.0,92285.0,85.8,4.31
18.9,2013.0,5.0,1198.0,96966.0,73.9,2.45
23.0,2010.0,5.0,1298.0,62259.0,85.8,2.31
20.3,2017.0,5.0,1199.0,29594.0,83.8,4.98
15.1,2011.0,5.0,1799.0,70000.0,130.2,3.5
22.9,2017.0,5.0,1197.0,31600.0,82.0,4.65
23.1,2019.0,5.0,1498.0,42354.0,98.9,9.52
23.2,2017.0,5.0,1199.0,60000.0,84.0,4.5
23.65,2019.0,7.0,2179.0,30000.0,152.8,16.0
13.68,2014.0,5.0,1248.0,79000.0,74.0,4.8
17.5,2016.0,5.0,998.0,27887.0,67.0,5.0
21.9,2015.0,5.0,1248.0,80000.0,73.9,2.0
23.95,2017.0,5.0,1248.0,65275.0,88.5,6.92
17.0,2019.0,7.0,2393.0,50000.0,147.8,17.0
19.81,2017.0,5.0,1199.0,29640.0,88.7,7.6
42.672,2012.0,5.0,1396.0,86873.0,88.7,4.85
32.52,2018.0,5.0,998.0,79000.0,67.1,3.49
18.88,2019.0,5.0,1198.0,30000.0,108.5,7.1
18.24,2010.0,5.0,1086.0,49500.0,68.0,2.45
33.54,2019.0,5.0,1086.0,27792.0,58.0,5.64
12.95,2021.0,5.0,998.0,20000.0,58.3,5.5
21.4,2013.0,5.0,1995.0,39000.0,184.0,11.0
24.7,2019.0,5.0,999.0,45000.0,108.6,6.99
19.34,2019.0,5.0,998.0,68678.0,67.0,5.34
14.1,2019.0,5.0,1999.0,30000.0,152.8,17.0
18.88,2018.0,5.0,1197.0,32647.0,83.1,7.45
23.84,2018.0,5.0,796.0,70000.0,47.3,2.8
17.0,2019.0,7.0,1462.0,60000.0,103.0,11.0
30.716,2016.0,7.0,2179.0,90000.0,148.0,6.0
16.35,2014.0,5.0,1995.0,90000.0,184.0,10.0
17.4,2016.0,5.0,1199.0,101386.0,84.0,3.64
18.9,2010.0,5.0,1197.0,120000.0,78.91,3.4
22.38,2016.0,5.0,1196.0,100000.0,61.7,2.53
20.89,2021.0,5.0,1199.0,7662.0,118.3,12.17
19.0,2018.0,5.0,1197.0,29084.0,81.8,6.6
16.55,2019.0,5.0,1197.0,42090.0,81.8,5.74
21.4,2018.0,5.0,1197.0,69553.0,88.5,5.96
22.74,2019.0,5.0,1197.0,47844.0,81.8,5.12
20.14,2010.0,5.0,998.0,61633.0,67.1,1.95
20.92,2018.0,6.0,2498.0,32000.0,105.0,9.75
17.8,2019.0,5.0,1197.0,64891.0,83.1,5.64
13.79,2013.0,5.0,796.0,80000.0,47.3,2.1
20.36,2014.0,5.0,1498.0,100578.0,88.8,6.4
22.41,2012.0,5.0,998.0,54007.0,67.1,2.65
17.8,2016.0,5.0,1497.0,46275.0,117.3,7.23
21.1,2023.0,5.0,1451.0,10000.0,141.0,19.5
15.1,2012.0,5.0,1197.0,52300.0,78.9,2.35
15.1,2012.0,5.0,1197.0,64302.0,88.5,3.99
22.54,2008.0,5.0,1086.0,100000.0,63.0,1.5
18.97,2014.0,5.0,814.0,74318.0,55.2,2.0
18.6,2017.0,5.0,1798.0,100000.0,177.0,9.2
17.21,2018.0,7.0,2179.0,18000.0,152.8,15.95
18.6,2017.0,5.0,1396.0,116263.0,88.7,5.65
17.92,2021.0,5.0,999.0,20000.0,108.6,9.5
25.2,2015.0,5.0,1197.0,93000.0,81.8,6.25
19.7,2018.0,5.0,1197.0,64059.0,103.5,7.38
24.3,2010.0,5.0,1199.0,89748.0,79.4,1.18
16.0,2008.0,5.0,1086.0,164359.0,62.1,0.75635
18.41,2017.0,5.0,1248.0,70000.0,74.0,5.0
25.24,2012.0,5.0,796.0,63697.0,46.3,2.35
15.8,2016.0,5.0,1248.0,79221.0,88.5,8.13
21.79,2009.0,5.0,995.0,80000.0,62.14,1.2
17.05,2023.0,5.0,1498.0,18000.0,147.5,16.85
17.5,2015.0,5.0,998.0,57521.0,65.7,4.54
17.01,2019.0,5.0,1591.0,40000.0,121.3,13.2
19.3,2008.0,5.0,998.0,60000.0,67.0,1.7
19.6,2011.0,5.0,1995.0,80000.0,184.0,9.5
17.36,2018.0,5.0,1199.0,12724.0,88.7,7.1
17.4,2017.0,5.0,1591.0,15504.0,121.3,7.81
12.55,2014.0,5.0,1968.0,27277.0,141.0,11.15
18.06,2021.0,5.0,1199.0,2024.0,84.8,8.13
34.05,2019.0,5.0,1197.0,37610.0,81.8,6.72
17.05,2014.0,5.0,1497.0,37609.0,117.3,5.0
18.9,2016.0,7.0,2982.0,90000.0,168.5,16.4
22.05,2012.0,5.0,1198.0,120000.0,75.0,2.1
15.1,2022.0,5.0,998.0,20000.0,55.9,5.5
20.8,2017.0,5.0,1995.0,55000.0,188.0,26.5
19.01,2015.0,5.0,1197.0,46988.0,82.0,4.83
24.0,2021.0,5.0,796.0,20000.0,47.3,3.7
18.88,2019.0,5.0,1798.0,67896.0,178.0,15.08
14.67,2020.0,5.0,1493.0,17662.0,113.4,13.21
22.3,2020.0,5.0,1199.0,15874.0,84.8,4.75
17.4,2014.0,5.0,1120.0,70000.0,70.0,3.6
15.37,2012.0,5.0,1995.0,80000.0,184.0,10.0
17.0,2019.0,5.0,1798.0,54000.0,177.4,18.5
22.38,2021.0,5.0,799.0,10000.0,53.2,4.45
19.4,2015.0,5.0,1497.0,65253.0,117.3,6.39
13.5,2022.0,5.0,1493.0,5700.0,113.4,19.86
21.79,2010.0,7.0,1196.0,50000.0,73.0,1.75
20.3,2010.0,5.0,1197.0,80000.0,78.91,3.0
17.01,2012.0,5.0,1197.0,78249.0,88.5,4.21
18.9,2012.0,5.0,1198.0,53300.0,86.8,2.49
18.0,2013.0,7.0,2477.0,100000.0,175.5,7.95
18.6,2012.0,5.0,998.0,65000.0,67.0,2.1
21.9,2021.0,5.0,1086.0,5482.0,68.0,6.39
22.1,2017.0,5.0,1591.0,45364.0,121.3,8.67
25.2,2016.0,5.0,1197.0,53000.0,82.0,3.99
21.21,2009.0,5.0,995.0,60000.0,62.0,0.5
28.4,2017.0,5.0,1197.0,51181.0,81.8,6.39
20.4,2017.0,7.0,1498.0,64898.0,98.6,6.39
22.0,2017.0,7.0,1995.0,104507.0,103.88974615994809,15.79
18.6,2017.0,5.0,1396.0,70000.0,88.7,7.95
23.65,2017.0,5.0,1248.0,36496.0,74.0,6.64
14.7,2016.0,5.0,1197.0,43000.0,81.8,4.8
26.6,2018.0,5.0,1248.0,99367.0,74.0,7.15
18.1,2017.0,5.0,1197.0,48197.0,81.8,6.45
17.11,2017.0,5.0,1582.0,76089.0,126.2,9.32
18.9,2017.0,5.0,1197.0,50000.0,81.8,6.0
14.8,2017.0,5.0,1248.0,50669.0,88.5,5.62
18.0,2012.0,5.0,1985.0,109000.0,163.0,10.15
10.91,2016.0,5.0,998.0,85246.0,58.1,3.57
16.55,2021.0,6.0,1493.0,12879.0,113.9,18.0
23.84,2013.0,5.0,1968.0,73000.0,174.3,13.9
32.52,2018.0,5.0,1591.0,57600.0,121.3,10.8
23.84,2019.0,5.0,1197.0,69561.0,81.8,5.48
21.1,2019.0,5.0,1591.0,19722.0,121.3,12.56
19.17,2016.0,5.0,1198.0,64134.0,86.7,5.12
22.3,2019.0,7.0,3198.0,90000.0,197.0,32.0
20.45,2011.0,6.0,2498.0,90000.0,105.0,5.0
18.9,2016.0,5.0,1199.0,108498.0,83.8,3.85
15.64,2021.0,5.0,998.0,26032.0,58.3,5.99
18.9,2018.0,5.0,1199.0,42000.0,84.0,4.85
16.8,2014.0,5.0,814.0,70000.0,55.2,2.5
18.9,2021.0,5.0,999.0,15987.0,71.0,7.19
20.08,2022.0,5.0,799.0,10000.0,53.2,4.3
20.5,2014.0,5.0,1461.0,100000.0,83.8,4.0
20.1,2013.0,5.0,998.0,8889.0,67.1,2.95
15.29,2010.0,5.0,1193.0,70000.0,64.1,1.75
17.21,2014.0,5.0,1197.0,98500.0,82.0,3.43
20.73,2012.0,5.0,1497.0,110067.0,116.3,4.14
16.8,2012.0,5.0,998.0,50989.0,67.1,2.79
21.1,2022.0,5.0,999.0,14000.0,113.9,16.25
23.84,2013.0,5.0,1598.0,132000.0,103.5,3.45
9.4,2020.0,5.0,1197.0,30000.0,81.8,6.5
17.01,2017.0,5.0,1591.0,67224.0,121.3,8.19
19.02,2017.0,5.0,1197.0,60528.0,103.5,9.25
17.0,2018.0,5.0,1373.0,63974.0,91.1,6.99
28.4,2020.0,5.0,1497.0,30000.0,113.4,10.9
19.81,2010.0,5.0,1197.0,94259.0,85.8,2.6
13.0,2020.0,5.0,1493.0,53000.0,113.4,18.75
24.3,2018.0,5.0,1199.0,61100.0,83.8,5.45
18.5,2015.0,5.0,1999.0,85032.0,237.3,25.99
17.8,2016.0,5.0,1591.0,40000.0,121.3,5.1
20.51,2014.0,5.0,1198.0,62884.0,67.0,1.72
18.6,2018.0,5.0,1198.0,95495.0,73.7,4.5
19.56,2016.0,5.0,1248.0,79659.0,74.0,6.1
17.4,2010.0,5.0,1086.0,42000.0,68.0,2.8
13.93,2016.0,5.0,1591.0,102816.0,121.3,9.34
18.5,2017.0,5.0,1248.0,60000.0,88.5,7.0
13.5,2011.0,5.0,1197.0,81738.0,85.8,2.85
16.8,2016.0,5.0,1497.0,118569.0,117.3,4.84
18.9,2018.0,5.0,998.0,58100.0,67.0,4.76
22.74,2020.0,5.0,1199.0,10300.0,88.7,8.0
18.5,2019.0,5.0,1197.0,27355.0,81.8,7.99
14.82,2021.0,5.0,1497.0,103000.0,117.6,9.75
16.47,2009.0,7.0,2179.0,134097.0,138.1,2.5
28.4,2013.0,5.0,1197.0,51284.0,82.9,3.37
14.47,2019.0,5.0,1999.0,10000.0,246.7,42.0
25.44,2010.0,5.0,1493.0,70000.0,110.0,3.3
17.4,2015.0,5.0,1197.0,45000.0,82.0,3.95
19.33,2014.0,5.0,796.0,60000.0,47.3,2.6
16.8,2013.0,5.0,1197.0,48720.0,82.9,4.09
19.67,2022.0,5.0,1498.0,12000.0,108.4,15.75
21.01,2010.0,5.0,1198.0,80000.0,73.9,1.95
15.1,2018.0,5.0,1248.0,90000.0,74.0,6.0
17.8,2018.0,5.0,2993.0,40000.0,301.7,53.0
16.0,2012.0,5.0,936.0,86147.0,57.6,1.95
23.84,2015.0,5.0,1497.0,28066.0,117.3,5.05
18.9,2022.0,5.0,1199.0,10000.0,86.8,7.25
16.2,2013.0,5.0,1497.0,89205.0,116.3,5.27
18.5,2018.0,5.0,1582.0,70000.0,126.2,11.5
31.79,2021.0,5.0,1197.0,36218.0,81.8,5.37
23.0,2019.0,7.0,2179.0,100000.0,152.8,13.0
16.47,2009.0,5.0,1399.0,100000.0,68.0,1.2
26.59,2015.0,7.0,2179.0,90000.0,140.0,5.5
17.29,2017.0,5.0,1199.0,40000.0,84.0,3.75
19.1,2016.0,5.0,1197.0,35109.0,82.0,4.4
30.716,2022.0,7.0,1353.0,20000.0,138.0,17.8
19.34,2015.0,5.0,1197.0,53000.0,85.8,2.9
13.96,2014.0,5.0,998.0,80000.0,58.2,3.2
25.8,2018.0,5.0,1498.0,109496.0,98.9,6.0
17.8,2012.0,5.0,1198.0,55809.0,73.9,2.54
17.03,2015.0,5.0,1248.0,120000.0,74.0,5.0
26.0,2021.0,7.0,1493.0,20000.0,100.0,11.5
18.9,2015.0,5.0,1197.0,45000.0,81.8,4.5
33.0,2017.0,5.0,1196.0,150000.0,61.7,3.0
19.34,2020.0,5.0,1197.0,61976.0,81.8,5.25
19.81,2018.0,5.0,1198.0,38000.0,75.9,5.65
17.6,2020.0,5.0,1451.0,36000.0,141.0,15.99
12.07,2013.0,5.0,1498.0,65000.0,98.6,2.45
22.77,2015.0,5.0,1198.0,35534.0,86.7,5.15
18.6,2021.0,5.0,1462.0,11000.0,103.2,8.8
17.0,2014.0,5.0,1498.0,110000.0,98.6,5.03
19.15,2018.0,5.0,1197.0,23111.0,81.8,4.65
17.69,2021.0,5.0,0.0,32800.0,140.8,18.0
21.21,2019.0,5.0,796.0,60000.0,47.3,4.75
17.43,2014.0,5.0,1198.0,67000.0,76.0,3.35
17.29,2014.0,5.0,1086.0,74418.0,68.0,3.12
15.8,2018.0,5.0,1582.0,57263.0,126.2,9.87
12.7,2011.0,7.0,2967.0,120000.0,241.4,20.0
16.0,2017.0,5.0,1498.0,110000.0,98.5,7.5
23.01,2016.0,5.0,1199.0,53772.0,88.7,5.5
17.0,2009.0,5.0,1896.0,95000.0,103.56,2.65
26.6,2017.0,5.0,1198.0,46468.0,75.9,4.49
19.0,2022.0,5.0,999.0,20972.0,108.6,10.5
10.1,2019.0,5.0,1197.0,52858.0,81.8,6.03
26.3,2016.0,5.0,1396.0,60061.0,105.5,6.1
18.6,2021.0,7.0,1493.0,31108.0,100.0,9.0
20.92,2013.0,5.0,2179.0,105000.0,187.7,20.0
21.79,2017.0,7.0,1997.0,69216.0,140.0,14.0
13.7,2014.0,5.0,1498.0,40000.0,98.6,9.0
20.51,2017.0,5.0,999.0,48162.0,67.0,2.97
25.01,2019.0,5.0,1198.0,56232.0,108.5,6.66
20.7,2018.0,5.0,998.0,46798.0,58.1,4.18
19.16,2018.0,5.0,1194.0,50000.0,94.6,4.5
34.05,2004.0,5.0,2354.0,150000.0,149.92,1.7
17.21,2012.0,5.0,998.0,105503.0,67.1,2.15
28.09,2021.0,5.0,1997.0,30465.0,174.33,32.0
16.82,2011.0,5.0,998.0,30000.0,67.1,2.2
31.2,2019.0,5.0,998.0,48702.0,67.0,5.0
20.7,2012.0,5.0,1798.0,55000.0,157.7,5.5
17.5,2014.0,5.0,998.0,24324.0,67.0,2.84
17.0,2014.0,5.0,1498.0,156126.0,89.7,3.0
13.24,2021.0,5.0,1197.0,7266.0,81.8,6.39
17.0,2021.0,5.0,2494.0,24000.0,157.7,42.0
21.7,2022.0,5.0,998.0,15333.0,55.9,6.0
21.5,2015.0,7.0,1493.0,110000.0,100.0,3.0
15.26,2017.0,5.0,1248.0,30000.0,88.5,6.0
20.7,2019.0,5.0,1086.0,27153.0,68.0,4.8
17.1,2020.0,5.0,1197.0,40000.0,108.6,8.5
21.1,2021.0,4.0,998.0,39855.0,58.3,4.65
28.4,2021.0,5.0,1197.0,20000.0,81.8,7.25
20.77,2010.0,5.0,1298.0,74000.0,85.8,2.35
21.21,2018.0,5.0,1591.0,50000.0,121.3,10.5
22.38,2017.0,5.0,1598.0,46000.0,102.5,7.75
22.05,2011.0,5.0,1197.0,72874.0,78.91,2.44
22.54,2016.0,5.0,1498.0,48000.0,98.9,5.5
22.38,2018.0,5.0,1497.0,40000.0,108.5,12.0
16.9,2010.0,5.0,1598.0,60000.0,103.5,1.6
26.0,2020.0,5.0,1197.0,40051.0,81.8,6.45
16.1,2019.0,5.0,1956.0,9106.0,170.0,18.9
14.82,2017.0,5.0,814.0,19949.0,55.2,3.98
26.6,2019.0,5.0,1248.0,44933.0,74.0,7.49
20.0,2012.0,7.0,1248.0,70000.0,88.8,4.5
12.99,2015.0,5.0,1197.0,50000.0,81.8,4.5
21.1,2016.0,5.0,1197.0,63313.0,88.5,5.25
18.9,2015.0,5.0,796.0,41247.0,47.3,2.55
24.0,2018.0,5.0,1396.0,36283.0,88.7,8.21
21.72,2012.0,5.0,1197.0,66945.0,88.5,4.01
17.52,2015.0,5.0,1197.0,77721.0,82.0,4.92
18.41,2011.0,4.0,624.0,40000.0,35.0,0.3
18.9,2021.0,5.0,0.0,50000.0,127.0,12.0
17.0,2004.0,4.0,796.0,80000.0,37.0,0.35
21.4,2022.0,5.0,1498.0,23200.0,108.4,15.75
22.7,2016.0,5.0,998.0,80415.0,58.1,4.24
21.1,2021.0,7.0,999.0,50000.0,71.0,4.6
17.0,2013.0,7.0,2494.0,122000.0,100.6,13.25
13.0,2018.0,5.0,814.0,63608.0,55.2,3.17
19.81,2017.0,5.0,1197.0,65730.0,81.8,5.29
24.39,2017.0,5.0,1186.0,20000.0,73.9,4.8
20.0,2019.0,5.0,1498.0,37243.0,108.6,8.38
16.77,2022.0,5.0,1197.0,20000.0,81.8,8.38
23.0,2022.0,5.0,999.0,13000.0,113.9,15.99
13.7,2015.0,5.0,1197.0,45463.0,82.0,5.55
17.84,2019.0,5.0,1198.0,42000.0,108.5,7.5
23.2,2019.0,5.0,1197.0,22343.0,83.1,5.49
13.6,2014.0,5.0,1498.0,120000.0,89.8,4.1
18.9,2017.0,5.0,814.0,30000.0,55.2,3.0
24.3,2012.0,7.0,2650.0,60000.0,80.8,3.5
39.199999999999996,2008.0,5.0,1086.0,69000.0,68.0,2.45
21.21,2018.0,5.0,998.0,66802.0,65.7,3.26
18.6,2012.0,5.0,1399.0,110000.0,68.0,2.15
18.6,2017.0,5.0,2993.0,47000.0,261.4,64.5
16.8,2017.0,5.0,1498.0,100000.0,98.9,5.0
25.0,2013.0,7.0,1399.0,150000.0,98.8,2.3
13.7,2017.0,5.0,1395.0,44500.0,147.5,23.0
18.6,2012.0,5.0,1248.0,120000.0,73.9,2.1
19.5,2017.0,5.0,1999.0,26000.0,197.1,24.9
28.4,2017.0,5.0,1197.0,50000.0,82.0,3.6
22.77,2017.0,5.0,1248.0,85938.0,88.5,8.26
20.73,2018.0,5.0,1186.0,50000.0,73.9,4.2
23.1,2020.0,5.0,1197.0,44504.0,68.0,7.0
13.68,2017.0,5.0,1197.0,77569.0,81.8,5.11
14.3,2015.0,5.0,1197.0,59000.0,81.8,5.21
19.1,2016.0,5.0,1197.0,61000.0,81.8,5.15
18.78,2020.0,5.0,1497.0,40000.0,113.4,10.5
16.5,2013.0,5.0,1396.0,110000.0,69.0,1.83
18.6,2009.0,5.0,1798.0,50000.0,157.7,4.0
16.0,2020.0,5.0,1199.0,30000.0,88.7,7.25
24.3,2019.0,5.0,1199.0,37566.0,88.7,6.22
28.4,2018.0,5.0,1248.0,23000.0,74.0,7.75
16.8,2021.0,6.0,1462.0,55642.0,103.2,9.79
13.0,2016.0,5.0,1498.0,52151.0,98.5,6.25
18.6,2017.0,5.0,1373.0,38854.0,91.1,4.75
22.7,2016.0,5.0,998.0,16848.0,67.0,4.21
17.0,2017.0,8.0,2393.0,77000.0,147.8,15.25
16.55,2016.0,5.0,1598.0,54000.0,103.5,4.99
13.7,2013.0,5.0,1197.0,50538.0,85.8,4.09
17.4,2018.0,5.0,999.0,60000.0,75.0,4.75
25.83,2020.0,5.0,1353.0,70000.0,138.0,14.9
19.33,2017.0,5.0,1197.0,17961.0,81.8,6.3
24.39,2010.0,5.0,1198.0,49580.0,90.0,3.25
15.85,2017.0,5.0,1248.0,96567.0,88.5,7.43
18.9,2018.0,5.0,1248.0,88900.0,74.0,8.06
17.1,2011.0,5.0,1086.0,57757.0,62.0,1.1
12.07,2020.0,5.0,1497.0,30000.0,113.4,13.0
20.51,2014.0,7.0,2982.0,117305.0,168.5,18.25
19.5,2015.0,5.0,1197.0,103384.0,81.8,5.08
16.46,2016.0,5.0,799.0,10289.0,53.6,2.4
13.96,2019.0,5.0,1591.0,30000.0,121.3,10.5
16.8,2016.0,5.0,2993.0,40000.0,258.0,24.8
16.0,2017.0,5.0,1497.0,32395.0,117.6,7.36
24.76,2018.0,5.0,1498.0,40000.0,99.0,4.99
19.81,2020.0,5.0,1199.0,23753.0,86.8,6.59
16.5,2018.0,5.0,998.0,45756.0,65.7,3.72
12.2,2016.0,5.0,1499.0,19397.0,110.4,6.99
20.45,2015.0,5.0,1197.0,65039.0,82.0,3.25
15.7,2018.0,5.0,1956.0,40000.0,170.0,15.0
18.0,2014.0,7.0,2967.0,50000.0,241.4,18.99
17.5,2018.0,5.0,998.0,21563.0,67.0,3.89
17.57,2018.0,5.0,1199.0,45977.0,88.7,6.42
23.7,2014.0,5.0,2993.0,133328.0,258.0,28.5
22.54,2020.0,5.0,1451.0,60000.0,141.0,14.0
21.4,2010.0,5.0,1497.0,59000.0,116.39,4.35
20.89,2017.0,5.0,1199.0,28000.0,83.8,5.35
26.6,2018.0,5.0,1368.0,47000.0,160.0,12.25
18.49,2021.0,5.0,998.0,7000.0,65.7,4.3
21.1,2010.0,5.0,1086.0,60000.0,68.0,2.0
16.98,2013.0,5.0,1198.0,94297.0,86.8,3.58
19.2,2009.0,8.0,2498.0,74000.0,112.0,2.45
18.23,2014.0,5.0,1461.0,120000.0,83.8,6.5
14.6,2017.0,5.0,1197.0,120000.0,65.3,3.8
23.08,2007.0,5.0,1390.0,80000.0,75.0,1.4
23.0,2015.0,5.0,1497.0,80000.0,117.3,7.7
19.81,2008.0,5.0,1896.0,78000.0,106.0,2.45
19.4,2015.0,5.0,1193.0,90000.0,88.7,2.3
15.8,2021.0,5.0,1493.0,121850.0,98.6,9.74
10.91,2014.0,5.0,1396.0,69786.0,88.7,4.11
20.45,2016.0,5.0,1197.0,44373.0,83.1,5.43
13.68,2021.0,5.0,1197.0,30701.0,81.8,7.25
19.2,2018.0,5.0,998.0,50000.0,58.1,3.4
18.27,2018.0,7.0,1493.0,51311.0,100.0,6.79
18.6,2010.0,5.0,1197.0,54927.0,85.8,1.83
13.0,2011.0,5.0,998.0,30000.0,66.1,2.0
16.0,2022.0,5.0,999.0,10000.0,113.9,13.6
21.79,2018.0,5.0,1582.0,67000.0,126.2,12.75
14.5,2011.0,5.0,1368.0,60000.0,112.0,2.3
17.5,2011.0,5.0,1198.0,67258.0,63.1,2.95
17.8,2011.0,5.0,1396.0,120000.0,88.77,2.95
18.2,2009.0,5.0,1086.0,80359.0,68.0,1.4
23.1,2013.0,5.0,1198.0,68266.0,86.8,2.57
17.4,2019.0,5.0,1591.0,32475.0,121.3,8.0
18.56,2019.0,7.0,3198.0,90000.0,197.2,28.0
21.79,2012.0,5.0,1461.0,150000.0,83.8,3.0
17.9,2019.0,7.0,2393.0,10000.0,147.8,17.0
25.5,2022.0,5.0,999.0,14000.0,113.9,13.25
