full_name,city,engine_capacity,insurance,transmission_type,categoria_marca,kms_driven,ano,marca,modelo,mileage,seats,engine_capacity.1,body_type,fuel_type,kms_driven.1,max_power,owner_type,resale_price_Lakh,prediction,precisaoNew,prejuizoNew,variacaoPrecisao,precisaoOld,prejuizoOld,satisfacaoOld,satisfacaoNew
2017 Mercedes-Benz C-Class C 220 CDI Avantgarde,Pune,2143.0,Comprehensive,Automatic,alta,63000.0,2017.0,Mercedes-Benz,2017  C-Class C 220 CDI Avantgarde,19.27,5.0,2143.0,Sedan,Diesel,63000.0,170.0,First Owner,26.5,27.3633,0,0,3.257735849056599,0,0.0,72.89462264574851,72.89462264574851
2018 Renault KWID 1.0 RXT,Kolkata,999.0,Third Party,Manual,baixa,30000.0,2018.0,Renault,KWID 1.0 RXT,23.01,5.0,999.0,Hatchback,Petrol,30000.0,67.0,Second Owner,3.1,3.2818000000000014,0,0,5.8645161290323,0,0.0,82.41248081085101,82.41248081085101
2019 Tata Nexon 1.5 Revotorq XZA Plus DualTone,Hyderabad,1497.0,Zero Dep,Automatic,baixa,46034.0,2019.0,Tata,Nexon 1.5 Revotorq XZA Plus DualTone,21.5,5.0,1497.0,SUV,Diesel,46034.0,108.5,First Owner,10.22,9.734500000000017,0,0,4.75048923679045,0,0.0,78.34495351140149,78.34495351140149
2013 Maruti Swift VXI,Hyderabad,1197.0,Third Party,Manual,baixa,50824.0,2013.0,Maruti,Swift VXI,22.38,5.0,1197.0,Hatchback,Petrol,50824.0,88.5,First Owner,4.55,3.7082999999999977,0,0,18.498901098901147,1,1.2269773211444603,50.0,100.0
2017 Honda City i-VTEC CVT V,Bangalore,1497.0,Zero Dep,Automatic,baixa,120848.0,2017.0,Honda,City i-VTEC CVT V,18.0,5.0,1497.0,Sedan,Petrol,120848.0,117.6,First Owner,7.18,7.9446,0,0,10.649025069637892,1,0.90375852780505,50.0,100.0
2015 Maruti Swift Dzire VXI,Delhi,1197.0,Third Party,Manual,baixa,36888.0,2015.0,Maruti,Swift Dzire VXI,22.41,5.0,1197.0,Sedan,Petrol,36888.0,88.5,Second Owner,3.78,3.9577999999999935,0,0,4.703703703703539,0,0.0,78.17413049592889,78.17413049592889
2016 Mercedes-Benz GLS 350d 4MATIC,Delhi,2987.0,Comprehensive,Automatic,alta,66000.0,2016.0,Mercedes-Benz,2016  GLS 350d 4MATIC,11.0,7.0,2987.0,SUV,Diesel,66000.0,258.0,Second Owner,49.5,48.2565,0,0,2.512121212121207,0,0.0,70.1722396299304,70.1722396299304
2018 Maruti Baleno Delta Diesel,Jaipur,1248.0,Comprehensive,Manual,baixa,83083.0,2018.0,Maruti,Baleno Delta Diesel,27.39,5.0,1248.0,Hatchback,Diesel,83083.0,74.0,First Owner,6.75,6.5448999999999975,0,0,3.0385185185185555,0,0.0,72.09421784162251,72.09421784162251
2018 Mahindra Thar CRDe,Bangalore,2498.0,Third Party,Manual,baixa,59889.0,2018.0,Mahindra,Thar CRDe,16.55,6.0,2498.0,SUV,Diesel,59889.0,105.0,First Owner,9.85,7.144300000000004,0,0,27.469035532994884,1,1.3787214982573512,50.0,100.0
2018 Ford Freestyle Titanium Petrol BSIV,Hyderabad,1194.0,Zero Dep,Manual,baixa,45600.0,2018.0,Ford,Freestyle Titanium Petrol BSIV,19.0,5.0,1194.0,Hatchback,Petrol,45600.0,94.6,First Owner,5.5,5.6393999999999975,0,0,2.5345454545454094,0,0.0,70.25411486908766,70.25411486908766
2012 Toyota Etios Liva GD,Chennai,1364.0,Comprehensive,Manual,baixa,74000.0,2012.0,Toyota,Etios Liva GD,23.59,5.0,1364.0,Hatchback,Diesel,74000.0,103.88974615994807,First Owner,4.25,4.1742,0,0,1.783529411764708,0,0.0,67.51201027753002,67.51201027753002
2019 Mahindra XUV500 W7 AT BSIV,Hyderabad,2179.0,Third Party,Automatic,baixa,80000.0,2019.0,Mahindra,XUV500 W7 AT BSIV,15.1,7.0,2179.0,SUV,Diesel,80000.0,152.8,First Owner,15.0,14.782300000000005,0,0,1.4513333333333023,0,0.0,66.29909824892482,66.29909824892482
2017 Hyundai i20 Asta 1.2,Hyderabad,1197.0,Comprehensive,Manual,baixa,26997.0,2017.0,Hyundai,i20 Asta 1.2,18.6,5.0,1197.0,Hatchback,Petrol,26997.0,81.8,First Owner,6.68,6.566499999999999,0,0,1.6991017964072013,0,0.0,67.20374875109326,67.20374875109326
2022 MG Hector Sharp CVT,Delhi,1451.0,Third Party,Automatic,baixa,10000.0,2022.0,MG,Hector Sharp CVT,20.36,5.0,1451.0,SUV,Petrol,10000.0,141.0,Second Owner,21.0,20.673500000000004,0,0,1.5547619047618846,0,0.0,66.67673593501533,66.67673593501533
2011 Hyundai i10 Sportz,Pune,1197.0,Third Party,Manual,baixa,63386.0,2011.0,Hyundai,i10 Sportz,16.38,5.0,1197.0,Hatchback,Petrol,63386.0,78.9,First Owner,2.46,2.3769000000000013,0,0,3.378048780487749,0,0.0,73.33390839053713,73.33390839053713
2017 Jaguar F-Pace Prestige 2.0 AWD,Bangalore,1999.0,Comprehensive,Automatic,alta,56000.0,2017.0,Jaguar,F-Pace Prestige 2.0 AWD,18.2,5.0,1999.0,SUV,Diesel,56000.0,177.0,First Owner,43.0,38.8325,0,0,9.691860465116271,1,1.1073198995686602,50.0,100.0
2017 Honda Jazz V CVT,Bangalore,1199.0,Comprehensive,Automatic,baixa,47000.0,2017.0,Honda,Jazz V CVT,22.77,5.0,1199.0,Hatchback,Petrol,47000.0,88.7,First Owner,7.75,7.221700000000001,0,0,6.8167741935483726,0,0.0,85.88935888310783,85.88935888310783
2017 Ford Ecosport 1.5 TDCi Platinum Edition BSIV,Bangalore,1498.0,Comprehensive,Manual,baixa,70681.0,2017.0,Ford,Ecosport 1.5 TDCi Platinum Edition BSIV,17.0,5.0,1498.0,SUV,Diesel,70681.0,98.5,First Owner,7.33,7.037900000000003,0,0,3.9849931787175565,0,0.0,75.54997958795644,75.54997958795644
2020 Hyundai Verna VTVT 1.6 SX,Gurgaon,1591.0,Third Party,Manual,baixa,30000.0,2020.0,Hyundai,Verna VTVT 1.6 SX,17.6,5.0,1591.0,Sedan,Petrol,30000.0,121.3,First Owner,8.5,9.3776,0,0,10.324705882352934,1,0.9064152874936019,50.0,100.0
2019 Hyundai Creta 1.6 SX Automatic Diesel,Bangalore,1582.0,Comprehensive,Automatic,baixa,56000.0,2019.0,Hyundai,Creta 1.6 SX Automatic Diesel,18.15,5.0,1582.0,SUV,Diesel,56000.0,126.2,First Owner,15.75,14.7514,0,0,6.340317460317459,0,0.0,84.14972334744918,84.14972334744918
2022 Maruti Ertiga Tour STD CNG 2019-2022,Delhi,1462.0,Third Party,Manual,baixa,30000.0,2022.0,Maruti,Ertiga Tour STD CNG 2019-2022,17.4,7.0,1462.0,MUV,CNG,30000.0,91.1,First Owner,11.5,11.8801,0,0,3.3052173913043528,0,0.0,73.06798692506501,73.06798692506501
2018 Mahindra KUV 100 NXT G80 K6 Plus,Delhi,1198.0,Third Party,Manual,baixa,60000.0,2018.0,Mahindra,KUV 100 NXT G80 K6 Plus,18.6,6.0,1198.0,Hatchback,Petrol,60000.0,82.0,Second Owner,3.95,4.218299999999996,0,0,6.792405063291026,0,0.0,85.80038248291866,85.80038248291866
2019 Hyundai i20 Sportz Plus CVT BSIV,Chandigarh,1197.0,Third Party,Automatic,baixa,23717.0,2019.0,Hyundai,i20 Sportz Plus CVT BSIV,19.34,5.0,1197.0,Hatchback,Petrol,23717.0,81.8,Second Owner,7.34,7.0383,0,0,4.110354223433247,0,0.0,76.00769696912526,76.00769696912526
2019 Hyundai i20 Asta Option BSIV,Hyderabad,1197.0,Zero Dep,Manual,baixa,28438.0,2019.0,Hyundai,i20 Asta Option BSIV,21.4,5.0,1197.0,Hatchback,Petrol,28438.0,81.8,Second Owner,7.59,6.942300000000001,0,0,8.533596837944646,1,1.093297610302061,50.0,100.0
2018 Maruti Ertiga ZXI Petrol,Bangalore,1462.0,Comprehensive,Manual,baixa,68796.0,2018.0,Maruti,Ertiga ZXI Petrol,11.3,7.0,1462.0,MUV,Petrol,68796.0,103.0,First Owner,9.0,8.064,0,0,10.4,1,1.1160714285714286,50.0,100.0
2017 Maruti Baleno 1.2 Zeta,Bangalore,1197.0,Comprehensive,Manual,baixa,40356.0,2017.0,Maruti,Baleno 1.2 Zeta,20.7,5.0,1197.0,Hatchback,Petrol,40356.0,83.1,First Owner,7.12,5.837500000000001,0,0,18.012640449438187,1,1.219700214132762,50.0,100.0
2016 Mercedes-Benz GL-Class 350 CDI Blue Efficiency,Delhi,2987.0,Comprehensive,Automatic,alta,100000.0,2016.0,Mercedes-Benz,2016  GL-Class 350 CDI Blue Efficiency,22.9,7.0,2987.0,SUV,Diesel,100000.0,254.8,Second Owner,32.5,36.2195,0,0,11.444615384615373,1,0.8973066994298652,50.0,100.0
2021 Hyundai Creta E Diesel BSVI,Kolkata,1493.0,Comprehensive,Manual,baixa,19000.0,2021.0,Hyundai,Creta E Diesel BSVI,14.84,5.0,1493.0,SUV,Diesel,19000.0,113.9,First Owner,10.49,12.110800000000008,0,0,15.450905624404271,1,0.8661690392046762,50.0,100.0
2022 Hyundai Grand i10 Nios Sportz,Hyderabad,1197.0,Third Party,Manual,baixa,30000.0,2022.0,Hyundai,Grand i10 Nios Sportz,20.71,5.0,1197.0,Hatchback,Petrol,30000.0,81.8,First Owner,7.5,7.4391,0,0,0.8120000000000023,0,0.0,63.96476879521832,63.96476879521832
2012 Maruti Swift VDI,Bangalore,1248.0,Third Party,Manual,baixa,55544.0,2012.0,Maruti,Swift VDI,17.7,5.0,1248.0,Hatchback,Diesel,55544.0,74.0,Second Owner,4.54,4.030900000000004,0,0,11.213656387665102,1,1.1262993376169081,50.0,100.0
2013 Mercedes-Benz C-Class C 220 CDI Elegance AT,Pune,2143.0,Third Party,Automatic,alta,120000.0,2013.0,Mercedes-Benz,2013  C-Class C 220 CDI Elegance AT,15.8,5.0,2143.0,Sedan,Diesel,120000.0,170.0,Third Owner,7.5,12.090500000000002,0,0,61.2066666666667,1,0.6203217402092551,50.0,100.0
2021 Datsun RediGO A,Chennai,799.0,Comprehensive,Manual,baixa,14811.0,2021.0,Datsun,RediGO A,17.05,5.0,799.0,Hatchback,Petrol,14811.0,53.6,First Owner,4.08,4.020600000000001,0,0,1.4558823529411575,0,0.0,66.31570759791768,66.31570759791768
2022 Hyundai Verna SX,Kolkata,1497.0,Third Party,Manual,baixa,5500.0,2022.0,Hyundai,Verna SX,18.16,5.0,1497.0,Sedan,Petrol,5500.0,113.1,First Owner,11.25,11.869799999999998,0,0,5.5093333333333145,0,0.0,81.11563983882286,81.11563983882286
2014 Ford Ecosport 1.5 Ti VCT MT Trend,Delhi,1499.0,Third Party,Manual,baixa,50219.0,2014.0,Ford,Ecosport 1.5 Ti VCT MT Trend,16.0,5.0,1499.0,SUV,Petrol,50219.0,110.0,First Owner,4.08,4.146999999999998,0,0,1.6421568627450371,0,0.0,66.99583180236496,66.99583180236496
2021 Tata Nexon XMA AMT BSVI,Bangalore,1199.0,Comprehensive,Automatic,baixa,14127.0,2021.0,Tata,Nexon XMA AMT BSVI,18.7,5.0,1199.0,SUV,Petrol,14127.0,118.3,Second Owner,9.15,9.654999999999992,0,0,5.519125683060021,0,0.0,81.1513935985539,81.1513935985539
2017 Ford Aspire 1.2 Ti-VCT Trend,Ahmedabad,1196.0,Third Party,Manual,baixa,40000.0,2017.0,Ford,Aspire 1.2 Ti-VCT Trend,17.0,5.0,1196.0,Sedan,Petrol,40000.0,86.8,First Owner,4.5,4.6517,0,0,3.37111111111111,0,0.0,73.30857761999599,73.30857761999599
2010 Chevrolet Spark 1.0 PS,Ahmedabad,995.0,Third Party,Manual,baixa,80000.0,2010.0,Chevrolet,Spark 1.0 PS,14.8,5.0,995.0,Hatchback,Petrol,80000.0,62.14,Third Owner,0.85,1.0913000000000002,0,0,28.38823529411767,1,0.7788875652891046,50.0,100.0
2016 Honda Jazz 1.2 V i VTEC,Chennai,1199.0,Comprehensive,Manual,baixa,69425.0,2016.0,Honda,Jazz 1.2 V i VTEC,17.7,5.0,1199.0,Hatchback,Petrol,69425.0,88.7,First Owner,5.5,5.338699999999999,0,0,2.9327272727272846,0,0.0,71.70795357520717,71.70795357520717
2017 Hyundai Verna VTVT 1.6 AT SX Option,Mumbai,1591.0,Third Party,Automatic,baixa,30000.0,2017.0,Hyundai,Verna VTVT 1.6 AT SX Option,15.74,5.0,1591.0,Sedan,Petrol,30000.0,121.3,First Owner,9.21,9.268600000000006,0,0,0.6362649294245986,0,0.0,63.323126118534205,63.323126118534205
2019 Ford Ecosport 1.5 Petrol Trend Plus AT BSIV,Bangalore,1497.0,Comprehensive,Automatic,baixa,33000.0,2019.0,Ford,Ecosport 1.5 Petrol Trend Plus AT BSIV,18.3,5.0,1497.0,SUV,Petrol,33000.0,121.3,Second Owner,9.0,9.662199999999997,0,0,7.357777777777742,0,0.0,87.86466743560126,87.86466743560126
2022 Kia Carens Prestige Plus DCT BSVI,Delhi,1482.0,Comprehensive,Automatic,baixa,11000.0,2022.0,Kia,Carens Prestige Plus DCT BSVI,15.6,7.0,1482.0,MUV,Petrol,11000.0,157.8,First Owner,16.5,17.4361,0,0,5.673333333333332,0,0.0,81.71443550682274,81.71443550682274
2017 Hyundai Verna VTVT 1.6 EX,Mumbai,1591.0,Third Party,Manual,baixa,23750.0,2017.0,Hyundai,Verna VTVT 1.6 EX,15.68,5.0,1591.0,Sedan,Petrol,23750.0,121.3,First Owner,8.0,8.281300000000002,0,0,3.5162500000000207,0,0.0,73.83850772929469,73.83850772929469
2014 Hyundai Verna 1.6 SX VTVT AT,Delhi,1591.0,Third Party,Automatic,baixa,100000.0,2014.0,Hyundai,Verna 1.6 SX VTVT AT,18.9,5.0,1591.0,Sedan,Petrol,100000.0,121.3,Second Owner,4.0,4.598600000000001,0,0,14.965000000000028,1,0.8698299482451178,50.0,100.0
2011 Chevrolet Cruze LTZ,Delhi,1991.0,Third Party,Manual,baixa,80000.0,2011.0,Chevrolet,Cruze LTZ,24.2,5.0,1991.0,Sedan,Diesel,80000.0,147.9,Second Owner,2.5,3.0544,0,0,22.17599999999999,1,0.8184913567312729,50.0,100.0
2011 Honda City V AT,Mumbai,1497.0,Comprehensive,Automatic,baixa,63000.0,2011.0,Honda,City V AT,14.11,5.0,1497.0,Sedan,Petrol,63000.0,116.3,Second Owner,2.95,3.084699999999996,0,0,4.566101694915105,0,0.0,77.6717189912302,77.6717189912302
2018 Land Rover Range Rover Evoque 2.0 TD4 SE,Kolkata,1999.0,Third Party,Automatic,alta,51620.0,2018.0,Land,Rover Range Rover Evoque 2.0 TD4 SE,16.35,5.0,1999.0,SUV,Diesel,51620.0,177.0,Second Owner,34.0,38.0065,0,0,11.783823529411773,1,0.8945838211884809,50.0,100.0
2011 Maruti Wagon R VXI,Chennai,998.0,Third Party,Manual,baixa,60014.0,2011.0,Maruti,Wagon R VXI,20.36,5.0,998.0,Hatchback,Petrol,60014.0,67.1,Second Owner,2.75,2.5362,0,0,7.774545454545454,0,0.0,89.3863667003016,89.3863667003016
2014 Honda Mobilio S i-DTEC,Ahmedabad,1498.0,Comprehensive,Manual,baixa,90000.0,2014.0,Honda,Mobilio S i-DTEC,22.05,7.0,1498.0,MUV,Diesel,90000.0,98.6,First Owner,5.5,5.068200000000001,0,0,7.850909090909074,0,0.0,89.66518508229701,89.66518508229701
2020 Kia Carnival Prestige,Bangalore,2199.0,Zero Dep,Automatic,baixa,42885.0,2020.0,Kia,Carnival Prestige,15.8,7.0,2199.0,MUV,Diesel,42885.0,197.2,First Owner,29.75,31.13850000000001,0,0,4.66722689075634,0,0.0,78.0409466082751,78.0409466082751
2021 Tata Nexon XZA Plus DualTone Roof AMT,Jaipur,1199.0,Comprehensive,Automatic,baixa,38323.0,2021.0,Tata,Nexon XZA Plus DualTone Roof AMT,17.01,5.0,1199.0,SUV,Petrol,38323.0,118.3,First Owner,10.25,10.1329,0,0,1.1424390243902502,0,0.0,65.17126548023641,65.17126548023641
2012 Hyundai i10 Sportz,Delhi,1197.0,Third Party,Manual,baixa,70000.0,2012.0,Hyundai,i10 Sportz,17.4,5.0,1197.0,Hatchback,Petrol,70000.0,78.9,Second Owner,2.75,2.8912000000000004,0,0,5.13454545454547,0,0.0,79.74721692274358,79.74721692274358
2021 Maruti Alto 800 VXI Plus BSVI,Delhi,796.0,Comprehensive,Manual,baixa,10000.0,2021.0,Maruti,Alto 800 VXI Plus BSVI,23.95,5.0,796.0,Hatchback,Petrol,10000.0,47.3,First Owner,3.9,4.039999999999999,0,0,3.58974358974357,0,0.0,74.10684701688123,74.10684701688123
2011 Volkswagen Vento IPL II Petrol Highline,Mumbai,1598.0,Third Party,Manual,baixa,120000.0,2011.0,Volkswagen,Vento IPL II Petrol Highline,19.17,5.0,1598.0,Sedan,Petrol,120000.0,103.56,Second Owner,2.5,2.7296,0,0,9.184000000000001,1,0.9158851113716295,50.0,100.0
2012 Hyundai Verna 1.6 SX VTVT,Hyderabad,1591.0,Third Party,Manual,baixa,120000.0,2012.0,Hyundai,Verna 1.6 SX VTVT,19.0,5.0,1591.0,Sedan,Petrol,120000.0,121.3,First Owner,3.4,3.446799999999998,0,0,1.376470588235234,0,0.0,66.02575991075837,66.02575991075837
2015 Honda City i VTEC SV,Mumbai,1497.0,Comprehensive,Manual,baixa,41585.0,2015.0,Honda,City i VTEC SV,18.0,5.0,1497.0,Sedan,Petrol,41585.0,117.3,First Owner,5.94,6.085800000000003,0,0,2.454545454545505,0,0.0,69.96201942128322,69.96201942128322
2014 Maruti Alto K10 VXI AMT,Chandigarh,998.0,Third Party,Automatic,baixa,80000.0,2014.0,Maruti,Alto K10 VXI AMT,18.0,5.0,998.0,Hatchback,Petrol,80000.0,67.0,Fifth Owner,2.5,2.7401,0,0,9.604,1,0.9123754607496077,50.0,100.0
2021 Renault Kiger RXL,Ahmedabad,999.0,Third Party,Manual,baixa,20537.0,2021.0,Renault,Kiger RXL,17.8,5.0,999.0,SUV,Petrol,20537.0,71.0,Second Owner,6.43,6.845999999999995,0,0,6.46967340590972,0,0.0,84.62202688312398,84.62202688312398
2018 Ford Freestyle Titanium Petrol BSIV,Bangalore,1194.0,Third Party,Manual,baixa,54813.0,2018.0,Ford,Freestyle Titanium Petrol BSIV,18.0,5.0,1194.0,Hatchback,Petrol,54813.0,94.6,First Owner,5.77,5.3163,0,0,7.863084922010391,0,0.0,89.7096413927712,89.7096413927712
2021 Hyundai Venue SX Sport iMT,Hyderabad,998.0,Third Party,Manual,baixa,30000.0,2021.0,Hyundai,Venue SX Sport iMT,20.0,5.0,998.0,SUV,Petrol,30000.0,118.3,First Owner,10.2,10.161800000000015,0,0,0.37450980392140987,0,0.0,62.36740761104604,62.36740761104604
2014 Honda Amaze SX i-VTEC,Ahmedabad,1198.0,Third Party,Manual,baixa,64000.0,2014.0,Honda,Amaze SX i-VTEC,26.1,5.0,1198.0,Sedan,Petrol,64000.0,86.7,Second Owner,3.3,3.772400000000001,0,0,14.315151515151554,1,0.874774679249284,50.0,100.0
2009 Maruti Swift Vdi BSIII,Hyderabad,1248.0,Third Party,Manual,baixa,120000.0,2009.0,Maruti,Swift Vdi BSIII,21.4,5.0,1248.0,Hatchback,Diesel,120000.0,73.97,Second Owner,2.5,2.4640000000000004,0,0,1.4399999999999835,0,0.0,66.25771806048586,66.25771806048586
2016 Honda City i VTEC CVT VX,Delhi,1497.0,Third Party,Automatic,baixa,70000.0,2016.0,Honda,City i VTEC CVT VX,19.67,5.0,1497.0,Sedan,Petrol,70000.0,117.3,Second Owner,6.6,6.600200000000008,0,0,0.0030303030304305407,0,0.0,61.01106422150791,61.01106422150791
2021 Hyundai i20 Sportz Turbo iMT,Bangalore,998.0,Comprehensive,Manual,baixa,6000.0,2021.0,Hyundai,i20 Sportz Turbo iMT,12.8,5.0,998.0,Hatchback,Petrol,6000.0,118.3,Second Owner,8.75,9.360900000000004,0,0,6.981714285714337,0,0.0,86.49158700913509,86.49158700913509
2019 Ford Aspire Trend Diesel BSIV,Hyderabad,1498.0,Third Party,Manual,baixa,60000.0,2019.0,Ford,Aspire Trend Diesel BSIV,22.07,5.0,1498.0,Sedan,Diesel,60000.0,99.2,First Owner,5.9,6.359599999999993,0,0,7.789830508474456,0,0.0,89.442175383703,89.442175383703
2018 Maruti Baleno 1.2 Delta,Pune,1197.0,Comprehensive,Manual,baixa,74325.0,2018.0,Maruti,Baleno 1.2 Delta,26.2,5.0,1197.0,Hatchback,Petrol,74325.0,83.1,First Owner,6.7,6.4007000000000005,0,0,4.467164179104473,0,0.0,77.31047901641269,77.31047901641269
2017 Hyundai Creta 1.6 CRDi SX,Chennai,1582.0,Third Party,Manual,baixa,110000.0,2017.0,Hyundai,Creta 1.6 CRDi SX,18.06,5.0,1582.0,SUV,Diesel,110000.0,126.2,First Owner,8.5,8.5536,0,0,0.6305882352941109,0,0.0,63.30239941210801,63.30239941210801
2007 Toyota Innova 2.5 G (Diesel) 8 Seater BS III,Jaipur,2494.0,Third Party,Manual,baixa,120000.0,2007.0,Toyota,Innova 2.5 G (Diesel) 8 Seater BS III,14.5,8.0,2494.0,MUV,Diesel,120000.0,102.0,Second Owner,2.85,3.7313000000000023,0,0,30.922807017543935,1,0.7638088601827777,50.0,100.0
2013 Volkswagen Polo Diesel Highline 1.2L,Delhi,1199.0,Third Party,Manual,baixa,80000.0,2013.0,Volkswagen,Polo Diesel Highline 1.2L,22.38,5.0,1199.0,Hatchback,Diesel,80000.0,73.9,First Owner,3.4,3.3140999999999985,0,0,2.5264705882353358,0,0.0,70.2246319729526,70.2246319729526
2012 Maruti Wagon R LXI CNG,Gurgaon,998.0,Comprehensive,Manual,baixa,71713.0,2012.0,Maruti,Wagon R LXI CNG,21.5,5.0,998.0,Hatchback,CNG,71713.0,58.2,First Owner,2.43,2.555600000000004,0,0,5.168724279835552,0,0.0,79.87201041372542,79.87201041372542
2010 Nissan Micra XE,Delhi,1198.0,Third Party,Manual,baixa,100000.0,2010.0,Nissan,Micra XE,20.0,5.0,1198.0,Hatchback,Petrol,100000.0,75.0,First Owner,1.05,1.3477999999999994,0,0,28.361904761904704,1,0.7790473364000597,50.0,100.0
2017 Honda City 1.5 GXI CVT,Pune,1423.1701441170144,Third Party,Automatic,baixa,108648.0,2017.0,Honda,City 1.5 GXI CVT,21.4,5.0,1423.1701441170144,Sedan,Petrol,108648.0,103.88974615994807,First Owner,8.1,7.588700000000009,0,0,6.312345679012229,0,0.0,84.04759297262108,84.04759297262108
2015 Maruti Swift VXI,Bangalore,1197.0,Comprehensive,Manual,baixa,62223.0,2015.0,Maruti,Swift VXI,22.41,5.0,1197.0,Hatchback,Petrol,62223.0,88.5,Second Owner,5.06,5.067000000000001,0,0,0.13833992094864525,0,0.0,61.50510576448436,61.50510576448436
2018 Tata Nexon 1.5 Revotorq XZA Plus,Mumbai,1497.0,Comprehensive,Automatic,baixa,109357.0,2018.0,Tata,Nexon 1.5 Revotorq XZA Plus,34.05,5.0,1497.0,SUV,Diesel,109357.0,108.5,First Owner,8.42,7.885599999999996,0,0,6.346793349168696,0,0.0,84.17336806812338,84.17336806812338
2021 Renault Triber RXE BSVI,Bangalore,999.0,Not Available,Manual,baixa,24317.0,2021.0,Renault,Triber RXE BSVI,20.51,7.0,999.0,MUV,Petrol,24317.0,71.0,First Owner,7.0,6.8245000000000005,0,0,2.5071428571428505,0,0.0,70.15406269459622,70.15406269459622
2017 Maruti Baleno 1.2 Delta,Chennai,1197.0,Comprehensive,Manual,baixa,54024.0,2017.0,Maruti,Baleno 1.2 Delta,17.8,5.0,1197.0,Hatchback,Petrol,54024.0,83.1,First Owner,5.75,5.379899999999997,0,0,6.4365217391304945,0,0.0,84.50098374620707,84.50098374620707
