mileage,ano,seats,engine_capacity,kms_driven,max_power,body_type_id,modelo_id,marca_id,city_id,insurance_id,owner_type_id,fuel_type_id
33.0,2019.0,5.0,796.0,88667.0,47.3,3,141,20,11,0,1,0
13.68,2018.0,7.0,2393.0,50000.0,147.8,4,1255,29,7,3,1,1
21.74,2021.0,5.0,999.0,31754.0,67.0,3,1347,26,4,0,1,4
16.36,2013.0,5.0,2179.0,70000.0,187.7,8,2623,13,7,3,1,1
18.0,2019.0,5.0,1497.0,30000.0,117.6,8,590,10,5,0,1,4
25.8,2014.0,5.0,1498.0,60000.0,98.6,8,224,10,5,3,1,1
17.3,2020.0,8.0,1497.0,66590.0,121.0,4,1451,19,7,0,1,1
17.0,2019.0,5.0,1198.0,23394.0,108.5,7,1533,28,6,3,1,4
21.21,2019.0,5.0,1197.0,51193.0,81.8,3,2165,20,3,3,1,4
18.6,2013.0,5.0,1197.0,92285.0,85.8,3,2165,20,2,0,1,4
16.47,2013.0,5.0,1198.0,96966.0,73.9,3,1663,30,10,2,1,4
17.5,2010.0,5.0,1298.0,62259.0,85.8,8,2130,20,11,3,3,4
23.84,2017.0,5.0,1199.0,29594.0,83.8,3,2261,28,4,0,1,4
13.9,2011.0,5.0,1799.0,70000.0,130.2,8,600,10,5,3,3,4
18.9,2017.0,5.0,1197.0,31600.0,82.0,3,1086,11,6,0,1,4
23.0,2019.0,5.0,1498.0,42354.0,98.9,7,797,9,12,3,1,1
20.3,2017.0,5.0,1199.0,60000.0,84.0,8,2290,28,12,3,3,4
15.1,2019.0,7.0,2179.0,30000.0,152.8,7,2704,19,6,3,1,1
22.9,2014.0,5.0,1248.0,79000.0,74.0,3,2157,20,11,0,3,1
23.1,2016.0,5.0,998.0,27887.0,67.0,3,479,20,12,0,1,4
23.2,2015.0,5.0,1248.0,80000.0,73.9,3,1794,20,4,3,4,1
23.65,2017.0,5.0,1248.0,65275.0,88.5,7,1872,20,11,0,3,1
13.68,2019.0,7.0,2393.0,50000.0,147.8,4,1240,29,5,3,1,1
17.5,2017.0,5.0,1199.0,29640.0,88.7,7,2500,10,4,3,1,4
21.9,2012.0,5.0,1396.0,86873.0,88.7,3,2890,11,2,3,1,1
23.95,2018.0,5.0,998.0,79000.0,67.1,3,164,20,2,0,1,4
17.0,2019.0,5.0,1198.0,30000.0,108.5,7,1528,28,8,3,1,4
19.81,2010.0,5.0,1086.0,49500.0,68.0,3,2821,11,7,2,1,4
30.48,2019.0,5.0,1086.0,27792.0,58.0,3,1920,11,6,4,1,0
32.52,2021.0,5.0,998.0,20000.0,58.3,3,2507,20,6,3,1,0
18.88,2013.0,5.0,1995.0,39000.0,184.0,8,17,1,9,0,1,1
18.24,2019.0,5.0,999.0,45000.0,108.6,3,1641,30,5,3,1,4
33.54,2019.0,5.0,998.0,68678.0,67.0,3,2506,20,5,3,1,0
12.95,2019.0,5.0,1999.0,30000.0,152.8,7,2326,11,1,3,1,4
21.4,2018.0,5.0,1197.0,32647.0,83.1,3,322,20,11,0,1,4
24.7,2018.0,5.0,796.0,70000.0,47.3,3,138,20,1,3,1,4
19.34,2019.0,7.0,1462.0,60000.0,103.0,4,911,20,11,3,1,4
14.1,2016.0,7.0,2179.0,90000.0,148.0,7,1891,28,8,3,3,1
18.88,2014.0,5.0,1995.0,90000.0,184.0,8,17,1,11,3,2,1
23.84,2016.0,5.0,1199.0,101386.0,84.0,3,2252,28,2,0,1,4
17.0,2010.0,5.0,1197.0,120000.0,78.91,3,2830,11,12,3,3,4
21.94,2016.0,5.0,1196.0,100000.0,61.7,5,847,20,6,3,3,0
16.35,2021.0,5.0,1199.0,7662.0,118.3,7,1575,28,2,4,1,4
17.4,2018.0,5.0,1197.0,29084.0,81.8,3,2879,11,7,3,1,4
18.9,2019.0,5.0,1197.0,42090.0,81.8,3,1054,11,2,3,1,4
22.38,2018.0,5.0,1197.0,69553.0,88.5,3,2165,20,3,3,1,4
20.89,2019.0,5.0,1197.0,47844.0,81.8,3,1146,20,7,4,3,4
19.0,2010.0,5.0,998.0,61633.0,67.1,3,2788,20,4,0,3,4
16.55,2018.0,6.0,2498.0,32000.0,105.0,7,2231,19,2,0,3,1
21.4,2019.0,5.0,1197.0,64891.0,83.1,3,323,20,8,3,3,4
22.74,2013.0,5.0,796.0,80000.0,47.3,3,148,20,0,3,1,4
20.14,2014.0,5.0,1498.0,100578.0,88.8,3,1647,30,2,3,3,1
20.92,2012.0,5.0,998.0,54007.0,67.1,3,154,20,2,0,1,4
17.8,2016.0,5.0,1497.0,46275.0,117.3,8,583,10,2,0,1,4
13.79,2023.0,5.0,1451.0,10000.0,141.0,7,1112,18,2,3,1,4
20.36,2012.0,5.0,1197.0,52300.0,78.9,3,2823,11,5,0,1,4
22.41,2012.0,5.0,1197.0,64302.0,88.5,8,2107,20,2,3,1,4
17.8,2008.0,5.0,1086.0,100000.0,63.0,3,1931,11,11,3,3,4
21.1,2014.0,5.0,814.0,74318.0,55.2,3,776,11,10,3,1,4
15.1,2017.0,5.0,1798.0,100000.0,177.0,8,1593,27,11,3,1,4
15.1,2018.0,7.0,2179.0,18000.0,152.8,7,2680,19,11,4,1,1
22.54,2017.0,5.0,1396.0,116263.0,88.7,3,2863,11,1,0,4,1
18.97,2021.0,5.0,999.0,20000.0,108.6,8,1741,27,0,3,1,4
18.6,2015.0,5.0,1197.0,93000.0,81.8,3,2875,11,2,0,1,4
17.21,2018.0,5.0,1197.0,64059.0,103.5,3,1658,30,5,0,1,4
18.6,2010.0,5.0,1199.0,89748.0,79.4,3,354,3,8,2,2,4
17.92,2008.0,5.0,1086.0,164359.0,62.1,3,1927,11,8,2,4,4
25.2,2017.0,5.0,1248.0,70000.0,74.0,3,2158,20,5,3,1,1
19.7,2012.0,5.0,796.0,63697.0,46.3,3,169,20,4,0,1,4
24.3,2016.0,5.0,1248.0,79221.0,88.5,7,2480,20,12,4,1,1
16.0,2009.0,5.0,995.0,80000.0,62.14,3,2043,3,7,3,1,4
18.41,2023.0,5.0,1498.0,18000.0,147.5,8,2016,27,9,0,1,4
25.24,2015.0,5.0,998.0,57521.0,65.7,3,474,20,2,0,1,4
15.8,2019.0,5.0,1591.0,40000.0,121.3,7,699,11,7,3,1,4
21.79,2008.0,5.0,998.0,60000.0,67.0,3,2517,20,12,3,1,4
17.05,2011.0,5.0,1995.0,80000.0,184.0,7,2570,1,7,3,3,1
17.5,2018.0,5.0,1199.0,12724.0,88.7,7,2500,10,6,4,3,4
17.01,2017.0,5.0,1591.0,15504.0,121.3,8,2429,11,11,3,1,4
19.3,2014.0,5.0,1968.0,27277.0,141.0,8,1600,27,3,2,1,1
19.6,2021.0,5.0,1199.0,2024.0,84.8,8,2305,28,2,3,1,4
17.36,2019.0,5.0,1197.0,37610.0,81.8,8,2741,11,1,4,1,4
17.4,2014.0,5.0,1497.0,37609.0,117.3,8,581,10,11,3,1,4
12.55,2016.0,7.0,2982.0,90000.0,168.5,7,998,29,9,3,1,1
18.06,2012.0,5.0,1198.0,120000.0,75.0,3,1472,23,5,3,1,4
34.05,2022.0,5.0,998.0,20000.0,55.9,3,2522,20,5,0,1,0
17.05,2017.0,5.0,1995.0,55000.0,188.0,7,2563,1,4,0,3,1
18.9,2015.0,5.0,1197.0,46988.0,82.0,3,1086,11,2,0,1,4
22.05,2021.0,5.0,796.0,20000.0,47.3,3,138,20,5,3,1,4
15.1,2019.0,5.0,1798.0,67896.0,178.0,8,1590,27,8,3,1,4
20.8,2020.0,5.0,1493.0,17662.0,113.4,7,1997,15,12,4,1,1
19.01,2020.0,5.0,1199.0,15874.0,84.8,3,2270,28,9,3,1,4
24.0,2014.0,5.0,1120.0,70000.0,70.0,3,1065,11,5,3,1,1
18.88,2012.0,5.0,1995.0,80000.0,184.0,8,13,1,12,3,2,1
14.67,2019.0,5.0,1798.0,54000.0,177.4,8,2068,27,9,3,1,4
22.3,2021.0,5.0,799.0,10000.0,53.2,3,1352,26,8,3,1,4
17.4,2015.0,5.0,1497.0,65253.0,117.3,8,582,10,12,3,1,4
0.0,2022.0,5.0,1493.0,5700.0,113.4,7,719,11,5,0,1,1
15.37,2010.0,7.0,1196.0,50000.0,73.0,5,845,20,9,3,4,4
17.0,2010.0,5.0,1197.0,80000.0,78.91,3,2830,11,1,3,3,4
22.38,2012.0,5.0,1197.0,78249.0,88.5,3,2165,20,2,3,4,4
19.4,2012.0,5.0,1198.0,53300.0,86.8,3,392,10,12,3,3,4
13.5,2013.0,7.0,2477.0,100000.0,175.5,7,1626,22,12,3,3,1
21.79,2012.0,5.0,998.0,65000.0,67.0,3,2534,20,5,0,1,4
20.3,2021.0,5.0,1086.0,5482.0,68.0,3,1905,11,5,3,1,4
17.01,2017.0,5.0,1591.0,45364.0,121.3,8,2434,11,1,0,3,4
18.9,2016.0,5.0,1197.0,53000.0,82.0,3,1068,11,5,3,3,4
18.0,2009.0,5.0,995.0,60000.0,62.0,3,2041,3,0,3,4,4
18.6,2017.0,5.0,1197.0,51181.0,81.8,3,2862,11,2,3,1,4
21.9,2017.0,7.0,1498.0,64898.0,98.6,7,313,10,1,3,1,1
22.1,2017.0,5.0,1396.0,70000.0,88.7,7,682,11,5,0,1,1
25.2,2017.0,5.0,1248.0,36496.0,74.0,3,2161,20,2,4,1,1
21.21,2016.0,5.0,1197.0,43000.0,81.8,3,2165,20,8,3,1,4
28.4,2018.0,5.0,1248.0,99367.0,74.0,8,2134,20,8,3,1,1
20.4,2017.0,5.0,1197.0,48197.0,81.8,3,2174,20,2,0,1,4
22.0,2017.0,5.0,1582.0,76089.0,126.2,8,2441,11,4,3,1,1
18.6,2017.0,5.0,1197.0,50000.0,81.8,3,2910,11,2,3,1,4
23.65,2017.0,5.0,1248.0,50669.0,88.5,7,1870,20,1,3,1,1
14.7,2012.0,5.0,1985.0,109000.0,163.0,7,2608,31,7,3,1,1
26.6,2016.0,5.0,998.0,85246.0,58.1,3,2521,20,12,0,1,0
18.1,2021.0,6.0,1493.0,12879.0,113.9,7,119,11,12,2,1,1
17.11,2013.0,5.0,1968.0,73000.0,174.3,8,90,0,4,0,3,1
17.0,2018.0,5.0,1591.0,57600.0,121.3,8,2462,11,7,3,1,4
18.9,2019.0,5.0,1197.0,69561.0,81.8,3,1052,11,1,3,3,4
14.8,2019.0,5.0,1591.0,19722.0,121.3,7,694,11,11,3,3,4
18.0,2016.0,5.0,1198.0,64134.0,86.7,8,225,10,6,4,1,4
10.91,2019.0,7.0,3198.0,90000.0,197.0,7,868,9,11,3,1,1
16.55,2011.0,6.0,2498.0,90000.0,105.0,7,2233,19,8,3,3,1
23.84,2016.0,5.0,1199.0,108498.0,83.8,3,2269,28,7,0,1,4
32.52,2021.0,5.0,998.0,26032.0,58.3,3,2505,20,5,0,1,0
23.84,2018.0,5.0,1199.0,42000.0,84.0,3,2258,28,12,0,1,4
21.1,2014.0,5.0,814.0,70000.0,55.2,3,775,11,12,3,1,4
19.17,2021.0,5.0,999.0,15987.0,71.0,7,1369,26,1,4,1,4
22.3,2022.0,5.0,799.0,10000.0,53.2,3,1352,26,9,3,1,4
20.45,2014.0,5.0,1461.0,100000.0,83.8,7,748,26,11,3,1,1
18.9,2013.0,5.0,998.0,8889.0,67.1,3,2542,20,5,0,1,4
15.64,2010.0,5.0,1193.0,70000.0,64.1,8,1206,28,4,3,3,4
18.9,2014.0,5.0,1197.0,98500.0,82.0,3,1061,11,11,4,3,4
16.8,2012.0,5.0,1497.0,110067.0,116.3,8,557,10,4,0,3,4
18.9,2012.0,5.0,998.0,50989.0,67.1,3,2542,20,1,0,1,4
20.08,2022.0,5.0,999.0,14000.0,113.9,7,2211,30,7,3,1,4
20.5,2013.0,5.0,1598.0,132000.0,103.5,8,1774,27,4,0,1,1
20.1,2020.0,5.0,1197.0,30000.0,81.8,8,292,11,12,3,3,4
15.29,2017.0,5.0,1591.0,67224.0,121.3,7,703,11,11,0,1,4
17.21,2017.0,5.0,1197.0,60528.0,103.5,3,1657,30,2,3,3,4
20.73,2018.0,5.0,1373.0,63974.0,91.1,8,499,20,2,3,3,4
16.8,2020.0,5.0,1497.0,30000.0,113.4,7,1995,15,4,0,1,4
21.1,2010.0,5.0,1197.0,94259.0,85.8,3,1799,20,4,3,1,4
0.0,2020.0,5.0,1493.0,53000.0,113.4,7,719,11,11,0,1,1
23.84,2018.0,5.0,1199.0,61100.0,83.8,3,2261,28,11,0,1,4
9.4,2015.0,5.0,1999.0,85032.0,237.3,8,2627,13,9,0,2,4
17.01,2016.0,5.0,1591.0,40000.0,121.3,8,2431,11,9,3,1,4
19.02,2014.0,5.0,1198.0,62884.0,67.0,3,1022,6,9,3,1,4
17.0,2018.0,5.0,1198.0,95495.0,73.7,8,255,30,4,3,1,4
28.4,2016.0,5.0,1248.0,79659.0,74.0,8,2118,20,7,3,1,1
19.81,2010.0,5.0,1086.0,42000.0,68.0,3,2815,11,2,0,3,4
13.0,2016.0,5.0,1591.0,102816.0,121.3,7,705,11,2,0,1,4
24.3,2017.0,5.0,1248.0,60000.0,88.5,7,2480,20,5,3,1,1
18.5,2011.0,5.0,1197.0,81738.0,85.8,3,1802,20,4,3,1,4
17.8,2016.0,5.0,1497.0,118569.0,117.3,8,583,10,9,0,3,4
20.51,2018.0,5.0,998.0,58100.0,67.0,3,2552,20,11,0,1,4
18.6,2020.0,5.0,1199.0,10300.0,88.7,8,245,10,8,2,1,4
19.56,2019.0,5.0,1197.0,27355.0,81.8,3,1038,29,11,0,1,4
17.4,2021.0,5.0,1497.0,103000.0,117.6,8,557,10,1,0,1,4
13.93,2009.0,7.0,2179.0,134097.0,138.1,7,1511,28,2,2,4,1
18.5,2013.0,5.0,1197.0,51284.0,82.9,3,2894,11,11,3,1,4
13.5,2019.0,5.0,1999.0,10000.0,246.7,8,2615,13,5,3,1,4
16.8,2010.0,5.0,1493.0,70000.0,110.0,8,2445,11,7,3,1,1
18.9,2015.0,5.0,1197.0,45000.0,82.0,3,1086,11,11,0,1,4
22.74,2014.0,5.0,796.0,60000.0,47.3,3,138,20,2,3,3,4
18.5,2013.0,5.0,1197.0,48720.0,82.9,3,2894,11,12,0,1,4
14.82,2022.0,5.0,1498.0,12000.0,108.4,7,286,18,5,0,1,4
16.47,2010.0,5.0,1198.0,80000.0,73.9,3,1662,30,5,3,3,4
28.4,2018.0,5.0,1248.0,90000.0,74.0,8,2118,20,11,3,1,1
14.47,2018.0,5.0,2993.0,40000.0,301.7,8,2631,13,5,0,3,1
25.44,2012.0,5.0,936.0,86147.0,57.6,3,349,3,4,3,3,1
17.4,2015.0,5.0,1497.0,28066.0,117.3,8,581,10,11,3,1,4
19.33,2022.0,5.0,1199.0,10000.0,86.8,3,179,28,11,3,1,4
16.8,2013.0,5.0,1497.0,89205.0,116.3,8,557,10,7,0,3,4
19.67,2018.0,5.0,1582.0,70000.0,126.2,7,689,11,4,3,1,1
21.01,2021.0,5.0,1197.0,36218.0,81.8,3,342,20,5,3,4,4
15.1,2019.0,7.0,2179.0,100000.0,152.8,7,2695,19,7,3,1,1
17.8,2009.0,5.0,1399.0,100000.0,68.0,8,953,9,2,3,0,1
16.0,2015.0,7.0,2179.0,90000.0,140.0,7,2691,19,5,3,3,1
23.84,2017.0,5.0,1199.0,40000.0,84.0,3,2258,28,1,3,3,4
18.9,2016.0,5.0,1197.0,35109.0,82.0,3,1068,11,5,3,1,4
16.2,2022.0,7.0,1353.0,20000.0,138.0,4,426,15,7,3,1,4
18.5,2015.0,5.0,1197.0,53000.0,85.8,3,1801,20,5,3,3,4
31.79,2014.0,5.0,998.0,80000.0,58.2,3,447,20,5,3,1,0
23.0,2018.0,5.0,1498.0,109496.0,98.9,7,799,9,3,3,1,1
16.47,2012.0,5.0,1198.0,55809.0,73.9,3,1665,30,6,0,3,4
26.59,2015.0,5.0,1248.0,120000.0,74.0,8,2133,20,5,3,1,1
17.29,2021.0,7.0,1493.0,20000.0,100.0,7,365,19,11,3,1,1
19.1,2015.0,5.0,1197.0,45000.0,81.8,8,2735,11,12,0,1,4
21.94,2017.0,5.0,1196.0,150000.0,61.7,5,847,20,0,3,1,0
22.0,2020.0,5.0,1197.0,61976.0,81.8,3,2150,20,5,3,1,4
19.34,2018.0,5.0,1198.0,38000.0,75.9,3,1462,23,4,0,1,4
13.96,2020.0,5.0,1451.0,36000.0,141.0,7,1126,18,11,3,1,4
25.8,2013.0,5.0,1498.0,65000.0,98.6,8,220,10,5,3,1,1
17.8,2015.0,5.0,1198.0,35534.0,86.7,8,223,10,4,0,1,4
17.03,2021.0,5.0,1462.0,11000.0,103.2,7,2478,20,5,0,1,4
26.0,2014.0,5.0,1498.0,110000.0,98.6,8,568,10,1,3,3,1
18.9,2018.0,5.0,1197.0,23111.0,81.8,3,1054,11,6,4,1,4
0.0,2021.0,5.0,0.0,32800.0,140.8,7,2777,18,9,3,1,2
33.0,2019.0,5.0,796.0,60000.0,47.3,3,143,20,1,3,3,0
19.34,2014.0,5.0,1198.0,67000.0,76.0,3,1473,23,5,3,3,4
19.81,2014.0,5.0,1086.0,74418.0,68.0,3,2821,11,1,3,3,4
17.6,2018.0,5.0,1582.0,57263.0,126.2,7,695,11,5,0,1,1
12.07,2011.0,7.0,2967.0,120000.0,241.4,7,1724,0,2,3,1,1
22.77,2017.0,5.0,1498.0,110000.0,98.5,7,816,9,7,3,1,1
18.6,2016.0,5.0,1199.0,53772.0,88.7,8,245,10,4,0,3,4
17.0,2009.0,5.0,1896.0,95000.0,103.56,8,1394,27,12,0,1,1
19.15,2017.0,5.0,1198.0,46468.0,75.9,3,1473,23,2,0,4,4
17.69,2022.0,5.0,999.0,20972.0,108.6,8,2342,30,8,0,1,4
21.21,2019.0,5.0,1197.0,52858.0,81.8,8,2096,20,8,3,3,4
17.43,2016.0,5.0,1396.0,60061.0,105.5,8,2410,11,4,0,1,4
17.29,2021.0,7.0,1493.0,31108.0,100.0,7,363,19,2,2,3,1
12.7,2013.0,5.0,2179.0,105000.0,187.7,7,1826,16,4,0,3,1
16.0,2017.0,7.0,1997.0,69216.0,140.0,7,2677,19,7,3,1,1
26.0,2014.0,5.0,1498.0,40000.0,98.6,8,569,10,3,3,1,1
23.01,2017.0,5.0,999.0,48162.0,67.0,3,1328,26,5,3,1,4
17.0,2019.0,5.0,1198.0,56232.0,108.5,7,1528,28,5,4,1,4
26.6,2018.0,5.0,998.0,46798.0,58.1,3,2521,20,6,0,1,0
19.0,2018.0,5.0,1194.0,50000.0,94.6,3,1008,9,5,3,1,4
10.1,2004.0,5.0,2354.0,150000.0,149.92,7,405,10,0,3,3,4
26.3,2012.0,5.0,998.0,105503.0,67.1,3,2784,20,7,2,3,0
18.6,2021.0,5.0,1997.0,30465.0,174.33,7,400,4,7,0,1,1
20.92,2011.0,5.0,998.0,30000.0,67.1,3,154,20,12,3,1,4
21.79,2019.0,5.0,998.0,48702.0,67.0,3,2534,20,8,2,3,4
13.7,2012.0,5.0,1798.0,55000.0,157.7,8,2066,27,11,0,1,4
20.51,2014.0,5.0,998.0,24324.0,67.0,3,2532,20,9,0,1,4
25.01,2014.0,5.0,1498.0,156126.0,89.7,8,954,9,7,0,1,1
20.7,2021.0,5.0,1197.0,7266.0,81.8,3,1077,11,2,3,1,4
19.16,2021.0,5.0,2494.0,24000.0,157.7,8,414,29,4,0,1,4
34.05,2022.0,5.0,998.0,15333.0,55.9,3,2522,20,8,4,1,0
17.21,2015.0,7.0,1493.0,110000.0,100.0,7,1735,19,7,3,4,1
28.09,2017.0,5.0,1248.0,30000.0,88.5,8,521,20,11,3,1,1
20.3,2019.0,5.0,1086.0,27153.0,68.0,3,1906,11,8,0,3,4
16.82,2020.0,5.0,1197.0,40000.0,108.6,7,2658,19,8,3,1,4
31.2,2021.0,4.0,998.0,39855.0,58.3,3,1845,20,11,3,1,0
20.7,2021.0,5.0,1197.0,20000.0,81.8,3,1073,11,2,3,1,4
17.5,2010.0,5.0,1298.0,74000.0,85.8,8,2144,20,9,3,1,4
17.0,2018.0,5.0,1591.0,50000.0,121.3,8,2462,11,12,3,1,4
13.24,2017.0,5.0,1598.0,46000.0,102.5,7,2220,23,7,3,1,4
17.0,2011.0,5.0,1197.0,72874.0,78.91,3,2837,11,5,3,1,4
21.7,2016.0,5.0,1498.0,48000.0,98.9,7,796,9,5,0,1,1
21.5,2018.0,5.0,1497.0,40000.0,108.5,7,1540,28,7,3,1,1
15.26,2010.0,5.0,1598.0,60000.0,103.5,3,1661,30,5,3,3,4
20.7,2020.0,5.0,1197.0,40051.0,81.8,3,1081,11,7,4,3,4
17.1,2019.0,5.0,1956.0,9106.0,170.0,7,640,14,8,0,1,1
21.1,2017.0,5.0,814.0,19949.0,55.2,3,777,11,2,0,1,4
