full_name,registered_year,engine_capacity,insurance,transmission_type,kms_driven,owner_type,fuel_type,max_power,seats,mileage,body_type,city,resale_price_Lakh,ano,marca,modelo,fuel_type_id,owner_type_id,insurance_id,city_id,marca_id,modelo_id,body_type_id,transmission_type_id
2019 Renault KWID 1.0 RXT Opt,Jul 2019,999.0,Comprehensive,Manual,25000.0,First Owner,Petrol,67.0,5.0,21.74,Hatchback,Delhi,3.49,2019.0,Renault,KWID 1.0 RXT Opt,4,1,0,5,26,1338,3,1
2018 Renault KWID 1.0 RXT,2018,999.0,Third Party,Manual,30000.0,Second Owner,Petrol,67.0,5.0,23.01,Hatchback,Kolkata,3.1,2018.0,Renault,KWID 1.0 RXT,4,3,3,9,26,1331,3,1
2019 Tata Nexon 1.5 Revotorq XZA Plus DualTone,Apr 2019,1497.0,Zero Dep,Automatic,46034.0,First Owner,Diesel,108.5,5.0,21.5,SUV,Hyderabad,10.22,2019.0,Tata,Nexon 1.5 Revotorq XZA Plus DualTone,1,1,4,7,28,1541,7,0
2013 Maruti Swift VXI,Sept 2013,1197.0,Third Party,Manual,50824.0,First Owner,Petrol,88.5,5.0,22.38,Hatchback,Hyderabad,4.55,2013.0,Maruti,Swift VXI,4,1,3,7,20,2165,3,1
2017 Honda City i-VTEC CVT V,Feb 2018,1497.0,Zero Dep,Automatic,120848.0,First Owner,Petrol,117.6,5.0,18.0,Sedan,Bangalore,7.18,2017.0,Honda,City i-VTEC CVT V,4,1,4,2,10,590,8,0
2015 Maruti Swift Dzire VXI,Mar 2015,1197.0,Third Party,Manual,36888.0,Second Owner,Petrol,88.5,5.0,22.41,Sedan,Delhi,3.78,2015.0,Maruti,Swift Dzire VXI,4,3,3,5,20,2121,8,1
2018 Maruti Baleno Delta Diesel,Jul 2018,1248.0,Comprehensive,Manual,83083.0,First Owner,Diesel,74.0,5.0,27.39,Hatchback,Jaipur,6.75,2018.0,Maruti,Baleno Delta Diesel,1,1,0,8,20,337,3,1
2018 Mahindra Thar CRDe,Aug 2018,2498.0,Third Party,Manual,59889.0,First Owner,Diesel,105.0,6.0,16.55,SUV,Bangalore,9.85,2018.0,Mahindra,Thar CRDe,1,1,3,2,19,2231,7,1
2018 Ford Freestyle Titanium Petrol BSIV,Oct 2018,1194.0,Zero Dep,Manual,45600.0,First Owner,Petrol,94.6,5.0,19.0,Hatchback,Hyderabad,5.5,2018.0,Ford,Freestyle Titanium Petrol BSIV,4,1,4,7,9,1008,3,1
2019 Mahindra XUV500 W7 AT BSIV,2019,2179.0,Third Party,Automatic,80000.0,First Owner,Diesel,152.8,7.0,15.1,SUV,Hyderabad,15.0,2019.0,Mahindra,XUV500 W7 AT BSIV,1,1,3,7,19,2694,7,0
2017 Hyundai i20 Asta 1.2,Sept 2017,1197.0,Comprehensive,Manual,26997.0,First Owner,Petrol,81.8,5.0,18.6,Hatchback,Hyderabad,6.68,2017.0,Hyundai,i20 Asta 1.2,4,1,0,7,11,2862,3,1
2022 MG Hector Sharp CVT,2022,1451.0,Third Party,Automatic,10000.0,Second Owner,Petrol,141.0,5.0,0.0,SUV,Delhi,21.0,2022.0,MG,Hector Sharp CVT,4,3,3,5,18,1125,7,0
2011 Hyundai i10 Sportz,Oct 2011,1197.0,Third Party,Manual,63386.0,First Owner,Petrol,78.9,5.0,20.36,Hatchback,Pune,2.46,2011.0,Hyundai,i10 Sportz,4,1,3,12,11,2824,3,1
2017 Jaguar F-Pace Prestige 2.0 AWD,Aug 2017,1999.0,Comprehensive,Automatic,56000.0,First Owner,Diesel,177.0,5.0,16.38,SUV,Bangalore,43.0,2017.0,Jaguar,F-Pace Prestige 2.0 AWD,1,1,0,2,13,940,7,0
2017 Honda Jazz V CVT,May 2017,1199.0,Comprehensive,Automatic,47000.0,First Owner,Petrol,88.7,5.0,18.2,Hatchback,Bangalore,7.75,2017.0,Honda,Jazz V CVT,4,1,0,2,10,1290,3,0
2017 Ford Ecosport 1.5 TDCi Platinum Edition BSIV,Sept 2017,1498.0,Comprehensive,Manual,70681.0,First Owner,Diesel,98.5,5.0,22.77,SUV,Bangalore,7.33,2017.0,Ford,Ecosport 1.5 TDCi Platinum Edition BSIV,1,1,0,2,9,812,7,1
2020 Hyundai Verna VTVT 1.6 SX,2020,1591.0,Third Party,Manual,30000.0,First Owner,Petrol,121.3,5.0,17.0,Sedan,Gurgaon,8.5,2020.0,Hyundai,Verna VTVT 1.6 SX,4,1,3,6,11,2466,8,1
2019 Hyundai Creta 1.6 SX Automatic Diesel,Nov 2019,1582.0,Comprehensive,Automatic,56000.0,First Owner,Diesel,126.2,5.0,17.6,SUV,Bangalore,15.75,2019.0,Hyundai,Creta 1.6 SX Automatic Diesel,1,1,0,2,11,695,7,0
2022 Maruti Ertiga Tour STD CNG 2019-2022,2022,1462.0,Third Party,Manual,30000.0,First Owner,CNG,91.1,7.0,0.0,MUV,Delhi,11.5,2022.0,Maruti,Ertiga Tour STD CNG 2019-2022,0,1,3,5,20,893,4,1
2018 Mahindra KUV 100 NXT G80 K6 Plus,2018,1198.0,Third Party,Manual,60000.0,Second Owner,Petrol,82.0,6.0,18.15,Hatchback,Delhi,3.95,2018.0,Mahindra,KUV 100 NXT G80 K6 Plus,4,3,3,5,19,1309,3,1
2019 Hyundai i20 Sportz Plus CVT BSIV,Jun 2019,1197.0,Third Party,Automatic,23717.0,Second Owner,Petrol,81.8,5.0,17.4,Hatchback,Chandigarh,7.34,2019.0,Hyundai,i20 Sportz Plus CVT BSIV,4,3,3,3,11,2923,3,0
2019 Hyundai i20 Asta Option BSIV,May 2019,1197.0,Zero Dep,Manual,28438.0,Second Owner,Petrol,81.8,5.0,18.6,Hatchback,Hyderabad,7.59,2019.0,Hyundai,i20 Asta Option BSIV,4,3,4,7,11,2877,3,1
2018 Maruti Ertiga ZXI Petrol,Jan 2019,1462.0,Comprehensive,Manual,68796.0,First Owner,Petrol,103.0,7.0,19.34,MUV,Bangalore,9.0,2018.0,Maruti,Ertiga ZXI Petrol,4,1,0,2,20,909,4,1
2017 Maruti Baleno 1.2 Zeta,Mar 2017,1197.0,Comprehensive,Manual,40356.0,First Owner,Petrol,83.1,5.0,21.4,Hatchback,Bangalore,7.12,2017.0,Maruti,Baleno 1.2 Zeta,4,1,0,2,20,325,3,1
2021 Hyundai Creta E Diesel BSVI,Aug 2021,1493.0,Comprehensive,Manual,19000.0,First Owner,Diesel,113.9,5.0,0.0,SUV,Kolkata,10.49,2021.0,Hyundai,Creta E Diesel BSVI,1,1,0,9,11,708,7,1
2022 Hyundai Grand i10 Nios Sportz,2022,1197.0,Third Party,Manual,30000.0,First Owner,Petrol,81.8,5.0,20.7,Hatchback,Hyderabad,7.5,2022.0,Hyundai,Grand i10 Nios Sportz,4,1,3,7,11,1081,3,1
2012 Maruti Swift VDI,Jan 2013,1248.0,Third Party,Manual,55544.0,Second Owner,Diesel,74.0,5.0,22.9,Hatchback,Bangalore,4.54,2012.0,Maruti,Swift VDI,1,3,3,2,20,2157,3,1
2021 Datsun RediGO A,Jan 2022,799.0,Comprehensive,Manual,14811.0,First Owner,Petrol,53.6,5.0,20.71,Hatchback,Chennai,4.08,2021.0,Datsun,RediGO A,4,1,0,4,6,1780,3,1
2022 Hyundai Verna SX,Dec 2022,1497.0,Third Party,Manual,5500.0,First Owner,Petrol,113.1,5.0,17.7,Sedan,Kolkata,11.25,2022.0,Hyundai,Verna SX,4,1,3,9,11,2448,8,1
2014 Ford Ecosport 1.5 Ti VCT MT Trend,Jun 2014,1499.0,Third Party,Manual,50219.0,First Owner,Petrol,110.0,5.0,15.8,SUV,Delhi,4.08,2014.0,Ford,Ecosport 1.5 Ti VCT MT Trend,4,1,3,5,9,827,7,1
2021 Tata Nexon XMA AMT BSVI,Jun 2021,1199.0,Comprehensive,Automatic,14127.0,Second Owner,Petrol,118.3,5.0,17.05,SUV,Bangalore,9.15,2021.0,Tata,Nexon XMA AMT BSVI,4,3,0,2,28,1557,7,0
2017 Ford Aspire 1.2 Ti-VCT Trend,2017,1196.0,Third Party,Manual,40000.0,First Owner,Petrol,86.8,5.0,18.16,Sedan,Ahmedabad,4.5,2017.0,Ford,Aspire 1.2 Ti-VCT Trend,4,1,3,1,9,269,8,1
2010 Chevrolet Spark 1.0 PS,2010,995.0,Third Party,Manual,80000.0,Third Owner,Petrol,62.14,5.0,16.0,Hatchback,Ahmedabad,0.85,2010.0,Chevrolet,Spark 1.0 PS,4,4,3,1,3,2043,3,1
2016 Honda Jazz 1.2 V i VTEC,Aug 2016,1199.0,Comprehensive,Manual,69425.0,First Owner,Petrol,88.7,5.0,18.7,Hatchback,Chennai,5.5,2016.0,Honda,Jazz 1.2 V i VTEC,4,1,0,4,10,1279,3,1
2017 Hyundai Verna VTVT 1.6 AT SX Option,Apr 2017,1591.0,Third Party,Automatic,30000.0,First Owner,Petrol,121.3,5.0,17.0,Sedan,Mumbai,9.21,2017.0,Hyundai,Verna VTVT 1.6 AT SX Option,4,1,3,11,11,2462,8,0
2019 Ford Ecosport 1.5 Petrol Trend Plus AT BSIV,Aug 2019,1497.0,Comprehensive,Automatic,33000.0,Second Owner,Petrol,121.3,5.0,14.8,SUV,Bangalore,9.0,2019.0,Ford,Ecosport 1.5 Petrol Trend Plus AT BSIV,4,3,0,2,9,810,7,0
2022 Kia Carens Prestige Plus DCT BSVI,Jul 2022,1482.0,Comprehensive,Automatic,11000.0,First Owner,Petrol,157.8,7.0,0.0,MUV,Delhi,16.5,2022.0,Kia,Carens Prestige Plus DCT BSVI,4,1,0,5,15,433,4,0
2017 Hyundai Verna VTVT 1.6 EX,Oct 2017,1591.0,Third Party,Manual,23750.0,First Owner,Petrol,121.3,5.0,17.7,Sedan,Mumbai,8.0,2017.0,Hyundai,Verna VTVT 1.6 EX,4,1,3,11,11,2465,8,1
2014 Hyundai Verna 1.6 SX VTVT AT,2014,1591.0,Third Party,Automatic,100000.0,Second Owner,Petrol,121.3,5.0,15.74,Sedan,Delhi,4.0,2014.0,Hyundai,Verna 1.6 SX VTVT AT,4,3,3,5,11,2426,8,0
2011 Chevrolet Cruze LTZ,2011,1991.0,Third Party,Manual,80000.0,Second Owner,Diesel,147.9,5.0,18.3,Sedan,Delhi,2.5,2011.0,Chevrolet,Cruze LTZ,1,3,3,5,3,729,8,1
2011 Honda City V AT,Aug 2011,1497.0,Comprehensive,Automatic,63000.0,Second Owner,Petrol,116.3,5.0,15.6,Sedan,Mumbai,2.95,2011.0,Honda,City V AT,4,3,0,11,10,555,8,0
2018 Land Rover Range Rover Evoque 2.0 TD4 SE,Jul 2018,1999.0,Third Party,Automatic,51620.0,Second Owner,Diesel,177.0,5.0,15.68,SUV,Kolkata,34.0,2018.0,Land,Rover Range Rover Evoque 2.0 TD4 SE,1,3,3,9,16,1823,7,0
2011 Maruti Wagon R VXI,Jul 2011,998.0,Third Party,Manual,60014.0,Second Owner,Petrol,67.1,5.0,18.9,Hatchback,Chennai,2.75,2011.0,Maruti,Wagon R VXI,4,3,3,4,20,2534,3,1
2014 Honda Mobilio S i-DTEC,Jul 2014,1498.0,Comprehensive,Manual,90000.0,First Owner,Diesel,98.6,7.0,24.2,MUV,Ahmedabad,5.5,2014.0,Honda,Mobilio S i-DTEC,1,1,0,1,10,1477,4,1
2020 Kia Carnival Prestige,Jun 2020,2199.0,Zero Dep,Automatic,42885.0,First Owner,Diesel,197.2,7.0,14.11,MUV,Bangalore,29.75,2020.0,Kia,Carnival Prestige,1,1,4,2,15,440,4,0
2021 Tata Nexon XZA Plus DualTone Roof AMT,Jun 2021,1199.0,Comprehensive,Automatic,38323.0,First Owner,Petrol,118.3,5.0,16.35,SUV,Jaipur,10.25,2021.0,Tata,Nexon XZA Plus DualTone Roof AMT,4,1,0,8,28,1582,7,0
2012 Hyundai i10 Sportz,2012,1197.0,Third Party,Manual,70000.0,Second Owner,Petrol,78.9,5.0,20.36,Hatchback,Delhi,2.75,2012.0,Hyundai,i10 Sportz,4,3,3,5,11,2824,3,1
2021 Maruti Alto 800 VXI Plus BSVI,Mar 2021,796.0,Comprehensive,Manual,10000.0,First Owner,Petrol,47.3,5.0,22.05,Hatchback,Delhi,3.9,2021.0,Maruti,Alto 800 VXI Plus BSVI,4,1,0,5,20,152,3,1
2011 Volkswagen Vento IPL II Petrol Highline,2011,1598.0,Third Party,Manual,120000.0,Second Owner,Petrol,103.56,5.0,15.8,Sedan,Mumbai,2.5,2011.0,Volkswagen,Vento IPL II Petrol Highline,4,3,3,11,30,2363,8,1
2012 Hyundai Verna 1.6 SX VTVT,2012,1591.0,Third Party,Manual,120000.0,First Owner,Petrol,121.3,5.0,17.01,Sedan,Hyderabad,3.4,2012.0,Hyundai,Verna 1.6 SX VTVT,4,1,3,7,11,2423,8,1
2015 Honda City i VTEC SV,Jun 2015,1497.0,Comprehensive,Manual,41585.0,First Owner,Petrol,117.3,5.0,17.4,Sedan,Mumbai,5.94,2015.0,Honda,City i VTEC SV,4,1,0,11,10,582,8,1
2014 Maruti Alto K10 VXI AMT,2014,998.0,Third Party,Automatic,80000.0,Fifth Owner,Petrol,67.0,5.0,23.95,Hatchback,Chandigarh,2.5,2014.0,Maruti,Alto K10 VXI AMT,4,0,3,3,20,163,3,0
2021 Renault Kiger RXL,May 2021,999.0,Third Party,Manual,20537.0,Second Owner,Petrol,71.0,5.0,19.17,SUV,Ahmedabad,6.43,2021.0,Renault,Kiger RXL,4,3,3,1,26,1362,7,1
2018 Ford Freestyle Titanium Petrol BSIV,Jun 2018,1194.0,Third Party,Manual,54813.0,First Owner,Petrol,94.6,5.0,19.0,Hatchback,Bangalore,5.77,2018.0,Ford,Freestyle Titanium Petrol BSIV,4,1,3,2,9,1008,3,1
2021 Hyundai Venue SX Sport iMT,2021,998.0,Third Party,Manual,30000.0,First Owner,Petrol,118.3,5.0,18.0,SUV,Hyderabad,10.2,2021.0,Hyundai,Venue SX Sport iMT,4,1,3,7,11,2401,7,1
2014 Honda Amaze SX i-VTEC,Jun 2014,1198.0,Third Party,Manual,64000.0,Second Owner,Petrol,86.7,5.0,18.0,Sedan,Ahmedabad,3.3,2014.0,Honda,Amaze SX i-VTEC,4,3,3,1,10,225,8,1
2009 Maruti Swift Vdi BSIII,2009,1248.0,Third Party,Manual,120000.0,Second Owner,Diesel,73.97,5.0,17.8,Hatchback,Hyderabad,2.5,2009.0,Maruti,Swift Vdi BSIII,1,3,3,7,20,2176,3,1
2016 Honda City i VTEC CVT VX,2016,1497.0,Third Party,Automatic,70000.0,Second Owner,Petrol,117.3,5.0,18.0,Sedan,Delhi,6.6,2016.0,Honda,City i VTEC CVT VX,4,3,3,5,10,579,8,0
2021 Hyundai i20 Sportz Turbo iMT,Jun 2021,998.0,Comprehensive,Manual,6000.0,Second Owner,Petrol,118.3,5.0,20.0,Hatchback,Bangalore,8.75,2021.0,Hyundai,i20 Sportz Turbo iMT,4,3,0,2,11,2926,3,1
2019 Ford Aspire Trend Diesel BSIV,2019,1498.0,Third Party,Manual,60000.0,First Owner,Diesel,99.2,5.0,26.1,Sedan,Hyderabad,5.9,2019.0,Ford,Aspire Trend Diesel BSIV,1,1,3,7,9,281,8,1
2018 Maruti Baleno 1.2 Delta,Jul 2018,1197.0,Comprehensive,Manual,74325.0,First Owner,Petrol,83.1,5.0,21.4,Hatchback,Pune,6.7,2018.0,Maruti,Baleno 1.2 Delta,4,1,0,12,20,323,3,1
2017 Hyundai Creta 1.6 CRDi SX,2017,1582.0,Third Party,Manual,110000.0,First Owner,Diesel,126.2,5.0,19.67,SUV,Chennai,8.5,2017.0,Hyundai,Creta 1.6 CRDi SX,1,1,3,4,11,687,7,1
2007 Toyota Innova 2.5 G (Diesel) 8 Seater BS III,2007,2494.0,Third Party,Manual,120000.0,Second Owner,Diesel,102.0,8.0,12.8,MUV,Jaipur,2.85,2007.0,Toyota,Innova 2.5 G (Diesel) 8 Seater BS III,1,3,3,8,29,1217,4,1
2013 Volkswagen Polo Diesel Highline 1.2L,2013,1199.0,Third Party,Manual,80000.0,First Owner,Diesel,73.9,5.0,22.07,Hatchback,Delhi,3.4,2013.0,Volkswagen,Polo Diesel Highline 1.2L,1,1,3,5,30,1651,3,1
2012 Maruti Wagon R LXI CNG,Dec 2012,998.0,Comprehensive,Manual,71713.0,First Owner,CNG,58.2,5.0,26.2,Hatchback,Gurgaon,2.43,2012.0,Maruti,Wagon R LXI CNG,0,1,0,6,20,2521,3,1
2010 Nissan Micra XE,2010,1198.0,Third Party,Manual,100000.0,First Owner,Petrol,75.0,5.0,18.06,Hatchback,Delhi,1.05,2010.0,Nissan,Micra XE,4,1,3,5,23,1466,3,1
2015 Maruti Swift VXI,Dec 2015,1197.0,Comprehensive,Manual,62223.0,Second Owner,Petrol,88.5,5.0,22.38,Hatchback,Bangalore,5.06,2015.0,Maruti,Swift VXI,4,3,0,2,20,2165,3,1
2018 Tata Nexon 1.5 Revotorq XZA Plus,Aug 2018,1497.0,Comprehensive,Automatic,109357.0,First Owner,Diesel,108.5,5.0,21.5,SUV,Mumbai,8.42,2018.0,Tata,Nexon 1.5 Revotorq XZA Plus,1,1,0,11,28,1540,7,0
2021 Renault Triber RXE BSVI,Apr 2021,999.0,Not Available,Manual,24317.0,First Owner,Petrol,71.0,7.0,20.0,MUV,Bangalore,7.0,2021.0,Renault,Triber RXE BSVI,4,1,2,2,26,2311,4,1
2017 Maruti Baleno 1.2 Delta,Jul 2017,1197.0,Comprehensive,Manual,54024.0,First Owner,Petrol,83.1,5.0,21.4,Hatchback,Chennai,5.75,2017.0,Maruti,Baleno 1.2 Delta,4,1,0,4,20,323,3,1
2014 Maruti Swift Dzire VXI,Oct 2014,1197.0,Comprehensive,Manual,42776.0,First Owner,Petrol,88.5,5.0,22.41,Sedan,Ahmedabad,4.64,2014.0,Maruti,Swift Dzire VXI,4,1,0,1,20,2121,8,1
2022 Maruti Wagon R LXI CNG BSVI,Jun 2022,998.0,Comprehensive,Manual,1962.0,First Owner,CNG,55.9,5.0,34.05,Hatchback,Chandigarh,5.58,2022.0,Maruti,Wagon R LXI CNG BSVI,0,1,0,3,20,2522,3,1
2014 Maruti Ertiga VXI,Aug 2014,1462.0,Comprehensive,Manual,18866.0,First Owner,Petrol,101.6,7.0,20.51,MUV,Gurgaon,6.47,2014.0,Maruti,Ertiga VXI,4,1,0,6,20,895,4,1
2017 Honda City i VTEC S,2017,1497.0,Third Party,Manual,60000.0,First Owner,Petrol,117.3,5.0,17.8,Sedan,Chennai,7.25,2017.0,Honda,City i VTEC S,4,1,3,4,10,581,8,1
2019 Maruti Alto 800 LXI CNG,Aug 2019,796.0,Comprehensive,Manual,88667.0,First Owner,CNG,47.3,5.0,33.0,Hatchback,Mumbai,3.9,2019.0,Maruti,Alto 800 LXI CNG,0,1,0,11,20,141,3,1
2018 Toyota Innova Crysta 2.4 VX MT BSIV,2018,2393.0,Third Party,Manual,50000.0,First Owner,Diesel,147.8,7.0,13.68,MUV,Hyderabad,20.5,2018.0,Toyota,Innova Crysta 2.4 VX MT BSIV,1,1,3,7,29,1255,4,1
2021 Renault KWID Climber 1.0 MT Opt,May 2021,999.0,Comprehensive,Manual,31754.0,First Owner,Petrol,67.0,5.0,21.74,Hatchback,Chennai,4.73,2021.0,Renault,KWID Climber 1.0 MT Opt,4,1,0,4,26,1347,3,1
2013 Jaguar XF 2.2 Litre Luxury,2013,2179.0,Third Party,Automatic,70000.0,First Owner,Diesel,187.7,5.0,16.36,Sedan,Hyderabad,17.5,2013.0,Jaguar,XF 2.2 Litre Luxury,1,1,3,7,13,2623,8,0
2019 Honda City i-VTEC CVT V,Jul 2019,1497.0,Comprehensive,Automatic,30000.0,First Owner,Petrol,117.6,5.0,18.0,Sedan,Delhi,10.25,2019.0,Honda,City i-VTEC CVT V,4,1,0,5,10,590,8,0
2014 Honda Amaze SX i-DTEC,2014,1498.0,Third Party,Manual,60000.0,First Owner,Diesel,98.6,5.0,25.8,Sedan,Delhi,3.2,2014.0,Honda,Amaze SX i-DTEC,1,1,3,5,10,224,8,1
2020 Mahindra Marazzo M8 8Str,Mar 2020,1497.0,Comprehensive,Manual,66590.0,First Owner,Diesel,121.0,8.0,17.3,MUV,Hyderabad,11.0,2020.0,Mahindra,Marazzo M8 8Str,1,1,0,7,19,1451,4,1
2019 Tata Nexon 1.2 Revotron XZA Plus,Jun 2019,1198.0,Third Party,Automatic,23394.0,First Owner,Petrol,108.5,5.0,17.0,SUV,Gurgaon,9.17,2019.0,Tata,Nexon 1.2 Revotron XZA Plus,4,1,3,6,28,1533,7,0
2019 Maruti Swift VXI,Apr 2019,1197.0,Third Party,Manual,51193.0,First Owner,Petrol,81.8,5.0,21.21,Hatchback,Chandigarh,5.38,2019.0,Maruti,Swift VXI,4,1,3,3,20,2165,3,1
2013 Maruti Swift VXI,Feb 2013,1197.0,Comprehensive,Manual,92285.0,First Owner,Petrol,85.8,5.0,18.6,Hatchback,Bangalore,4.31,2013.0,Maruti,Swift VXI,4,1,0,2,20,2165,3,1
2013 Volkswagen Polo Petrol Highline 1.2L,Jan 2014,1198.0,Not Available,Manual,96966.0,First Owner,Petrol,73.9,5.0,16.47,Hatchback,Lucknow,2.45,2013.0,Volkswagen,Polo Petrol Highline 1.2L,4,1,2,10,30,1663,3,1
2010 Maruti Swift Dzire VXi,Jun 2010,1298.0,Third Party,Manual,62259.0,Second Owner,Petrol,85.8,5.0,17.5,Sedan,Mumbai,2.31,2010.0,Maruti,Swift Dzire VXi,4,3,3,11,20,2130,8,1
2017 Tata Tiago 1.2 Revotron XZA,May 2017,1199.0,Comprehensive,Automatic,29594.0,First Owner,Petrol,83.8,5.0,23.84,Hatchback,Chennai,4.98,2017.0,Tata,Tiago 1.2 Revotron XZA,4,1,0,4,28,2261,3,0
2011 Honda Civic 1.8 V AT,2011,1799.0,Third Party,Automatic,70000.0,Second Owner,Petrol,130.2,5.0,13.9,Sedan,Delhi,3.5,2011.0,Honda,Civic 1.8 V AT,4,3,3,5,10,600,8,0
2017 Hyundai Grand i10 Sportz,Apr 2017,1197.0,Comprehensive,Manual,31600.0,First Owner,Petrol,82.0,5.0,18.9,Hatchback,Gurgaon,4.65,2017.0,Hyundai,Grand i10 Sportz,4,1,0,6,11,1086,3,1
2019 Ford Ecosport 1.5 Diesel Titanium Plus BSIV,Apr 2019,1498.0,Third Party,Manual,42354.0,First Owner,Diesel,98.9,5.0,23.0,SUV,Pune,9.52,2019.0,Ford,Ecosport 1.5 Diesel Titanium Plus BSIV,1,1,3,12,9,797,7,1
2017 Tata Tigor 1.2 Revotron XZ Option,2017,1199.0,Third Party,Manual,60000.0,Second Owner,Petrol,84.0,5.0,20.3,Sedan,Pune,4.5,2017.0,Tata,Tigor 1.2 Revotron XZ Option,4,3,3,12,28,2290,8,1
2019 Mahindra XUV500 W9 AT BSIV,2019,2179.0,Third Party,Automatic,30000.0,First Owner,Diesel,152.8,7.0,15.1,SUV,Gurgaon,16.0,2019.0,Mahindra,XUV500 W9 AT BSIV,1,1,3,6,19,2704,7,0
2014 Maruti Swift VDI,Sept 2014,1248.0,Comprehensive,Manual,79000.0,Second Owner,Diesel,74.0,5.0,22.9,Hatchback,Mumbai,4.8,2014.0,Maruti,Swift VDI,1,3,0,11,20,2157,3,1
2016 Maruti Celerio ZXI AT,Dec 2016,998.0,Comprehensive,Automatic,27887.0,First Owner,Petrol,67.0,5.0,23.1,Hatchback,Pune,5.0,2016.0,Maruti,Celerio ZXI AT,4,1,0,12,20,479,3,0
2015 Maruti Ritz LDi,2015,1248.0,Third Party,Manual,80000.0,Third Owner,Diesel,73.9,5.0,23.2,Hatchback,Chennai,2.0,2015.0,Maruti,Ritz LDi,1,4,3,4,20,1794,3,1
2017 Maruti SX4 S Cross DDiS 200 Zeta,Apr 2017,1248.0,Comprehensive,Manual,65275.0,Second Owner,Diesel,88.5,5.0,23.65,SUV,Mumbai,6.92,2017.0,Maruti,SX4 S Cross DDiS 200 Zeta,1,3,0,11,20,1872,7,1
2019 Toyota Innova Crysta 2.4 G Plus MT BSIV,2019,2393.0,Third Party,Manual,50000.0,First Owner,Diesel,147.8,7.0,13.68,MUV,Delhi,17.0,2019.0,Toyota,Innova Crysta 2.4 G Plus MT BSIV,1,1,3,5,29,1240,4,1
2017 Honda WR-V i-VTEC VX,Jan 2018,1199.0,Third Party,Manual,29640.0,First Owner,Petrol,88.7,5.0,17.5,SUV,Chennai,7.6,2017.0,Honda,WR-V i-VTEC VX,4,1,3,4,10,2500,7,1
2012 Hyundai i20 Magna 1.4 CRDi (Diesel),Aug 2012,1396.0,Third Party,Manual,86873.0,First Owner,Diesel,88.7,5.0,21.9,Hatchback,Bangalore,4.85,2012.0,Hyundai,i20 Magna 1.4 CRDi (Diesel),1,1,3,2,11,2890,3,1
