full_name,registered_year,engine_capacity,insurance,transmission_type,kms_driven,owner_type,fuel_type,max_power,seats,mileage,body_type,city,resale_price_Lakh
2019 Tata Nexon 1.5 Revotorq XZA Plus DualTone,Apr 2019,1497 cc,Zero Dep,Automatic,"46,034 Kms",First Owner,Diesel,108.5bhp,5.0,21.5 kmpl,SUV,Hyderabad,10.22
2013 Maruti Swift VXI,Sept 2013,1197 cc,Third Party,Manual,"50,824 Kms",First Owner,Petrol,88.50bhp,5.0,22.38 kmpl,Hatchback,Hyderabad,4.55
2017 Honda City i-VTEC CVT V,Feb 2018,1497 cc,Zero Dep,Automatic,"1,20,848 Kms",First Owner,Petrol,117.6bhp,5.0,18 kmpl,Sedan,Bangalore,7.18
2015 Maruti Swift Dzire VXI,Mar 2015,1197 cc,Third Party insurance,Manual,"36,888 Kms",Second Owner,Petrol,88.50bhp,5.0,22.41 kmpl,Sedan,Delhi,3.78
2016 Mercedes-Benz GLS 350d 4MATIC,Jul 2016,2987 cc,Comprehensive,Automatic,"66,000 Kms",Second Owner,Diesel,258bhp,7.0,11 kmpl,SUV,Delhi,49.5
2018 Maruti Baleno Delta Diesel,Jul 2018,1248 cc,Comprehensive,Manual,"83,083 Kms",First Owner,Diesel,74bhp,5.0,27.39 kmpl,Hatchback,Jaipur,6.75
2018 Mahindra Thar CRDe,Aug 2018,2498 cc,Third Party insurance,Manual,"59,889 Kms",First Owner,Diesel,105bhp,6.0,16.55 kmpl,SUV,Bangalore,9.85
2018 Ford Freestyle Titanium Petrol BSIV,Oct 2018,1194 cc,Zero Dep,Manual,"45,600 Kms",First Owner,Petrol,94.68bhp,5.0,19 kmpl,Hatchback,Hyderabad,5.5
2012 Toyota Etios Liva GD,Jun 2012,1364 cc,Comprehensive,Manual,"74,000 Kms",First Owner,Diesel,,5.0,23.59 kmpl,Hatchback,Chennai,4.25
2019 Mahindra XUV500 W7 AT BSIV,2019,2179 cc,Third Party insurance,Automatic,"80,000 Kms",First Owner,Diesel,152.87bhp,7.0,15.1 kmpl,SUV,Hyderabad,15.0
2017 Hyundai i20 Asta 1.2,Sept 2017,1197 cc,Comprehensive,Manual,"26,997 Kms",First Owner,Petrol,81.83bhp,5.0,18.6 kmpl,Hatchback,Hyderabad,6.68
2022 MG Hector Sharp CVT,2022,1451 cc,Third Party insurance,Automatic,"10,000 Kms",Second Owner,Petrol,141bhp,5.0,,SUV,Delhi,21.0
2011 Hyundai i10 Sportz,Oct 2011,1197 cc,Third Party,Manual,"63,386 Kms",First Owner,Petrol,78.9bhp,5.0,20.36 kmpl,Hatchback,Pune,2.46
2017 Jaguar F-Pace Prestige 2.0 AWD,Aug 2017,1999 cc,Comprehensive,Automatic,"56,000 Kms",First Owner,Diesel,177bhp,5.0,16.38 kmpl,SUV,Bangalore,43.0
2017 Honda Jazz V CVT,May 2017,1199 cc,Comprehensive,Automatic,"47,000 Kms",First Owner,Petrol,88.7bhp,5.0,18.2 kmpl,Hatchback,Bangalore,7.75
2017 Ford Ecosport 1.5 TDCi Platinum Edition BSIV,Sept 2017,1498 cc,Comprehensive,Manual,"70,681 Kms",First Owner,Diesel,98.59bhp,5.0,22.77 kmpl,SUV,Bangalore,7.33
2020 Hyundai Verna VTVT 1.6 SX,2020,1591 cc,Third Party insurance,Manual,"30,000 Kms",First Owner,Petrol,121.3bhp,5.0,17 kmpl,Sedan,Gurgaon,8.5
2019 Hyundai Creta 1.6 SX Automatic Diesel,Nov 2019,1582 cc,Comprehensive,Automatic,"56,000 Kms",First Owner,Diesel,126.2bhp,5.0,17.6 kmpl,SUV,Bangalore,15.75
2022 Maruti Ertiga Tour STD CNG 2019-2022,2022,1462 cc,Third Party insurance,Manual,"30,000 Kms",First Owner,CNG,91.18bhp,7.0,,MUV,Delhi,11.5
2018 Mahindra KUV 100 NXT G80 K6 Plus,2018,1198 cc,Third Party insurance,Manual,"60,000 Kms",Second Owner,Petrol,82bhp,6.0,18.15 kmpl,Hatchback,Delhi,3.95
2019 Hyundai i20 Sportz Plus CVT BSIV,Jun 2019,1197 cc,Third Party,Automatic,"23,717 Kms",Second Owner,Petrol,81.86bhp,5.0,17.4 kmpl,Hatchback,Chandigarh,7.34
2019 Hyundai i20 Asta Option BSIV,May 2019,1197 cc,Zero Dep,Manual,"28,438 Kms",Second Owner,Petrol,81.86bhp,5.0,18.6 kmpl,Hatchback,Hyderabad,7.59
2018 Maruti Ertiga ZXI Petrol,Jan 2019,1462 cc,Comprehensive,Manual,"68,796 Kms",First Owner,Petrol,103bhp,7.0,19.34 kmpl,MUV,Bangalore,9.0
2017 Maruti Baleno 1.2 Zeta,Mar 2017,1197 cc,Comprehensive,Manual,"40,356 Kms",First Owner,Petrol,83.1bhp,5.0,21.4 kmpl,Hatchback,Bangalore,7.12
2016 Mercedes-Benz GL-Class 350 CDI Blue Efficiency,May 2016,2987 cc,Comprehensive,Automatic,"1,00,000 Kms",Second Owner,Diesel,254.8bhp,7.0,11.3 kmpl,SUV,Delhi,32.5
2021 Hyundai Creta E Diesel BSVI,Aug 2021,1493 cc,Comprehensive,Manual,"19,000 Kms",First Owner,Diesel,113.98bhp,5.0,,SUV,Kolkata,10.49
2022 Hyundai Grand i10 Nios Sportz,2022,1197 cc,Third Party insurance,Manual,"30,000 Kms",First Owner,Petrol,81.86bhp,5.0,20.7 kmpl,Hatchback,Hyderabad,7.5
2012 Maruti Swift VDI,Jan 2013,1248 cc,Third Party,Manual,"55,544 Kms",Second Owner,Diesel,74bhp,5.0,22.9 kmpl,Hatchback,Bangalore,4.54
2013 Mercedes-Benz C-Class C 220 CDI Elegance AT,2013,2143 cc,Third Party insurance,Automatic,"1,20,000 Kms",Third Owner,Diesel,170bhp,5.0,14.84 kmpl,Sedan,Pune,7.5
2021 Datsun RediGO A,Jan 2022,799 cc,Comprehensive,Manual,"14,811 Kms",First Owner,Petrol,53.64bhp,5.0,20.71 kmpl,Hatchback,Chennai,4.08
2022 Hyundai Verna SX,Dec 2022,1497 cc,Third Party insurance,Manual,"5,500 Kms",First Owner,Petrol,113.18bhp,5.0,17.7 kmpl,Sedan,Kolkata,11.25
2014 Ford Ecosport 1.5 Ti VCT MT Trend,Jun 2014,1499 cc,Third Party,Manual,"50,219 Kms",First Owner,Petrol,110bhp,5.0,15.8 kmpl,SUV,Delhi,4.08
2021 Tata Nexon XMA AMT BSVI,Jun 2021,1199 cc,Comprehensive,Automatic,"14,127 Kms",Second Owner,Petrol,118.35bhp,5.0,17.05 kmpl,SUV,Bangalore,9.15
2017 Ford Aspire 1.2 Ti-VCT Trend,2017,1196 cc,Third Party insurance,Manual,"40,000 Kms",First Owner,Petrol,86.8bhp,5.0,18.16 kmpl,Sedan,Ahmedabad,4.5
2010 Chevrolet Spark 1.0 PS,2010,995 cc,Third Party insurance,Manual,"80,000 Kms",Third Owner,Petrol,63 PS,5.0,16 kmpl,Hatchback,Ahmedabad,0.85
2016 Honda Jazz 1.2 V i VTEC,Aug 2016,1199 cc,Comprehensive,Manual,"69,425 Kms",First Owner,Petrol,88.7bhp,5.0,18.7 kmpl,Hatchback,Chennai,5.5
2017 Hyundai Verna VTVT 1.6 AT SX Option,Apr 2017,1591 cc,Third Party insurance,Automatic,"30,000 Kms",First Owner,Petrol,121.3bhp,5.0,17 kmpl,Sedan,Mumbai,9.21
2019 Ford Ecosport 1.5 Petrol Trend Plus AT BSIV,Aug 2019,1497 cc,Comprehensive,Automatic,"33,000 Kms",Second Owner,Petrol,121.36bhp,5.0,14.8 kmpl,SUV,Bangalore,9.0
2022 Kia Carens Prestige Plus DCT BSVI,Jul 2022,1482 cc,Comprehensive,Automatic,"11,000 Kms",First Owner,Petrol,157.81bhp,7.0,,MUV,Delhi,16.5
2017 Hyundai Verna VTVT 1.6 EX,Oct 2017,1591 cc,Third Party insurance,Manual,"23,750 Kms",First Owner,Petrol,121.3bhp,5.0,17.7 kmpl,Sedan,Mumbai,8.0
2014 Hyundai Verna 1.6 SX VTVT AT,2014,1591 cc,Third Party insurance,Automatic,"1,00,000 Kms",Second Owner,Petrol,121.3bhp,5.0,15.74 kmpl,Sedan,Delhi,4.0
2011 Chevrolet Cruze LTZ,2011,1991 cc,Third Party insurance,Manual,"80,000 Kms",Second Owner,Diesel,147.9bhp,5.0,18.3 kmpl,Sedan,Delhi,2.5
2011 Honda City V AT,Aug 2011,1497 cc,Comprehensive,Automatic,"63,000 Kms",Second Owner,Petrol,116.3bhp,5.0,15.6 kmpl,Sedan,Mumbai,2.95
2018 Land Rover Range Rover Evoque 2.0 TD4 SE,Jul 2018,1999 cc,Third Party,Automatic,"51,620 Kms",Second Owner,Diesel,177bhp,5.0,15.68 kmpl,SUV,Kolkata,34.0
2011 Maruti Wagon R VXI,Jul 2011,998 cc,Third Party insurance,Manual,"60,014 Kms",Second Owner,Petrol,67.1bhp,5.0,18.9 kmpl,Hatchback,Chennai,2.75
2014 Honda Mobilio S i-DTEC,Jul 2014,1498 cc,Comprehensive,Manual,"90,000 Kms",First Owner,Diesel,98.6bhp,7.0,24.2 kmpl,MUV,Ahmedabad,5.5
2020 Kia Carnival Prestige,Jun 2020,2199 cc,Zero Dep,Automatic,"42,885 Kms",First Owner,Diesel,197.26bhp,7.0,14.11 kmpl,MUV,Bangalore,29.75
2021 Tata Nexon XZA Plus DualTone Roof AMT,Jun 2021,1199 cc,Comprehensive,Automatic,"38,323 Kms",First Owner,Petrol,118.36bhp,5.0,16.35 kmpl,SUV,Jaipur,10.25
2012 Hyundai i10 Sportz,2012,1197 cc,Third Party insurance,Manual,"70,000 Kms",Second Owner,Petrol,78.9bhp,5.0,20.36 kmpl,Hatchback,Delhi,2.75
2021 Maruti Alto 800 VXI Plus BSVI,Mar 2021,796 cc,Comprehensive,Manual,"10,000 Kms",First Owner,Petrol,47.33bhp,5.0,22.05 kmpl,Hatchback,Delhi,3.9
2011 Volkswagen Vento IPL II Petrol Highline,2011,1598 cc,Third Party insurance,Manual,"1,20,000 Kms",Second Owner,Petrol,105 PS at 5250 rpm,5.0,15.8 kmpl,Sedan,Mumbai,2.5
2012 Hyundai Verna 1.6 SX VTVT,2012,1591 cc,Third Party insurance,Manual,"1,20,000 Kms",First Owner,Petrol,121.3bhp,5.0,17.01 kmpl,Sedan,Hyderabad,3.4
2015 Honda City i VTEC SV,Jun 2015,1497 cc,Comprehensive,Manual,"41,585 Kms",First Owner,Petrol,117.3bhp,5.0,17.4 kmpl,Sedan,Mumbai,5.94
2014 Maruti Alto K10 VXI AMT,2014,998 cc,Third Party insurance,Automatic,"80,000 Kms",Fifth Owner,Petrol,67.05bhp,5.0,23.95 kmpl,Hatchback,Chandigarh,2.5
2021 Renault Kiger RXL,May 2021,999 cc,Third Party,Manual,"20,537 Kms",Second Owner,Petrol,71.01bhp,5.0,19.17 kmpl,SUV,Ahmedabad,6.43
2018 Ford Freestyle Titanium Petrol BSIV,Jun 2018,1194 cc,Third Party insurance,Manual,"54,813 Kms",First Owner,Petrol,94.68bhp,5.0,19 kmpl,Hatchback,Bangalore,5.77
2021 Hyundai Venue SX Sport iMT,2021,998 cc,Third Party insurance,Manual,"30,000 Kms",First Owner,Petrol,118.35bhp,5.0,18 kmpl,SUV,Hyderabad,10.2
2014 Honda Amaze SX i-VTEC,Jun 2014,1198 cc,Third Party insurance,Manual,"64,000 Kms",Second Owner,Petrol,86.7bhp,5.0,18 kmpl,Sedan,Ahmedabad,3.3
2009 Maruti Swift Vdi BSIII,2009,1248 cc,Third Party insurance,Manual,"1,20,000 Kms",Second Owner,Diesel,75 PS,5.0,17.8 kmpl,Hatchback,Hyderabad,2.5
2016 Honda City i VTEC CVT VX,2016,1497 cc,Third Party insurance,Automatic,"70,000 Kms",Second Owner,Petrol,117.3bhp,5.0,18 kmpl,Sedan,Delhi,6.6
2021 Hyundai i20 Sportz Turbo iMT,Jun 2021,998 cc,Comprehensive,Manual,"6,000 Kms",Second Owner,Petrol,118.36bhp,5.0,20 kmpl,Hatchback,Bangalore,8.75
2019 Ford Aspire Trend Diesel BSIV,2019,1498 cc,Third Party insurance,Manual,"60,000 Kms",First Owner,Diesel,99.23bhp,5.0,26.1 kmpl,Sedan,Hyderabad,5.9
2018 Maruti Baleno 1.2 Delta,Jul 2018,1197 cc,Comprehensive,Manual,"74,325 Kms",First Owner,Petrol,83.1bhp,5.0,21.4 kmpl,Hatchback,Pune,6.7
2017 Hyundai Creta 1.6 CRDi SX,2017,1582 cc,Third Party insurance,Manual,"1,10,000 Kms",First Owner,Diesel,126.2bhp,5.0,19.67 kmpl,SUV,Chennai,8.5
2007 Toyota Innova 2.5 G (Diesel) 8 Seater BS III,2007,2494 cc,Third Party insurance,Manual,"1,20,000 Kms",Second Owner,Diesel,102,8.0,12.8 kmpl,MUV,Jaipur,2.85
2013 Volkswagen Polo Diesel Highline 1.2L,2013,1199 cc,Third Party insurance,Manual,"80,000 Kms",First Owner,Diesel,73.9bhp,5.0,22.07 kmpl,Hatchback,Delhi,3.4
2012 Maruti Wagon R LXI CNG,Dec 2012,998 cc,Comprehensive,Manual,"71,713 Kms",First Owner,CNG,58.2bhp,5.0,26.2 kmpl,Hatchback,Gurgaon,2.43
2010 Nissan Micra XE,2010,1198 cc,Third Party insurance,Manual,"1,00,000 Kms",First Owner,Petrol,75bhp,5.0,18.06 kmpl,Hatchback,Delhi,1.05
2017 Honda City 1.5 GXI CVT,Jan 2018,,Third Party insurance,Automatic,"1,08,648 Kms",First Owner,Petrol,,5.0,14.5 kmpl,Sedan,Pune,8.1
2015 Maruti Swift VXI,Dec 2015,1197 cc,Comprehensive,Manual,"62,223 Kms",Second Owner,Petrol,88.50bhp,5.0,22.38 kmpl,Hatchback,Bangalore,5.06
2018 Tata Nexon 1.5 Revotorq XZA Plus,Aug 2018,1497 cc,Comprehensive,Automatic,"1,09,357 Kms",First Owner,Diesel,108.5bhp,5.0,21.5 kmpl,SUV,Mumbai,8.42
2021 Renault Triber RXE BSVI,Apr 2021,999 cc,Not Available,Manual,"24,317 Kms",First Owner,Petrol,71.01bhp,7.0,20 kmpl,MUV,Bangalore,7.0
2017 Maruti Baleno 1.2 Delta,Jul 2017,1197 cc,Comprehensive,Manual,"54,024 Kms",First Owner,Petrol,83.1bhp,5.0,21.4 kmpl,Hatchback,Chennai,5.75
2014 Maruti Swift Dzire VXI,Oct 2014,1197 cc,Comprehensive,Manual,"42,776 Kms",First Owner,Petrol,88.50bhp,5.0,22.41 kmpl,Sedan,Ahmedabad,4.64
2022 Maruti Wagon R LXI CNG BSVI,Jun 2022,998 cc,Comprehensive,Manual,"1,962 Kms",First Owner,CNG,55.92bhp,5.0,34.05 kmpl,Hatchback,Chandigarh,5.58
2014 Maruti Ertiga VXI,Aug 2014,1462 cc,Comprehensive,Manual,"18,866 Kms",First Owner,Petrol,101.65bhp,7.0,20.51 kmpl,MUV,Gurgaon,6.47
2017 Honda City i VTEC S,2017,1497 cc,Third Party insurance,Manual,"60,000 Kms",First Owner,Petrol,117.3bhp,5.0,17.8 kmpl,Sedan,Chennai,7.25
2019 Maruti Alto 800 LXI CNG,Aug 2019,796 cc,Comprehensive,Manual,"88,667 Kms",First Owner,CNG,47.3bhp,5.0,33 kmpl,Hatchback,Mumbai,3.9
2018 Toyota Innova Crysta 2.4 VX MT BSIV,2018,2393 cc,Third Party insurance,Manual,"50,000 Kms",First Owner,Diesel,147.8bhp,7.0,13.68 kmpl,MUV,Hyderabad,20.5
2021 Renault KWID Climber 1.0 MT Opt,May 2021,999 cc,Comprehensive,Manual,"31,754 Kms",First Owner,Petrol,67bhp,5.0,21.74 kmpl,Hatchback,Chennai,4.73
2013 Jaguar XF 2.2 Litre Luxury,2013,2179 cc,Third Party insurance,Automatic,"70,000 Kms",First Owner,Diesel,187.7bhp,5.0,16.36 kmpl,Sedan,Hyderabad,17.5
2019 Honda City i-VTEC CVT V,Jul 2019,1497 cc,Comprehensive,Automatic,"30,000 Kms",First Owner,Petrol,117.6bhp,5.0,18 kmpl,Sedan,Delhi,10.25
2014 Honda Amaze SX i-DTEC,2014,1498 cc,Third Party insurance,Manual,"60,000 Kms",First Owner,Diesel,98.6bhp,5.0,25.8 kmpl,Sedan,Delhi,3.2
2020 Mahindra Marazzo M8 8Str,Mar 2020,1497 cc,Comprehensive,Manual,"66,590 Kms",First Owner,Diesel,121bhp,8.0,17.3 kmpl,MUV,Hyderabad,11.0
2019 Tata Nexon 1.2 Revotron XZA Plus,Jun 2019,1198 cc,Third Party,Automatic,"23,394 Kms",First Owner,Petrol,108.5bhp,5.0,17 kmpl,SUV,Gurgaon,9.17
2019 Maruti Swift VXI,Apr 2019,1197 cc,Third Party insurance,Manual,"51,193 Kms",First Owner,Petrol,81.80bhp,5.0,21.21 kmpl,Hatchback,Chandigarh,5.38
2013 Maruti Swift VXI,Feb 2013,1197 cc,Comprehensive,Manual,"92,285 Kms",First Owner,Petrol,85.8bhp,5.0,18.6 kmpl,Hatchback,Bangalore,4.31
2013 Volkswagen Polo Petrol Highline 1.2L,Jan 2014,1198 cc,Not Available,Manual,"96,966 Kms",First Owner,Petrol,73.9bhp,5.0,16.47 kmpl,Hatchback,Lucknow,2.45
2010 Maruti Swift Dzire VXi,Jun 2010,1298 cc,Third Party,Manual,"62,259 Kms",Second Owner,Petrol,85.8bhp,5.0,17.5 kmpl,Sedan,Mumbai,2.31
2017 Tata Tiago 1.2 Revotron XZA,May 2017,1199 cc,Comprehensive,Automatic,"29,594 Kms",First Owner,Petrol,83.83bhp,5.0,23.84 kmpl,Hatchback,Chennai,4.98
2011 Honda Civic 1.8 V AT,2011,1799 cc,Third Party insurance,Automatic,"70,000 Kms",Second Owner,Petrol,130.2bhp,5.0,13.9 kmpl,Sedan,Delhi,3.5
2017 Hyundai Grand i10 Sportz,Apr 2017,1197 cc,Comprehensive,Manual,"31,600 Kms",First Owner,Petrol,82bhp,5.0,18.9 kmpl,Hatchback,Gurgaon,4.65
2019 Ford Ecosport 1.5 Diesel Titanium Plus BSIV,Apr 2019,1498 cc,Third Party,Manual,"42,354 Kms",First Owner,Diesel,98.96bhp,5.0,23 kmpl,SUV,Pune,9.52
2017 Tata Tigor 1.2 Revotron XZ Option,2017,1199 cc,Third Party insurance,Manual,"60,000 Kms",Second Owner,Petrol,84bhp,5.0,20.3 kmpl,Sedan,Pune,4.5
2019 Mahindra XUV500 W9 AT BSIV,2019,2179 cc,Third Party insurance,Automatic,"30,000 Kms",First Owner,Diesel,152.87bhp,7.0,15.1 kmpl,SUV,Gurgaon,16.0
2014 Maruti Swift VDI,Sept 2014,1248 cc,Comprehensive,Manual,"79,000 Kms",Second Owner,Diesel,74bhp,5.0,22.9 kmpl,Hatchback,Mumbai,4.8
2016 Maruti Celerio ZXI AT,Dec 2016,998 cc,Comprehensive,Automatic,"27,887 Kms",First Owner,Petrol,67.04bhp,5.0,23.1 kmpl,Hatchback,Pune,5.0
2015 Maruti Ritz LDi,2015,1248 cc,Third Party insurance,Manual,"80,000 Kms",Third Owner,Diesel,73.94bhp,5.0,23.2 kmpl,Hatchback,Chennai,2.0
2017 Maruti SX4 S Cross DDiS 200 Zeta,Apr 2017,1248 cc,Comprehensive,Manual,"65,275 Kms",Second Owner,Diesel,88.5bhp,5.0,23.65 kmpl,SUV,Mumbai,6.92
2019 Toyota Innova Crysta 2.4 G Plus MT BSIV,2019,2393 cc,Third Party insurance,Manual,"50,000 Kms",First Owner,Diesel,147.8bhp,7.0,13.68 kmpl,MUV,Delhi,17.0
2017 Honda WR-V i-VTEC VX,Jan 2018,1199 cc,Third Party insurance,Manual,"29,640 Kms",First Owner,Petrol,88.7bhp,5.0,17.5 kmpl,SUV,Chennai,7.6
2012 Hyundai i20 Magna 1.4 CRDi (Diesel),Aug 2012,1396 cc,Third Party insurance,Manual,"86,873 Kms",First Owner,Diesel,88.76bhp,5.0,21.9 kmpl,Hatchback,Bangalore,4.85
2018 Maruti Alto K10 VXI Airbag,Sept 2018,998 cc,Comprehensive,Manual,"79,000 Kms",First Owner,Petrol,67.1bhp,5.0,23.95 kmpl,Hatchback,Bangalore,3.49
2019 Tata Nexon 1.2 Revotron XM,2019,1198 cc,Third Party insurance,Manual,"30,000 Kms",First Owner,Petrol,108.5bhp,5.0,17 kmpl,SUV,Jaipur,7.1
2010 Hyundai i10 Magna 1.1L,Mar 2011,1086 cc,Not Available,Manual,"49,500 Kms",First Owner,Petrol,68.05bhp,5.0,19.81 kmpl,Hatchback,Hyderabad,2.45
2019 Hyundai Santro Sportz CNG BSIV,Jan 2019,1086 cc,Zero Dep,Manual,"27,792 Kms",First Owner,CNG,58bhp,5.0,30.48 km/kg,Hatchback,Gurgaon,5.64
2021 Maruti Wagon R CNG LXI Opt,2021,998 cc,Third Party insurance,Manual,"20,000 Kms",First Owner,CNG,58.33bhp,5.0,32.52 kmpl,Hatchback,Gurgaon,5.5
2013 BMW 3 Series 320d Sport Line,May 2013,1995 cc,Comprehensive,Automatic,"39,000 Kms",First Owner,Diesel,184bhp,5.0,18.88 kmpl,Sedan,Kolkata,11.0
2019 Volkswagen Polo 1.0 TSI Highline Plus,Jul 2019,999 cc,Third Party insurance,Manual,"45,000 Kms",First Owner,Petrol,108.62bhp,5.0,18.24 kmpl,Hatchback,Delhi,6.99
2019 Maruti Wagon R CNG LXI BSIV,Nov 2019,998 cc,Third Party,Manual,"68,678 Kms",First Owner,CNG,67.04bhp,5.0,33.54 kmpl,Hatchback,Delhi,5.34
2019 Hyundai Tucson 2.0 Dual VTVT 2WD AT GL Opt,2019,1999 cc,Third Party insurance,Automatic,"30,000 Kms",First Owner,Petrol,152.88bhp,5.0,12.95 kmpl,SUV,Ahmedabad,17.0
2018 Maruti Baleno 1.2 CVT Zeta,Dec 2018,1197 cc,Comprehensive,Automatic,"32,647 Kms",First Owner,Petrol,83.1bhp,5.0,21.4 kmpl,Hatchback,Mumbai,7.45
2018 Maruti Alto 800 LXI,2018,796 cc,Third Party insurance,Manual,"70,000 Kms",First Owner,Petrol,47.3bhp,5.0,24.7 kmpl,Hatchback,Ahmedabad,2.8
2019 Maruti Ertiga ZXI Plus Petrol,2019,1462 cc,Third Party insurance,Manual,"60,000 Kms",First Owner,Petrol,103bhp,7.0,19.34 kmpl,MUV,Mumbai,11.0
2016 Tata Safari Storme VX,2016,2179 cc,Third Party insurance,Manual,"90,000 Kms",Second Owner,Diesel,148bhp,7.0,14.1 kmpl,SUV,Jaipur,6.0
2014 BMW 3 Series 320d Sport Line,2014,1995 cc,Third Party insurance,Automatic,"90,000 Kms",Fourth Owner,Diesel,184bhp,5.0,18.88 kmpl,Sedan,Mumbai,10.0
2016 Tata Tiago 1.2 Revotron XE,Jun 2016,1199 cc,Comprehensive,Manual,"1,01,386 Kms",First Owner,Petrol,84bhp,5.0,23.84 kmpl,Hatchback,Bangalore,3.64
2010 Hyundai i20 1.2 Asta,2010,1197 cc,Third Party insurance,Manual,"1,20,000 Kms",Second Owner,Petrol,80 PS at 5200 rpm,5.0,17 kmpl,Hatchback,Pune,3.4
2016 Maruti Eeco CNG 5 Seater AC BSIV,2016,1196 cc,Third Party insurance,Manual,"1,00,000 Kms",Second Owner,CNG,61.7bhp,5.0,21.94 km/kg,Maruti,Gurgaon,2.53
2021 Tata Nexon XZA Plus (O) AMT,Nov 2021,1199 cc,Zero Dep,Automatic,"7,662 Kms",First Owner,Petrol,118.36bhp,5.0,16.35 kmpl,SUV,Bangalore,12.17
2018 Hyundai i20 Asta Option CVT BSIV,Dec 2018,1197 cc,Third Party insurance,Automatic,"29,084 Kms",First Owner,Petrol,81.86bhp,5.0,17.4 kmpl,Hatchback,Hyderabad,6.6
2019 Hyundai Grand i10 1.2 Kappa Sportz BSIV,Jun 2019,1197 cc,Third Party insurance,Manual,"42,090 Kms",First Owner,Petrol,81.86bhp,5.0,18.9 kmpl,Hatchback,Bangalore,5.74
2018 Maruti Swift VXI,Sept 2018,1197 cc,Third Party,Manual,"69,553 Kms",First Owner,Petrol,88.50bhp,5.0,22.38 kmpl,Hatchback,Chandigarh,5.96
2019 Maruti Ignis 1.2 AMT Delta BSIV,Sept 2019,1197 cc,Zero Dep,Automatic,"47,844 Kms",Second Owner,Petrol,81.80bhp,5.0,20.89 kmpl,Hatchback,Hyderabad,5.12
2010 Maruti Zen Estilo VXI BSIV,Apr 2010,998 cc,Comprehensive,Manual,"61,633 Kms",Second Owner,Petrol,67.1bhp,5.0,19 kmpl,Hatchback,Chennai,1.95
2018 Mahindra Thar CRDe,Mar 2018,2498 cc,Comprehensive,Manual,"32,000 Kms",Second Owner,Diesel,105bhp,6.0,16.55 kmpl,SUV,Bangalore,9.75
2019 Maruti Baleno 1.2 Delta,Oct 2019,1197 cc,Third Party,Manual,"64,891 Kms",Second Owner,Petrol,83.1bhp,5.0,21.4 kmpl,Hatchback,Jaipur,5.64
2013 Maruti Alto 800 VXI,2013,796 cc,Third Party insurance,Manual,"80,000 Kms",First Owner,Petrol,47.3bhp,5.0,22.74 kmpl,Hatchback,Agra,2.1
