insurance,owner_type,transmission_type,resale_price_Lakh
Third Party,Second Owner,Manual,3.81
Comprehensive,First Owner,Automatic,13.4
Third Party,Second Owner,Manual,4.25
Third Party,First Owner,Manual,4.75
Third Party,Second Owner,Manual,1.55
Third Party,Second Owner,Manual,3.76
Third Party,Second Owner,Manual,2.8
Comprehensive,First Owner,Manual,3.15
Comprehensive,First Owner,Automatic,3.79
Comprehensive,First Owner,Manual,3.75
Comprehensive,First Owner,Manual,6.25
Comprehensive,First Owner,Manual,5.53
Comprehensive,First Owner,Automatic,13.5
Comprehensive,First Owner,Automatic,44.5
Third Party,First Owner,Manual,6.0
Third Party,First Owner,Manual,15.99
Comprehensive,Second Owner,Manual,4.08
Third Party,First Owner,Manual,20.0
Comprehensive,Second Owner,Automatic,7.24
Third Party,Second Owner,Manual,5.6
Third Party,First Owner,Automatic,4.2
Third Party,Second Owner,Manual,3.75
Zero Dep,First Owner,Manual,4.7
Third Party,Second Owner,Manual,4.5
Comprehensive,First Owner,Manual,5.41
Third Party,Second Owner,Manual,2.8
Third Party,First Owner,Manual,6.2
Comprehensive,First Owner,Manual,9.5
Comprehensive,First Owner,Manual,5.15
Comprehensive,Second Owner,Automatic,10.9
Third Party,Third Owner,Automatic,4.5
Comprehensive,Second Owner,Manual,3.0
Comprehensive,First Owner,Automatic,14.5
Third Party,First Owner,Manual,6.6
Third Party,First Owner,Manual,2.0
Comprehensive,First Owner,Manual,1.35
Comprehensive,First Owner,Automatic,5.9
Comprehensive,Second Owner,Manual,9.56
Third Party,First Owner,Manual,2.5
Comprehensive,First Owner,Manual,3.3
Comprehensive,First Owner,Automatic,72.0
Third Party,First Owner,Manual,3.3
Comprehensive,First Owner,Manual,7.25
Third Party,First Owner,Manual,7.34
Third Party,Second Owner,Manual,2.55
Comprehensive,First Owner,Manual,4.03
Third Party,Second Owner,Manual,2.41
Third Party,First Owner,Manual,2.7
Comprehensive,Second Owner,Manual,7.92
Third Party,Second Owner,Manual,1.0
Third Party,Third Owner,Manual,3.7
Comprehensive,First Owner,Manual,5.25
Third Party,First Owner,Manual,8.5
Comprehensive,First Owner,Manual,2.65
Third Party,First Owner,Manual,4.5
Not Available,Second Owner,Manual,3.0
Third Party,First Owner,Manual,5.05
Third Party,First Owner,Manual,4.44
Third Party,First Owner,Manual,7.0
Third Party,First Owner,Manual,4.49
Third Party,First Owner,Manual,10.9
Comprehensive,First Owner,Manual,2.89
Comprehensive,Second Owner,Manual,3.95
Third Party,First Owner,Manual,4.36
Third Party,First Owner,Automatic,8.45
Comprehensive,Second Owner,Manual,5.94
Third Party,Fourth Owner,Automatic,1.5
Comprehensive,First Owner,Automatic,18.75
Third Party,First Owner,Manual,1.9
Third Party,Second Owner,Manual,5.2
Third Party,First Owner,Manual,6.0
Third Party,First Owner,Manual,3.85
Third Party,Third Owner,Manual,2.5
Comprehensive,First Owner,Manual,3.93
Comprehensive,First Owner,Automatic,7.98
Comprehensive,Second Owner,Automatic,13.0
Third Party,Second Owner,Manual,8.35
Comprehensive,First Owner,Manual,3.96
Third Party,Second Owner,Manual,5.77
Not Available,First Owner,Automatic,20.0
Third Party,First Owner,Manual,20.0
Third Party,First Owner,Manual,2.1
Comprehensive,First Owner,Automatic,5.65
Third Party,Second Owner,Automatic,14.99
Third Party,First Owner,Manual,1.99
Third Party,First Owner,Manual,2.5
Third Party,First Owner,Manual,7.0
Comprehensive,First Owner,Automatic,28.45
Comprehensive,First Owner,Manual,3.45
Third Party,First Owner,Manual,5.75
Third Party,First Owner,Manual,2.25
Third Party,Third Owner,Manual,1.88
Third Party,First Owner,Manual,6.25
Comprehensive,Second Owner,Manual,1.05
Third Party,Second Owner,Manual,5.3
Comprehensive,First Owner,Manual,7.9
Third Party,First Owner,Manual,6.9
Comprehensive,First Owner,Manual,10.99
Third Party,First Owner,Manual,6.85
Third Party,First Owner,Manual,3.2
Not Available,First Owner,Manual,3.75
Third Party,First Owner,Manual,2.85
Third Party,Second Owner,Manual,2.78
Third Party,First Owner,Manual,3.95
Comprehensive,First Owner,Manual,10.43
Not Available,Second Owner,Manual,2.1
Third Party,First Owner,Automatic,7.0
Third Party,Second Owner,Manual,2.82
Comprehensive,First Owner,Manual,4.73
Third Party,First Owner,Automatic,10.15
Third Party,Second Owner,Manual,3.17
Third Party,First Owner,Manual,6.5
Third Party,First Owner,Manual,2.75
Third Party,Second Owner,Manual,5.69
Comprehensive,First Owner,Automatic,15.75
Third Party,First Owner,Manual,3.25
Comprehensive,First Owner,Manual,3.35
Third Party,First Owner,Manual,3.42
Third Party,Second Owner,Automatic,6.5
Comprehensive,First Owner,Manual,5.9
Third Party,First Owner,Automatic,8.81
Comprehensive,First Owner,Manual,5.56
Comprehensive,First Owner,Automatic,6.18
Zero Dep,First Owner,Manual,6.7
Third Party,Second Owner,Manual,6.57
Third Party,First Owner,Manual,4.44
Comprehensive,Second Owner,Automatic,6.92
Third Party,Second Owner,Manual,4.32
Third Party,Second Owner,Manual,2.09
Comprehensive,First Owner,Manual,2.1
Not Available,Third Owner,Automatic,9.0
Comprehensive,First Owner,Manual,8.11
Not Available,First Owner,Manual,1.3
Comprehensive,First Owner,Manual,2.95
Comprehensive,First Owner,Manual,4.53
Third Party,First Owner,Manual,2.94
Comprehensive,Second Owner,Automatic,10.9
Not Available,First Owner,Manual,4.95
Third Party,First Owner,Manual,3.0
Comprehensive,First Owner,Manual,7.99
Comprehensive,First Owner,Automatic,9.78
Comprehensive,First Owner,Manual,3.85
Third Party,First Owner,Manual,4.87
